estimate	std_error	t_value	p_values	r_sq	FDR
8p	0.53337522579797	0.213333457792741	2.50019491230558	0.0160397955759396	0.132389832872854	0.408175145796714
8q	0.480541752342766	0.198652646497928	2.41900503624943	0.019576357258262	0.12570702543851	0.408175145796714
1q	0.522706138693813	0.242691722089292	2.15378643405686	0.0365312176957981	0.104767877939142	0.408175145796714
10q	-1.29735543999757	0.607164272838402	-2.1367453554746	0.0379697810043455	0.103473419825518	0.408175145796714
16q	-1.10718326503993	0.574723514648096	-1.92646244119289	0.0602383604225702	0.0880641719673861	0.518049899634104
17q	0.552166209849169	0.3275930540218	1.68552477859443	0.0986604132561699	0.0718150206006017	0.682570954114039
3q	0.487289164581695	0.32726631546537	1.4889682853207	0.143320227289089	0.0598035581181152	0.682570954114039
3p	0.577389230790783	0.400461369822458	1.44181005785094	0.156129917302326	0.0571008118046101	0.682570954114039
18p	-0.372649046253576	0.273390727403428	-1.36306395536114	0.179497572445387	0.0527491648207173	0.682570954114039
14q	0.604303490147162	0.445254776832401	1.35720832563831	0.181337259015753	0.0524337794665014	0.682570954114039
16p	-0.796661252477037	0.589625573293187	-1.35113076596646	0.183261920457007	0.0521076561670054	0.682570954114039
10p	-0.352122657640991	0.277725107705124	-1.26788197347594	0.211220259619881	0.0477665643869172	0.682570954114039
4q	-0.799508649584703	0.6433749493049	-1.24267917246155	0.220283566731137	0.0464993064331108	0.682570954114039
4p	-0.561481625171164	0.463870157905421	-1.21042842614947	0.232297535915385	0.0449100182965095	0.682570954114039
12q	-0.612421357883417	0.541705340965822	-1.13054332599253	0.264107632632799	0.041132157313499	0.682570954114039
5p	0.298055419250236	0.266368811065557	1.11895765145297	0.268967397571891	0.0406032915414631	0.682570954114039
13q	-0.422547220498834	0.378334680996629	-1.11686092162034	0.269853633021829	0.0405080997406149	0.682570954114039
17p	-0.420917584818536	0.395613115324907	-1.06396266583034	0.292899043155694	0.0381596180457243	0.699703269760825
19q	-0.41600555783361	0.424213285868104	-0.980651883597428	0.331894170624393	0.0346708503028537	0.749077348975872
2q	0.547021758278261	0.596944379395168	0.916369727498752	0.364252369071336	0.0321576695852839	0.749077348975872
15q	-0.408170421037706	0.446900796064851	-0.913335632050373	0.365828472755659	0.0320429461685147	0.749077348975872
11q	-0.189768111238234	0.245330384676502	-0.77352061991207	0.44317145922186	0.0271438318058402	0.800821336543623
Xp	-0.385566235342363	0.509992046693096	-0.756024016143902	0.453489191841969	0.0265847908209106	0.800821336543623
5q	0.363900210092647	0.508207422980314	0.716046625133106	0.477582013954271	0.0253531914346781	0.800821336543623
22q	0.389020279901134	0.543956986215098	0.715167356536722	0.478119927184145	0.0253268212370383	0.800821336543623
21q	0.340971909973112	0.515096998438331	0.661956701372498	0.511301700096747	0.0237888244300044	0.800821336543623
7q	0.244625552334222	0.393479190092938	0.621698830569522	0.537209104919831	0.0227012690519697	0.800821336543623
22p	-0.26211374241026	0.424036527632337	-0.618139535935279	0.539532024531571	0.0226082855344987	0.800821336543623
18q	-0.298792110693576	0.497138357114457	-0.60102405380236	0.550774272889551	0.0221683745303446	0.800821336543623
21p	-0.1687638804772	0.308551913320518	-0.546954574551257	0.587053689491615	0.0208574521922198	0.800821336543623
11p	-0.12738435459798	0.253005771487064	-0.503483987140953	0.617026691454589	0.0198908060478322	0.800821336543623
12p	-0.195623422607954	0.388821592565087	-0.503118721667206	0.617281457128013	0.019883014924697	0.800821336543623
9q	-0.269167532528196	0.554986742485781	-0.484998130446499	0.629979432264516	0.0195034503900585	0.800821336543623
Xq	0.2435695138595	0.5069956530597	0.48041736135126	0.633207568429841	0.019409658061677	0.800821336543623
6q	-0.171916663366545	0.543569023787765	-0.316273841670694	0.753225407191741	0.0166280228523039	0.925391214549854
7p	-0.0381400162833679	0.191439592307381	-0.199227421160243	0.842962881705674	0.0153392591584841	0.959646076823708
20p	-0.0879230876064532	0.442844176048744	-0.198541817555201	0.84349607024265	0.0153334265734882	0.959646076823708
19p	-0.0812990685829263	0.421942683142572	-0.192677991184541	0.848059323704672	0.0152843603151245	0.959646076823708
9p	-0.0398380631568885	0.396084304177875	-0.100579757230162	0.920321171661236	0.0147063197686953	0.987286442516264
20q	-0.0352003634908117	0.505392527528492	-0.0696495527208349	0.944774501075298	0.0145935535031091	0.987286442516264
1p	0.0223374512323386	0.451654812349391	0.0494569096167601	0.960769299366882	0.0145420350315515	0.987286442516264
2p	-0.0162144230161251	0.557380105174753	-0.0290904229727422	0.976918320538179	0.0145077645788905	0.987286442516264
6p	-0.00734959625814743	0.458730228010254	-0.0160216088005065	0.987286442516264	0.0144951340504272	0.987286442516264
