estimate	std_error	t_value	p_values	r_sq	FDR
11q	0.528081853491271	0.205194605541636	2.57356596727938	0.0133538135951774	0.0724613575426647	0.382653021158273
11p	0.521108340950533	0.212004337762006	2.45800791838289	0.0177978149375941	0.0620983996593623	0.382653021158273
18p	0.475230391958404	0.237745934081179	1.99890018643236	0.0515479893076645	0.0237123198694573	0.615152076386355
1q	0.422555799945245	0.217582659283755	1.94204722626438	0.0582693872097534	0.0193174058074682	0.615152076386355
6q	0.860929404959028	0.466710532337754	1.84467532936664	0.0715293112077157	0.0119980344492441	0.615152076386355
4q	-0.943506876761753	0.564480748892294	-1.67145979488803	0.101421268710592	-0.000334313194873204	0.726852425759244
22q	0.737948661236887	0.473833456651148	1.55740091983456	0.126229455559077	-0.00794194470781973	0.775409512720043
14q	0.581154143417623	0.394400643778095	1.47351215720785	0.147423634782978	-0.0132621082153301	0.792402036958509
19p	0.470529308574659	0.36871626013916	1.27612844737868	0.208315991955519	-0.0248083886928046	0.800597696137561
1p	0.489981041343957	0.394900746316022	1.2407701072103	0.220981663340968	-0.0267268168829657	0.800597696137561
Xp	0.532892180977504	0.449284765239988	1.18609003065763	0.241677134769257	-0.0296008253215785	0.800597696137561
10q	-0.656629833082989	0.557469272854709	-1.17787627956694	0.244903903805179	-0.0300227052759365	0.800597696137561
10p	0.282238455001494	0.247654438440497	1.13964626185897	0.260333399391529	-0.0319521182766553	0.800597696137561
21p	0.304337079424194	0.271456517000246	1.12112644333353	0.268052876730711	-0.0328664161732157	0.800597696137561
8p	0.216915273117433	0.199543510547456	1.08705751704136	0.282674796491652	-0.0345133051553264	0.800597696137561
6p	0.408210167053941	0.403267138604594	1.0122574541195	0.316710012742558	-0.0379678428425425	0.800597696137561
15q	-0.400839082257328	0.39642257458608	-1.01114090860204	0.317238283336166	-0.0380177125567216	0.800597696137561
8q	0.174898898584719	0.185680474952287	0.941934786787149	0.351146764645533	-0.041010071402636	0.800597696137561
9q	0.458936785626539	0.489896805486045	0.936802976641602	0.353752470386364	-0.0412241761563383	0.800597696137561
12p	0.266435738800043	0.344311691647649	0.773821352173831	0.442995337117359	-0.0474538140261878	0.916006967782129
3p	0.274219436258427	0.361642506143881	0.758261077168091	0.452162241324301	-0.0479899584498651	0.916006967782129
5q	-0.316685021607063	0.451813598716069	-0.700919632580772	0.486883827001086	-0.0498760520858399	0.916006967782129
21q	-0.293362675045766	0.457970510875698	-0.640571102459894	0.524979740379401	-0.0517074289976687	0.916006967782129
7q	0.213584308666641	0.349787220214674	0.610612098794113	0.544461747089447	-0.0525575474671534	0.916006967782129
22p	0.228180289676287	0.376959704338265	0.605317457145311	0.547943010455697	-0.0527036936149663	0.916006967782129
20q	0.249614448268253	0.447721084354018	0.557522209677488	0.579873808334528	-0.0539670565322878	0.916006967782129
4p	-0.225758602103366	0.417490986869626	-0.540750840625612	0.591288359519542	-0.0543864252911945	0.916006967782129
16p	-0.284046102042549	0.532730689044667	-0.533188922440195	0.596469653439526	-0.0545714280023115	0.916006967782129
18q	0.220106651183291	0.442413865626149	0.497513003738646	0.621197291083814	-0.0554099139963242	0.921085638503586
9p	0.144720907711009	0.351442741765544	0.411790856695387	0.682405291362409	-0.0571917486399049	0.942048047955084
Xq	0.181315433846428	0.450969828779387	0.402056683785661	0.689504421142189	-0.0573731809192741	0.942048047955084
7p	0.0624962575793404	0.169980876196354	0.367666404467452	0.714808315800804	-0.057979870171911	0.942048047955084
16q	-0.1684427300947	0.530456965249414	-0.317542687021745	0.752268806849737	-0.0587680676087572	0.942048047955084
17p	0.110023871623949	0.355562908215941	0.309435740010117	0.758387452304506	-0.0588848157236526	0.942048047955084
17q	0.076563334720836	0.299818618713624	0.255365510818948	0.799579190158439	-0.0595868034372142	0.942048047955084
2p	-0.114543109382751	0.495132203397714	-0.231338435667746	0.818077849991451	-0.0598558574718739	0.942048047955084
2q	-0.103746685105078	0.53518390087948	-0.193852402762095	0.847144965152888	-0.0602227912645774	0.942048047955084
12q	0.0651603916047556	0.48803211941208	0.1335166047744	0.894367247933332	-0.0606778669737622	0.942048047955084
20p	0.0388240909775339	0.393739739430016	0.0986034354412291	0.921881576120381	-0.060864692323241	0.942048047955084
3q	0.025853904095323	0.297786651942732	0.0868202249048254	0.931191243454618	-0.0609150725121721	0.942048047955084
19q	0.0323102157454797	0.380944230789715	0.0848161309032012	0.932775640753064	-0.0609230045038254	0.942048047955084
5p	0.0179240393444922	0.239942246524779	0.0747014733924363	0.940776155818836	-0.0609602122320019	0.942048047955084
13q	-0.0249093370413404	0.340783908136345	-0.0730942290601771	0.942048047955084	-0.0609656903897704	0.942048047955084
