estimate	std_error	t_value	p_values	r_sq	FDR
1p	1.36332083869988	0.403326043716896	3.38019540254837	0.00148521010778862	0.149654261410462	0.0423568330749378
14q	1.33855818543298	0.407803992553334	3.28235674460181	0.00197008525929943	0.139890926640595	0.0423568330749378
18q	1.36931299829797	0.455187628823502	3.00823860665359	0.00425128116417854	0.112948936250565	0.0536365851772481
2q	-1.62561375439242	0.5511377927518	-2.94955957615577	0.00498944978393006	0.107279618580125	0.0536365851772481
3q	0.879454768429061	0.308126354641012	2.85420171037848	0.0064488810572828	0.0981550700372327	0.0554603770926321
2p	1.39923814289828	0.516436028955497	2.70941232688252	0.00943722687395667	0.0845354460177539	0.0676334592633561
13q	0.910841444245495	0.358212156952243	2.54274297107936	0.0144278494078269	0.0692611681469846	0.0886282177909369
4q	-1.47771475213364	0.6151548116032	-2.40218352235994	0.0203917474621772	0.0567653274546298	0.109605642609203
15q	-0.934817682727575	0.428277859597053	-2.18273642164715	0.034197077898773	0.0380704496179338	0.163386038849693
17p	0.780217232649584	0.38262273075051	2.03912933013466	0.0472065885016387	0.0264430408159282	0.181402252467979
12q	-1.06373331241434	0.525005827633009	-2.02613619968789	0.0485727137680887	0.0254167249567224	0.181402252467979
5q	-0.981345094504639	0.488909891982707	-2.00721055269495	0.0506238844096685	0.0239297133918325	0.181402252467979
10q	-1.19559579121498	0.610183901463616	-1.95940238401434	0.0561419810272153	0.0202158026756776	0.185700398782328
22p	0.785680630480696	0.408727776391693	1.9222589602713	0.0607790823883945	0.0173731970163796	0.186678610192926
4p	-0.811372679577886	0.454653813988211	-1.78459446421563	0.0809229548890223	0.00717824329182304	0.229748532910799
7q	0.663928035048705	0.381884394958744	1.73855764679892	0.0888025045569837	0.00389342171504237	0.229748532910799
18p	0.465700216147001	0.269617821466203	1.72726051124695	0.0908308153368275	0.00309720601305274	0.229748532910799
11q	0.349630433752741	0.240906154327556	1.45131383101718	0.153478608847214	-0.0150792118430354	0.366643343357234
1q	0.325134950002874	0.249492578288297	1.30318485717507	0.198997186202001	-0.0237624097834783	0.398767893752645
17q	0.42733124713683	0.330844849035219	1.29163639205197	0.202935518466223	-0.0244059875085758	0.398767893752645
7p	0.239922794885144	0.18778424562092	1.27765134978084	0.207782937625821	-0.0251787503597358	0.398767893752645
22q	-0.681390704914291	0.536403011186393	-1.27029619652436	0.210366897546748	-0.0255822566485768	0.398767893752645
Xp	0.63524369544904	0.50334507020712	1.26204413840319	0.213294454797926	-0.0260325691459784	0.398767893752645
21p	-0.375575233239213	0.30384562458728	-1.23607254094695	0.222706415748474	-0.0274332014176086	0.399015661549349
8p	-0.242403599886541	0.224017289714134	-1.08207540675039	0.284859008080329	-0.0352087911941603	0.489052811450412
10p	0.294604210966424	0.278527677704747	1.05771969735345	0.295706351109551	-0.0363537951067674	0.489052811450412
21q	-0.514460834004413	0.510767264818553	-1.00723141328795	0.319092681598795	-0.0386519350187171	0.497951772867194
5p	-0.265547813669571	0.2664955998741	-0.996443520249576	0.324247666053056	-0.0391296861097223	0.497951772867194
9p	0.369890145039486	0.391447188060424	0.944929881530759	0.349631808622693	-0.0413458099868951	0.507945623069519
Xq	0.469987590520608	0.502354561010627	0.935569470246466	0.354380667257804	-0.0417368481316294	0.507945623069519
19q	0.356701858812229	0.424404780020461	0.8404755921812	0.404989369557326	-0.0455037835855083	0.561759448095646
20q	0.397300254782041	0.500857171090993	0.793240623702404	0.431710323428688	-0.0472340286065107	0.573406574877325
20p	0.342025564132466	0.439141515433323	0.778850443677529	0.440056208626785	-0.0477423520930482	0.573406574877325
19p	0.291479490257817	0.418955620013116	0.695728798789456	0.490098901034563	-0.0505050467741985	0.619830963073124
3p	0.245901799254246	0.406867964394943	0.60437739211031	0.548562295638314	-0.0531959581616199	0.671947097897502
16q	0.346409279003093	0.593908800652072	0.583270156331677	0.562560361030467	-0.0537656895932415	0.671947097897502
6p	0.218454457589144	0.456554758445449	0.47848468020128	0.634571729443795	-0.056301725429867	0.737475253137383
12p	-0.149359758164598	0.388380463178571	-0.38457072979988	0.702327731766591	-0.0581569858738193	0.79473927542009
11p	-0.0858890366946096	0.252808693403283	-0.33973925318145	0.735599291344946	-0.0589020804870575	0.811045372508531
8q	-0.060876458537873	0.210239065077355	-0.289558263187073	0.773455354333144	-0.0596276889621925	0.83146450590813
9q	0.0425142538849999	0.555104662198589	0.0765878162806537	0.93928359838733	-0.0614237199335166	0.985102310503785
6q	0.0232332277080132	0.542912860999908	0.0427936587562569	0.966051237062437	-0.0615168076190509	0.987437652020984
16p	-0.00949615975290179	0.599844400917695	-0.0158310384132514	0.987437652020984	-0.0615532838020616	0.987437652020984
