estimate	std_error	t_value	p_values	r_sq	FDR
13q	1.52213892612317	0.608085045403729	2.50316783421728	0.0159220613456406	0.104965391401662	0.684648637862545
2q	-1.64920566445998	0.988828562165847	-1.66783781088169	0.102142437897164	0.0410387455784108	0.890092584383662
1p	1.02402972067518	0.748453525660017	1.36819413038658	0.177897611661217	0.0228152639049067	0.890092584383662
15q	-0.982455842593806	0.748403477979623	-1.31273553838369	0.195783964158446	0.0197708710138402	0.890092584383662
16p	-1.2849349171675	0.998518273129515	-1.28684166504065	0.204587767905386	0.0183863163485901	0.890092584383662
10p	0.565760189355331	0.470278999389077	1.20303094565203	0.235119747121132	0.0140690787793575	0.890092584383662
3q	0.641470223696336	0.558457693266976	1.14864605041742	0.256639984681429	0.0114042866449529	0.890092584383662
6p	0.809587775986641	0.766231306793845	1.05658404819586	0.296219018130112	0.00714456492685023	0.890092584383662
18q	0.8701129436514	0.8338814562587	1.04344920626399	0.302193135075273	0.0065629714270703	0.890092584383662
2p	0.963964042499258	0.931463787988254	1.03489159206199	0.306129653258	0.00618760417620312	0.890092584383662
18p	0.46733243659965	0.466337620355923	1.00213325324894	0.321521889888357	0.00477673974794912	0.890092584383662
9q	0.901348781695817	0.931150054692137	0.967995198146476	0.338108914267243	0.00335067786570953	0.890092584383662
21q	-0.837475263082925	0.866137746554366	-0.966907707711083	0.338646477885466	0.00330599603031234	0.890092584383662
8p	-0.361559715775842	0.380642844031427	-0.949866052771481	0.347144396585016	0.00261185001846931	0.890092584383662
5q	-0.79494330235587	0.855897654347623	-0.92878312998975	0.3578498022831	0.00176887641253709	0.890092584383662
21p	0.468985065825844	0.518703373772493	0.904148863376286	0.370627425927895	0.000806136417306536	0.890092584383662
20q	-0.762611724140866	0.846966546060042	-0.900403596444769	0.372595399523441	0.000661872851207446	0.890092584383662
5p	-0.392976215539541	0.452683372029896	-0.868103932727594	0.389843962183072	-0.000559089500836718	0.890092584383662
16q	-0.804538525808963	1.00299660689976	-0.802134843003876	0.42659963921959	-0.00292267548409697	0.890092584383662
3p	0.520064785854407	0.687836036573311	0.756088309134378	0.453451023718484	-0.00446783115721394	0.890092584383662
Xq	0.612034731700557	0.854458141238634	0.716284042672171	0.477436826845395	-0.00573346585611478	0.890092584383662
7q	0.450707597889678	0.664640854758284	0.678122018324604	0.501091448954835	-0.00688539500849328	0.890092584383662
22p	0.457475468051181	0.716626043516763	0.638374047649972	0.526395841753768	-0.00802073567483097	0.890092584383662
22q	-0.568085175127713	0.920841212083818	-0.616919798628652	0.540329261257414	-0.00860605372027745	0.890092584383662
20p	-0.436177276765501	0.746170668046474	-0.584554305662327	0.561703662900915	-0.00945239634712647	0.890092584383662
4q	-0.561392444901463	1.10261085177867	-0.509148303769963	0.613082047723333	-0.0112520651489958	0.890092584383662
Xp	0.386985024308097	0.865589055865737	0.447077076224174	0.656917452901971	-0.0125512447544336	0.890092584383662
1q	0.185341830037766	0.429585005646699	0.431443899581066	0.66816101160497	-0.0128523405412413	0.890092584383662
6q	0.317258114184185	0.918697363763846	0.345334738835429	0.731416961611457	-0.0143213022422999	0.890092584383662
19q	0.242592479654966	0.723695169006046	0.335213623144884	0.738987899037455	-0.0144728137088279	0.890092584383662
19p	0.235653336701532	0.712724207036628	0.33063748133564	0.74241965946531	-0.01453985282555	0.890092584383662
17p	0.222836421430817	0.676154559963524	0.329564325415239	0.743225214401098	-0.0145554421246956	0.890092584383662
11p	-0.140556036937089	0.428375369428555	-0.32811418902209	0.744314207653868	-0.0145764279096896	0.890092584383662
8q	-0.110300122435128	0.356166044544651	-0.309687361062573	0.758197306034385	-0.0148351053540827	0.890092584383662
17q	0.163206254233698	0.570124674294903	0.28626414816293	0.775961139415684	-0.0151425182273706	0.890092584383662
7p	-0.0917763857020511	0.3234802088882	-0.283715612826782	0.777901428568917	-0.0151745189644188	0.890092584383662
11q	0.116814751813478	0.417057478017479	0.280092692184224	0.780662145874793	-0.0152195210994683	0.890092584383662
9p	-0.179564220871723	0.669119990729781	-0.268358774748128	0.7896230092873	-0.0153613301567814	0.890092584383662
10q	-0.263832148368914	1.07542371840011	-0.245328556414409	0.807293274208438	-0.015622120701398	0.890092584383662
14q	0.109294885810557	0.767444533137763	0.142414052209996	0.887374921513472	-0.0165027699969562	0.953928040626983
4p	-0.0334153873837998	0.796535061306261	-0.0419509309847591	0.966719379270289	-0.0169120487736409	0.990849719976017
12p	0.023501115953742	0.659089405435763	0.0356569469330249	0.971710186402198	-0.0169228468154421	0.990849719976017
12q	0.0107049907202029	0.928371988637596	0.0115309281745055	0.990849719976017	-0.0169480146007184	0.990849719976017
