estimate	std_error	t_value	p_values	r_sq	FDR
2p	20.3400035523177	9.696848246081	2.0975891378457	0.041465101443117	0.0686741109952113	0.958611372734473
17p	12.5036061939223	7.0553536981744	1.77221535996951	0.082981874391661	0.0448107564310796	0.958611372734473
7p	5.25548289207723	3.40045655378382	1.54552272877278	0.129072566351786	0.0299642078224318	0.958611372734473
12p	-10.614870283081	6.92526460337894	-1.53277468674653	0.132180801826383	0.0291768887899475	0.958611372734473
10p	7.59410389939993	5.02168048199696	1.51226345973729	0.137307251983349	0.0279211630577367	0.958611372734473
8q	5.3109663486345	3.75999924796146	1.41249133268149	0.164535513946387	0.0220109519703626	0.958611372734473
1p	11.0059809424636	8.06320214630545	1.36496403572202	0.178903705987498	0.0193136900040405	0.958611372734473
10q	13.7058449447784	11.4147101422543	1.20071773824926	0.23600738363355	0.0106026895610993	0.958611372734473
22q	-11.1254154611358	9.82439516215195	-1.13242752123774	0.263323231052043	0.00726864379840086	0.958611372734473
15q	-8.82885043817064	8.10770428790864	-1.08894578843206	0.281850029500268	0.00523652645474371	0.958611372734473
Xq	9.80679258450426	9.1419032702639	1.07272985663752	0.288987939033769	0.004496983048069	0.958611372734473
Xp	-9.60038342307761	9.23666499786652	-1.03937767855553	0.304061687149699	0.00300747267853052	0.958611372734473
7q	7.3473851740343	7.11329453540184	1.03290889157864	0.307046686728056	0.0027235180428411	0.958611372734473
5q	-8.52600326438682	9.22061406099611	-0.924667620614602	0.35996434225535	-0.00178642616501734	0.958611372734473
12q	-9.10590849597937	9.91005061905097	-0.91885590155052	0.362964163954769	-0.00201555076544291	0.958611372734473
22p	-6.92346404415168	7.68623670369404	-0.900761232193673	0.37240718929926	-0.00272033109092029	0.958611372734473
21q	8.15214264529812	9.3475468630874	0.872115728832575	0.387674700742073	-0.00380934877349826	0.958611372734473
9p	6.01744656220793	7.15873544562528	0.84057395442448	0.404934812082863	-0.00497036453179844	0.958611372734473
20q	6.86238384266414	9.14792001959907	0.750157831284242	0.45697957728338	-0.00807462101759926	0.958611372734473
8p	2.79737714779706	4.11976642192537	0.679013531667581	0.500531619521977	-0.0102807352014238	0.958611372734473
9q	-6.59032261654448	10.085438216862	-0.653449307291975	0.516719839106287	-0.011021975827219	0.958611372734473
17q	3.64585615396166	6.12339058125424	0.595398269240386	0.554495387626486	-0.0126031806437936	0.958611372734473
11q	-2.32015086907565	4.48340602723793	-0.517497379220194	0.607288801718973	-0.0145005735309729	0.958611372734473
20p	3.93538152137021	8.04677310474797	0.489063313969689	0.627120734189072	-0.0151285177524534	0.958611372734473
11p	-2.22700505450445	4.6082399701387	-0.483265860488038	0.631199335253008	-0.0152522874742773	0.958611372734473
5p	-2.36610868543049	4.90376426734265	-0.48250865181019	0.631732904814536	-0.0152683463436463	0.958611372734473
3q	2.8575309632563	6.08689341591518	0.469456382427334	0.640961184433982	-0.0155412782273519	0.958611372734473
1q	-2.16486919936914	4.62591124068374	-0.467987621623531	0.642003268119336	-0.0155715315674108	0.958611372734473
16p	-4.69812407394975	10.9261544813744	-0.429988801820305	0.669211508342904	-0.0163218500485114	0.958611372734473
4q	4.71812472938497	11.8905856444676	0.396794983061258	0.693353615998462	-0.0169261306583668	0.958611372734473
19q	-2.91651980143799	7.79341908535622	-0.374228534292236	0.709953863929097	-0.0173096102178814	0.958611372734473
6p	3.05584929228199	8.34136090400593	0.366349007967563	0.715784328987116	-0.0174382871484711	0.958611372734473
19p	-2.59987244610364	7.67713028684585	-0.338651598834829	0.736413200667478	-0.0178691087472254	0.958611372734473
2q	3.02703519093813	10.9600705551725	0.276187564277088	0.783641109834502	-0.0187175193437217	0.958611372734473
21p	1.30222089559562	5.63371387308077	0.231147858221544	0.818225011529474	-0.0192229743861749	0.958611372734473
6q	-2.2067737364959	9.90382859557437	-0.222820267455155	0.824661863032122	-0.0193066478248791	0.958611372734473
4p	1.90879143281227	8.57594790404439	0.222574979952022	0.824851646306407	-0.0193090660713626	0.958611372734473
3p	1.23502310421877	7.45315225856964	0.165704799978928	0.869115412678238	-0.019798076671482	0.975380965534982
18q	1.0402620978734	9.08709261239173	0.114476889610967	0.909357989488353	-0.0201161879294309	0.975380965534982
16q	-1.17648885904501	10.8783542205992	-0.108149526590816	0.91434744622007	-0.0201474185663761	0.975380965534982
14q	-0.666425565998373	8.26827119763688	-0.080600351641688	0.936109443346398	-0.0202627211532034	0.975380965534982
13q	-0.394766605628513	6.98203437266247	-0.0565403411896948	0.955156241056339	-0.0203359001003816	0.975380965534982
18p	0.157561670136955	5.0779487425899	0.0310286058650908	0.975380965534982	-0.0203854526921379	0.975380965534982
