HR	lower_CI	upper_CI	z_scores	p_values	FDR
10p	-1.30555583517454	0.271021849694241	0.63181145406333	-2.06636936823193	0.038793615991998	0.710891736459478
2p	-2.00227037871419	0.135028369427399	1.02477870665807	-1.95385634547759	0.0507182085024541	0.710891736459478
8q	-0.851086013387393	0.426951005571384	0.444796097943361	-1.913429585652	0.0556930798787337	0.710891736459478
17p	-1.11842873860148	0.32679286845044	0.649386553196208	-1.72228502899651	0.0850178983417197	0.710891736459478
1p	-1.67661581976738	0.187005767610295	0.983583730016936	-1.70459897678311	0.0882692423348933	0.710891736459478
7p	-0.965026065082681	0.380973269510152	0.585299614066291	-1.64877276849423	0.0991941957850434	0.710891736459478
5q	1.15292386275333	3.16744054512651	0.760114829726434	1.51677591025066	0.129323271115583	0.794414379710009
8p	-0.577498467773467	0.561300723662394	0.434537297586824	-1.32899631626691	0.183849185209292	0.817817129566927
12p	0.915419837573399	2.49782371204405	0.714765924376801	1.28072674753143	0.200289661403943	0.817817129566927
6p	-1.21614870849076	0.296369376665457	0.957560644793059	-1.27004875889985	0.204067262392886	0.817817129566927
15q	0.995412041462155	2.70583902948487	0.792687481703471	1.25574335969458	0.209209033145028	0.817817129566927
7q	-0.682482840054407	0.50536070363206	0.645633759284219	-1.05707427816513	0.290477689232527	0.888746811196458
20p	-0.828925704201278	0.436517983952737	0.828435093470655	-1.00059221384329	0.317023995900749	0.888746811196458
20q	-0.787983912851457	0.454760708912171	0.85450952359127	-0.922147607600412	0.356451587168171	0.888746811196458
Xq	-0.891337632985352	0.410106813293452	1.00675522825994	-0.885356845403152	0.375964199741336	0.888746811196458
12q	0.724758294426061	2.06423210325851	0.828912240936801	0.874348644685197	0.381928415632554	0.888746811196458
10q	-0.835828554238341	0.433515141779245	0.967414997190622	-0.863981390267456	0.387598113689144	0.888746811196458
16p	0.85371299783609	2.34835010320215	1.12244571938067	0.760582879951774	0.446906248588222	0.888746811196458
Xp	0.595666684655988	1.81424006787906	0.84592693237063	0.704158553016735	0.481334039165022	0.888746811196458
9q	0.805959698759674	2.23884408402827	1.18970411677899	0.677445498752859	0.498123338740001	0.888746811196458
9p	-0.411491346150124	0.662661255540694	0.636982612438405	-0.646000908211469	0.518278767234243	0.888746811196458
22p	0.431909160175321	1.54019519774445	0.694816686152334	0.621615987041261	0.534194406167223	0.888746811196458
4q	0.519570443632722	1.68130527917256	0.917188588617226	0.56648158304721	0.571066449148683	0.888746811196458
18p	-0.242002613694115	0.7850541256578	0.427539790557991	-0.566035300195737	0.571369783988571	0.888746811196458
21p	-0.27648338564887	0.758446220118806	0.494149300558995	-0.559513866226472	0.575811070576314	0.888746811196458
3q	-0.281113641938788	0.754942537471543	0.522062492162736	-0.538467417519739	0.59025439354612	0.888746811196458
22q	0.479710146540232	1.61560604531688	0.926073819301111	0.518004220119579	0.604455324919058	0.888746811196458
13q	-0.299707440117719	0.741034986080035	0.584133965896373	-0.513079974142247	0.607895379165042	0.888746811196458
11q	-0.177853686038041	0.837064888809655	0.37657557373236	-0.47229214650137	0.636718275236689	0.888746811196458
1q	-0.183640280411928	0.832235121263272	0.399278707386957	-0.459930061419365	0.6455664218633	0.888746811196458
6q	-0.386155598667201	0.67966476252104	0.85657357959573	-0.450814276631613	0.652123410837122	0.888746811196458
5p	0.155119028366992	1.16779695379731	0.409063593400677	0.379205167288142	0.704535514689735	0.888746811196458
16q	0.452029065302715	1.57149762396802	1.20099201233215	0.376379743296494	0.70663460324968	0.888746811196458
21q	-0.31202092530375	0.73196621145275	0.833765099552914	-0.374231213888737	0.708232303086138	0.888746811196458
11p	-0.147681760199268	0.862705618524875	0.417273986825103	-0.353920361350414	0.723398567252931	0.888746811196458
3p	-0.288702067078726	0.749235394043066	0.958333650624974	-0.301254231123419	0.763220638901655	0.890338399650725
14q	-0.161555581706157	0.85081924016612	0.579763928465899	-0.278657525544313	0.780507661477635	0.890338399650725
17q	-0.167921342112683	0.845420331046527	0.620885924239511	-0.27045441933373	0.786810678761106	0.890338399650725
4p	-0.14315247467586	0.866621920924649	0.759850214972113	-0.188395649372967	0.850566509933749	0.937804100696185
19p	-0.095496045577477	0.908921955908019	0.657883911543421	-0.145156377746706	0.884587406589606	0.950931462083827
18q	-0.0705252377815575	0.931904220033874	0.76280274011047	-0.0924554069789314	0.926336219487286	0.971523352145202
19q	0.011719601404188	1.01178854499997	0.8089975852132	0.0144865715527439	0.98844179248954	0.998072815606974
2q	-0.00214646494693993	0.99785583706159	0.888669284794779	-0.0024153697935398	0.998072815606974	0.998072815606974
