estimate	std_error	t_value	p_values	r_sq	FDR
Xq	18.4467556246094	8.31061819040582	2.2196610651546	0.0314116001864303	0.108021190844463	0.962245321330361
16p	13.4843513153862	10.150550385539	1.328435484109	0.190587471669104	0.0489697927938277	0.962245321330361
1q	-5.6541446787777	4.30076004910499	-1.31468498921588	0.195132945666891	0.0482456024090526	0.962245321330361
10p	5.66338149728892	4.7885773657813	1.18268560047894	0.243010794747914	0.0416262887581966	0.962245321330361
21q	10.182870857966	8.77649747928074	1.16024312455001	0.251936289428514	0.0405619498509886	0.962245321330361
2p	10.0433621248005	9.47439775949076	1.0600528265493	0.294655030737401	0.0360328282579923	0.962245321330361
10q	11.4043605678727	10.8221184198636	1.05380112519749	0.297477911386099	0.0357624213629573	0.962245321330361
7q	6.96527162905974	6.71989321867632	1.03651522463206	0.305380092766934	0.0350222988384813	0.962245321330361
7p	3.36402466322269	3.25745934114759	1.03271424472717	0.307136815472569	0.0348610451661291	0.962245321330361
3q	5.82165426497469	5.70020796132793	1.02130559173818	0.312451067907182	0.0343802797287406	0.962245321330361
17p	6.84985894864796	6.81505626668394	1.00510673435437	0.320103552151708	0.0337060221096683	0.962245321330361
3p	6.6572900684879	6.97488626142792	0.954465753126847	0.344837031829919	0.0316619416703456	0.962245321330361
8q	3.1977055047754	3.59779178815063	0.888796710056174	0.378736685275313	0.0291568582198143	0.962245321330361
22q	-7.71330156692514	9.34130806219216	-0.825719643926937	0.413225218998252	0.0269077286771824	0.962245321330361
9p	5.51327071778829	6.76644893018459	0.814795289918472	0.419388026882031	0.0265340063674686	0.962245321330361
16q	7.75276859709042	10.2150898665393	0.758952559241356	0.451752536102323	0.0246972129711267	0.962245321330361
14q	-5.81128950285743	7.76503458780648	-0.748391966210036	0.458033313627805	0.0243637662249674	0.962245321330361
15q	-5.54289919103374	7.71484959733904	-0.718471451853781	0.476100342451377	0.0234432267572048	0.962245321330361
5q	5.9000388628927	8.74880251723553	0.674382448485876	0.503443455681557	0.0221522963634366	0.962245321330361
Xp	5.51183945434471	8.79091437975021	0.626992735481668	0.533763746630469	0.0208524134344874	0.962245321330361
12p	-4.15086454807953	6.67980493531643	-0.621405054230509	0.537400636855057	0.0207051670978942	0.962245321330361
8p	2.3466514302657	3.89635635996776	0.602268174024287	0.54995307970117	0.0202105363756099	0.962245321330361
1p	4.5427854969291	7.74169029977083	0.586795043591911	0.560210355054031	0.019821563512979	0.962245321330361
13q	3.19770753196696	6.57977424765861	0.485990462834625	0.629281078730638	0.0175290267950103	0.962245321330361
12q	4.51939483540648	9.42472210938691	0.479525526901766	0.633836899943445	0.0173963728867377	0.962245321330361
4p	3.86784589963966	8.08657456496683	0.478304610755237	0.634698894821302	0.0173715163676542	0.962245321330361
18q	-3.84119273657937	8.56773522575286	-0.448332334668038	0.656018082461155	0.0167808159313583	0.962245321330361
4q	4.53528764572108	11.2331898902507	0.403739960779729	0.688274764839687	0.0159715461934336	0.962245321330361
6p	3.05252800970068	7.87931042688027	0.387410552995472	0.700239067060189	0.0156960822996995	0.962245321330361
2q	-3.97578910359533	10.3467333180763	-0.384255492180263	0.702559729833344	0.015644152490394	0.962245321330361
21p	1.5466771473433	5.3207683113651	0.290686806271872	0.772597447193067	0.0142952068990828	0.962245321330361
18p	-1.30496485452209	4.79368308864827	-0.272225933669316	0.78666652643731	0.014072884487205	0.962245321330361
6q	2.52962754938966	9.3544539782684	0.270419583576585	0.788047107289201	0.0140519088448364	0.962245321330361
5p	-1.19537902920984	4.64129247266545	-0.257553049339152	0.797900566070105	0.0139065158794996	0.962245321330361
11p	-1.11067474604728	4.36169103650953	-0.254643150271391	0.800133709505069	0.0138746105841213	0.962245321330361
19p	1.75816625170907	7.2575287652716	0.242254121006335	0.809660104568706	0.0137428078324119	0.962245321330361
11q	-0.927879087165847	4.24589527241191	-0.218535556728124	0.82797853230752	0.0135087232372918	0.962245321330361
9q	1.6270711926067	9.56953277482565	0.170026189459009	0.865735130417558	0.0131047540681019	0.964316484077882
22p	-0.757940536449743	7.32463497504367	-0.103478267385635	0.918033228353482	0.0127143529523396	0.964316484077882
19q	-0.662769471773036	7.37353938839227	-0.0898848486272949	0.928768958973497	0.0126579488031849	0.964316484077882
17q	-0.501000534283023	5.80697379833303	-0.0862756664111076	0.931621733096208	0.0126443043255776	0.964316484077882
20q	-0.629141982387684	8.694887905645	-0.0723576875533064	0.942630960982332	0.0125969197434193	0.964316484077882
20p	-0.342848045960076	7.62191977398008	-0.0449818492094997	0.964316484077882	0.0125279705261231	0.964316484077882
