estimate	std_error	t_value	p_values	r_sq	FDR
15q	-0.590835676533661	0.180299894017393	-3.27696075338051	0.00200078664459075	0.172530143717134	0.0860338257174023
5q	0.563383118536369	0.211179257952641	2.66779571061241	0.0105072799106084	0.116116183341393	0.161117178429172
6p	0.487429620530654	0.190605628492275	2.55726771757115	0.0139122885163469	0.106400527529715	0.161117178429172
1q	0.267801005232957	0.105954989762578	2.52749781612967	0.0149876445050392	0.103818520735737	0.161117178429172
16q	-0.573885093356623	0.251452345267217	-2.28228172915531	0.0271449580930503	0.0831777737354572	0.21973560358297
17p	-0.37672532349974	0.168926829424668	-2.23010947865887	0.0306607818952981	0.0789434121059787	0.21973560358297
16p	-0.480140853031136	0.257417019305067	-1.86522575052474	0.0685356016663181	0.0511265098520464	0.421004410235954
6q	-0.376843537552236	0.235164815567549	-1.60246564369231	0.115898249978281	0.0333249158195783	0.622953093633261
8p	0.145799211634371	0.0986495018335921	1.47795182869057	0.146235570921568	0.0256300382630044	0.698681061069713
22p	-0.259560036418678	0.185164608805053	-1.40177995186948	0.16769280250027	0.0211740272944047	0.71251535520626
19p	0.245712988683961	0.183909107394304	1.33605666497608	0.188103071885942	0.01748815515407	0.71251535520626
8q	0.119900091754623	0.0919729671300665	1.30364492411192	0.198841494476165	0.0157258494364499	0.71251535520626
5p	0.116693825304269	0.118641613609826	0.983582587539961	0.330466062363638	0.000384513605730885	0.978137464688726
13q	0.162442124658651	0.168572984268614	0.963630829479811	0.340269714542441	-0.000443028776460741	0.978137464688726
14q	0.192003427986389	0.199642575074699	0.961735881810522	0.341210743496067	-0.000520814402981351	0.978137464688726
21p	0.124272849406716	0.136233715633397	0.912203332551928	0.366417786450983	-0.00250384098865797	0.984747801087018
Xp	0.181976678374997	0.226284575705112	0.804193912943247	0.425421696143873	-0.00648807007860475	0.994787543306111
17q	0.0989631439248055	0.149184011297437	0.663362937248662	0.510409064879686	-0.0109673589517378	0.994787543306111
22q	-0.15575447728772	0.241800639307883	-0.644144191403061	0.52268103159844	-0.0115146881540431	0.994787543306111
2p	-0.150816785124519	0.24651160055199	-0.611804007546945	0.543679627155905	-0.0124006377197385	0.994787543306111
3q	-0.0820175239252173	0.14829451888727	-0.553071850130652	0.582892293726514	-0.0138964317212329	0.994787543306111
7q	0.0759075946739556	0.175103605610754	0.433501037338398	0.666677021805872	-0.0164859532004686	0.994787543306111
10q	-0.114444378114873	0.282177120199475	-0.405576391289166	0.686934198092146	-0.0170018739968683	0.994787543306111
1p	-0.0758425385460788	0.200255212659445	-0.378729410030674	0.706631262455438	-0.0174659538447062	0.994787543306111
9q	0.0714367616382371	0.246852134254771	0.289390901374621	0.773582605478692	-0.0187838023084488	0.994787543306111
4p	0.0589912235989686	0.209060045384485	0.282173590321752	0.779076120119517	-0.0188750062878396	0.994787543306111
19q	0.0509750595263846	0.190186633139806	0.268026509985656	0.789877175809118	-0.019047142742272	0.994787543306111
3p	0.0441527436472704	0.181686090929342	0.243016641623059	0.809072915319262	-0.0193299224305015	0.994787543306111
18p	0.0274272451797312	0.123763294260268	0.221610497229114	0.82559798606663	-0.0195500814815881	0.994787543306111
18q	0.0449560356148618	0.221525229748618	0.202938670533722	0.840077968878303	-0.019725621799636	0.994787543306111
Xq	0.0438801381444513	0.225607854735324	0.194497386608858	0.846642892082228	-0.0197999312874189	0.994787543306111
10p	-0.0243717819323521	0.125411544168049	-0.194334437822521	0.846769729813273	-0.0198013347914734	0.994787543306111
9p	0.0283866075961744	0.175854750606443	0.161420760589531	0.872468919702309	-0.0200607763048903	0.994787543306111
12p	-0.0241136937271792	0.173098026274368	-0.139306578163739	0.889816024019951	-0.0202081869461681	0.994787543306111
20q	0.0277692004655939	0.224399108551793	0.123749156780561	0.902053044210739	-0.0202989213113833	0.994787543306111
21q	0.0261874867450696	0.229788409774946	0.113963479579834	0.909762705291836	-0.0203505023577994	0.994787543306111
2q	-0.0293299571133527	0.267452761522045	-0.109664065334151	0.91315282801064	-0.020371823605283	0.994787543306111
20p	-0.0210346667737774	0.196709193309201	-0.106932809900316	0.915307297145506	-0.0203849428003076	0.994787543306111
7p	-0.00724163274517083	0.0850406381039145	-0.0851549671619584	0.932507743967494	-0.0204777223673691	0.994787543306111
11q	0.00824124247296044	0.109640912440781	0.0751657596557461	0.940408771970136	-0.0205132456479473	0.994787543306111
4q	0.0124433334011735	0.290447247504743	0.0428419739146273	0.966012931962311	-0.0205978662624542	0.994787543306111
11p	0.00258810936979087	0.112658248319763	0.0229731014674126	0.981771096232015	-0.0206268791160473	0.994787543306111
12q	0.00160184881832321	0.243868566689244	0.00656849236484181	0.994787543306111	-0.02063763159427	0.994787543306111
