estimate	std_error	t_value	p_values	r_sq	FDR
10q	1.41042307320545	0.514277537249945	2.74253291471287	0.00865836589967931	0.0786983690786915	0.372309733686211
4p	0.776887438312522	0.394312132427686	1.97023468065619	0.0548482859802655	0.0114749537123007	0.720048202858354
7q	-0.645236354713702	0.330919581166199	-1.94982827078354	0.0573071733907718	0.00988713096174709	0.720048202858354
21q	-0.777029686613736	0.436204340874638	-1.78134331505208	0.0814595022222192	-0.00277080006210739	0.720048202858354
5q	-0.740507598557464	0.431731636199191	-1.71520346545976	0.0930378621275191	-0.00750910706951302	0.720048202858354
12q	0.778768835038398	0.464586966706867	1.67626061608776	0.100471842259305	-0.0102352991841412	0.720048202858354
18q	-0.614833069535076	0.425361400045016	-1.44543691428044	0.155113913248751	-0.0253724945445726	0.932534640370126
4q	0.727989843281315	0.559785055660936	1.30048102556397	0.199914052720494	-0.0339303779846922	0.932534640370126
19p	-0.458581260661092	0.361569972802814	-1.2683057088681	0.211070293925469	-0.0357253462336085	0.932534640370126
1p	0.440376240527468	0.388198864146849	1.13440888472276	0.262500170442005	-0.0427718935819104	0.932534640370126
21p	-0.288764938825713	0.266370020150982	-1.08407447152663	0.283981183759112	-0.0452401858959319	0.932534640370126
5p	-0.21901960772106	0.233030018545503	-0.939877227355119	0.352189989801914	-0.0517467900909447	0.932534640370126
10p	0.221996517064906	0.244022224347893	0.909738929141204	0.367702516122718	-0.0529988047112446	0.932534640370126
22p	-0.282991605648835	0.368691906275632	-0.76755578528288	0.44667326134756	-0.058388952315513	0.932534640370126
9p	-0.244915487787846	0.34329974137422	-0.713415882014522	0.479192451585759	-0.0602135741790686	0.932534640370126
16q	0.368431086033547	0.517795189759372	0.711538255511341	0.48034373083879	-0.0602745688354931	0.932534640370126
3q	0.204631269229573	0.290414944400657	0.704616870360719	0.484601044795688	-0.060498081465189	0.932534640370126
17q	-0.204841712886006	0.292599900047826	-0.700074445864557	0.487406511358579	-0.0606436333997706	0.932534640370126
13q	0.222832147734919	0.332509331814775	0.670153064633531	0.506110771476452	-0.0615798287035541	0.932534640370126
9q	0.310790823582822	0.482691250256411	0.643870845841367	0.522856696745752	-0.0623697132619792	0.932534640370126
14q	-0.252474887186792	0.393941327863624	-0.64089464427605	0.524771373296927	-0.0624572405224511	0.932534640370126
11q	-0.136008564795383	0.214235190172301	-0.634856321624829	0.528667365498041	-0.0626336196639703	0.932534640370126
18p	-0.129891336625229	0.242245883603355	-0.536196259325954	0.59440652124102	-0.0652860106761342	0.932534640370126
2p	0.247080900364327	0.484348510235918	0.510130402267528	0.612399283386607	-0.0659140657216442	0.932534640370126
Xp	-0.212776592776027	0.4460679232308	-0.477004917177005	0.635617070895445	-0.0666680467309257	0.932534640370126
6q	-0.215807783828862	0.47312286776804	-0.456134755960828	0.650439373547883	-0.0671176029585749	0.932534640370126
6p	0.181855365625468	0.398847532226553	0.455952089286515	0.650569750304874	-0.0671214505738358	0.932534640370126
22q	0.216581806472162	0.475572020714239	0.455413264529079	0.650954396140608	-0.067132791339132	0.932534640370126
7p	-0.0748881608998882	0.166530587061902	-0.449696132230958	0.655041529135868	-0.0672523097679552	0.932534640370126
16p	-0.220797418524629	0.522895418321987	-0.42225923346811	0.674802984508039	-0.0678052248174987	0.932534640370126
3p	-0.145602380639575	0.356121685730179	-0.408855698694779	0.684542882695733	-0.0680628802385923	0.932534640370126
20q	0.158562271952406	0.439811432357473	0.360523306778275	0.720106122500394	-0.0689238585329501	0.932534640370126
19q	0.124421127479917	0.37306131061714	0.33351388616014	0.740261950861717	-0.0693584068399198	0.932534640370126
8p	-0.0595844129111897	0.197937194813763	-0.301026863431362	0.764750527960551	-0.0698366846081524	0.932534640370126
1q	-0.0568919217493559	0.221735227372812	-0.256575928071642	0.79865024864779	-0.070412315929937	0.932534640370126
20p	0.0906048269024297	0.385837368361254	0.234826469212276	0.81538560860909	-0.0706607199869114	0.932534640370126
2q	0.113563632017688	0.52464869669523	0.216456521731641	0.829588998881087	-0.0708534763800086	0.932534640370126
15q	0.0848538294948965	0.392754305054866	0.216048120676978	0.829905442549002	-0.0708575841809194	0.932534640370126
12p	-0.0549667188953788	0.339661191346378	-0.161828081322735	0.872149969870157	-0.0713342742197849	0.932534640370126
Xq	0.0685605204848284	0.442797733824339	0.154834849520768	0.877628909793324	-0.0713858227202107	0.932534640370126
8q	0.025751023036401	0.183751660445481	0.140140355597174	0.889160936166865	-0.0714867347240284	0.932534640370126
17p	-0.024033886053227	0.348943317177882	-0.0688761895416244	0.945386709229771	-0.0718336600885841	0.967895916592384
11p	0.00729675292810971	0.221078319732302	0.0330052849005962	0.973813172955983	-0.0719188124755026	0.973813172955983
