estimate	std_error	t_value	p_values	r_sq	FDR
22p	49.3838941468525	23.5742696457252	2.09482180737707	0.0417224562165084	0.0511717486225055	0.892656077857062
2p	63.2882621082309	30.9209933782761	2.04677324994012	0.0464185828813825	0.0474096981093727	0.892656077857062
4p	-45.9759703224113	26.4493349397598	-1.7382656474019	0.0888544522452123	0.0247186174388404	0.892656077857062
9p	-38.1505998353576	22.2541967822866	-1.71431034822717	0.0932031011903819	0.0230703756097227	0.892656077857062
18q	38.2671414819556	28.3644185553994	1.34912483424312	0.183900585401606	0.000215719364765721	0.892656077857062
21p	-23.1693184682345	17.6091387138169	-1.31575534980907	0.194776197043999	-0.00164692964083257	0.892656077857062
17p	27.5644005095893	22.8459350024461	1.20653413863946	0.233780134476694	-0.00746163847868342	0.892656077857062
10p	19.3495141101783	16.1213918706752	1.2002384325993	0.236191611221755	-0.00778341777230485	0.892656077857062
22q	37.2148181432022	31.2163899217876	1.19215637158696	0.239313893226472	-0.00819433022855343	0.892656077857062
19p	-27.5922161673529	24.1191200354646	-1.14399763037712	0.258542927611393	-0.0105919458033312	0.892656077857062
8p	-14.438961303152	13.0018966469092	-1.11052730961251	0.272543249174099	-0.0122064632021337	0.892656077857062
20p	-27.1118880830898	25.3589738234816	-1.06912402180821	0.290592105299021	-0.0141441050506554	0.892656077857062
1q	-15.491946365347	14.5772323202495	-1.0627495003854	0.29344312213899	-0.0144365313606221	0.892656077857062
11p	-15.2498515356006	14.5280849805218	-1.04968077733896	0.29934858111154	-0.0150311008786059	0.892656077857062
8q	-11.9918715494304	12.0928266905595	-0.99165165070894	0.326555327343837	-0.0175902460712791	0.892656077857062
3q	18.6698086484198	19.2193063257041	0.971409078560271	0.336425059115361	-0.0184516277803499	0.892656077857062
21q	27.0940766935655	29.7224545707787	0.911569286077831	0.36674804760606	-0.0209020604174555	0.892656077857062
9q	-28.71377226693	31.9622958396533	-0.898363885090722	0.3736699860797	-0.0214233593927646	0.892656077857062
18p	12.0124305508953	16.0613410622289	0.747909561496376	0.458321421405354	-0.026857180649736	0.937960578402214
6p	-19.4125036057891	26.4271769983655	-0.73456592079395	0.46633217893561	-0.0272936456035948	0.937960578402214
12p	-15.7430256179465	22.4730619577006	-0.70052873291492	0.487125530131061	-0.0283729957542607	0.937960578402214
13q	-14.3177742363815	22.1177745436783	-0.647342444336192	0.52062800760827	-0.0299611857902939	0.937960578402214
10q	-23.6268299720976	36.7226868006856	-0.643385112323983	0.523168929966365	-0.0300745326392722	0.937960578402214
16p	21.9570556120157	34.6871515576897	0.63300255645085	0.529866479819323	-0.0303687247803033	0.937960578402214
20q	-17.3053104969282	29.175734980099	-0.593140515868145	0.555992318185195	-0.0314552169301201	0.937960578402214
7q	12.6448990121432	22.8201586725942	0.554110915421859	0.58218686377094	-0.0324525864212584	0.937960578402214
7p	-5.25584388010814	11.0708828737875	-0.474744782329185	0.637215134295043	-0.0342763951505589	0.937960578402214
Xq	-13.8296238157739	29.3813827385818	-0.470693429877747	0.640084067615698	-0.0343621039209201	0.937960578402214
5q	13.6645400380969	29.5437086301085	0.462519455806273	0.645889315982178	-0.0345328354521335	0.937960578402214
4q	15.104476630825	37.8362238802229	0.399206767531582	0.691588253798622	-0.0357556046984946	0.937960578402214
Xp	-11.3289100423019	29.6881529183568	-0.381596998420775	0.704517375969484	-0.0360642235159663	0.937960578402214
2q	12.7192689571646	34.8545095555534	0.364924628673711	0.716840142016067	-0.0363437436570024	0.937960578402214
3p	7.91347964811095	23.6950298730668	0.333972132151894	0.739918396173481	-0.0368299302055952	0.937960578402214
12q	-7.98052983362096	31.8010752630357	-0.250951572159486	0.802969164908443	-0.037922981155682	0.937960578402214
14q	5.47376572625434	26.2999281707421	0.208128542812666	0.836047386068173	-0.0383661450688446	0.937960578402214
5p	-3.15646786733478	15.6367732246213	-0.201861843360667	0.840914806071496	-0.0384240906985771	0.937960578402214
11q	-2.7299032499249	14.3024441493772	-0.190869701808539	0.849467611464185	-0.0385214665356333	0.937960578402214
19q	4.73189675614063	24.8273458585909	0.190592131075633	0.84968382637508	-0.0385238551145275	0.937960578402214
16q	-5.56427704381213	34.610669481503	-0.160767680231839	0.872980354671797	-0.0387603050693979	0.937960578402214
15q	-3.79634578272113	26.123933219082	-0.145320605089747	0.885092652246618	-0.0388670263793418	0.937960578402214
17q	2.52120065768669	19.5566346999952	0.128917919486798	0.897984625642872	-0.0389685784240466	0.937960578402214
6q	3.33781364043462	31.5281168763855	0.105867840236745	0.916147541695186	-0.0390907817294801	0.937960578402214
1p	-0.71936773359842	26.1721362034828	-0.0274860152035542	0.978190994379629	-0.0393268890623442	0.978190994379629
