estimate	std_error	t_value	p_values	r_sq	FDR
6q	6.38064047383911e-16	3.35740174220722e-17	19.004697572011	2.04863922209434e-23	1	3.68755059976981e-22
20q	7.6252828531765e-16	2.47760179648728e-16	3.07768700522721	0.00350997045448689	1	0.031589734090382
10q	-6.85859291068721e-16	2.91184248075076e-16	-2.35541343875128	0.0228219714523944	1	0.136931828714367
8p	1.5530975600086e-16	8.63030590755444e-17	1.79958575819325	0.0784870885715003	1	0.353191898571751
1q	-1.37006135139512e-16	8.62397697981324e-17	-1.58866536239849	0.118986496436724	1	0.428351387172207
2p	3.07325931367293e-16	2.18638207236995e-16	1.40563689782803	0.16655055584246	1	0.472764087813596
17p	2.41072011013722e-16	1.87175560897261e-16	1.28794597894137	0.204206331528601	1	0.472764087813596
20p	-1.80823465200694e-16	1.42268266488446e-16	-1.2710035039007	0.210117372361598	1	0.472764087813596
Xq	-4.73797666503962e-17	4.74141994959045e-17	-0.999273786210157	0.322889835397073	1	0.587124060959375
4p	-1.42104445197129e-16	1.43188468204865e-16	-0.992429397273912	0.32618003386632	1	0.587124060959375
8q	1.39272627231909e-16	1.64045301450024e-16	0.848988821995236	0.400284250745577	1	0.655010592129126
18p	-6.59242365216308e-17	1.01643612224706e-16	-0.648582189069499	0.519833345697871	1	0.779750018546806
2q	4.27988268705543e-17	1.5764805141905e-16	0.271483386475797	0.787233966543725	1	0.89084144062117
14q	-4.0049082580241e-17	1.49453020006525e-16	-0.267971049219966	0.789919602870245	1	0.89084144062117
17q	3.40123527696057e-17	1.39609242265965e-16	0.243625366183206	0.808604238465672	1	0.89084144062117
11q	-4.84462409900595e-17	2.14224380438641e-16	-0.226147186846157	0.822088816842101	1	0.89084144062117
13q	2.75855910460976e-17	1.42605912226575e-16	0.193439322503467	0.847466551807534	1	0.89084144062117
15q	2.85410166045091e-17	2.06816480574184e-16	0.138001655019323	0.89084144062117	1	0.89084144062117
