estimate	p_values	FDR
amp12_5q31.3  	37	0.000514125097843877	0.0596385113498897
del14_4q35.2  	50	0.00257327153447304	0.149249748999436
amp40_19q13.33	244	0.0186861473401714	0.722531030486627
del61_20p11.21	239	0.0275944099976858	0.742677474889479
amp32_15q26.3 	237	0.0320119601245465	0.742677474889479
amp17_8p23.1  	224	0.0768104370864006	0.939801471637463
amp20_9q33.2  	93	0.086359711464462	0.939801471637463
del31_9q34.13 	94	0.0896929343495827	0.939801471637463
amp6_3q29    	95	0.096397101902285	0.939801471637463
amp31_15q25.3 	220	0.0971277851494971	0.939801471637463
amp38_19q12   	217	0.115155874489552	0.939801471637463
del51_17q11.2 	100	0.128496008806995	0.939801471637463
del73_xq28    	101	0.135579800838004	0.939801471637463
amp7_4q28.1  	102	0.142946988800501	0.939801471637463
del58_19p12   	211	0.158551584726967	0.939801471637463
del28_8q24.3  	110	0.212660040889621	0.939801471637463
del19_6p21.33 	112.5	0.232841134798257	0.939801471637463
del59_19q13.2 	113	0.238132762800325	0.939801471637463
del20_6q25.1  	202	0.244003373782445	0.939801471637463
del69_22q13.33	113	0.244003373782445	0.939801471637463
amp5_3q25.1  	114	0.255105327550504	0.939801471637463
del38_12q24.33	114	0.255105327550504	0.939801471637463
del3_1p11.2  	115.5	0.265771104091147	0.939801471637463
del68_22q13.2 	200	0.266537154960184	0.939801471637463
amp10_5p13.2  	199	0.278300380851124	0.939801471637463
amp34_16q13   	117	0.290395573300835	0.939801471637463
del22_7p22.1  	197	0.295708468496085	0.939801471637463
del27_8q21.2  	120	0.321170176936676	0.939801471637463
del49_17p11.2 	121	0.324248758928954	0.939801471637463
del13_4p16.1  	187	0.331075715096745	0.939801471637463
amp3_2q31.2  	121	0.34209868463147	0.939801471637463
amp22_10q25.1 	194	0.34209868463147	0.939801471637463
del15_5p15.33 	121	0.34209868463147	0.939801471637463
del43_16p13.11	121	0.34209868463147	0.939801471637463
del11_3q21.3  	122	0.35585154221085	0.939801471637463
del17_5q13.2  	123.5	0.368252867006869	0.939801471637463
del6_2p11.2  	123	0.369932120717069	0.939801471637463
amp15_7q31.2  	124.5	0.383565917885913	0.939801471637463
del52_17q25.1 	124	0.384338297334162	0.939801471637463
amp11_5q22.3  	125	0.399067067231077	0.939801471637463
amp43_21q22.11	125	0.399067067231077	0.939801471637463
del24_7q22.1  	126	0.405900824844818	0.939801471637463
amp18_8q24.13 	127	0.421213186760486	0.939801471637463
amp28_13q33.1 	188	0.42947936592982	0.939801471637463
amp29_14q11.2 	188	0.42947936592982	0.939801471637463
del21_6q27    	188	0.42947936592982	0.939801471637463
del50_17p11.2 	128	0.436771207712104	0.939801471637463
del12_3q29    	129	0.452748166136985	0.939801471637463
amp42_21q11.2 	186	0.461137040029133	0.939801471637463
del2_1p36.21 	185	0.469106989385153	0.939801471637463
del53_18p11.21	130	0.469135451615272	0.939801471637463
amp8_4q31.21 	130	0.477420832418928	0.939801471637463
del5_2p23.3  	185	0.477420832418928	0.939801471637463
del46_16q22.1 	130	0.477420832418928	0.939801471637463
del65_21q22.3 	130	0.477420832418928	0.939801471637463
del29_9p21.3  	184	0.494000368951395	0.939801471637463
del25_7q35    	132	0.50266137147157	0.939801471637463
del40_14q11.2 	133	0.519759787414662	0.939801471637463
del39_13q11   	135	0.554600062625652	0.939801471637463
amp13_6p22.2  	135	0.563146883317477	0.939801471637463
amp21_10q21.2 	180	0.563146883317477	0.939801471637463
del33_10q26.3 	135	0.563146883317477	0.939801471637463
del54_18p11.21	180	0.563146883317477	0.939801471637463
del30_9q34.13 	137	0.591740713605117	0.939801471637463
amp37_17q23.3 	178	0.599312521564521	0.939801471637463
amp1_1q21.1  	177	0.617764247234509	0.939801471637463
del10_3p21.1  	138	0.617764247234509	0.939801471637463
del57_19p13.12	177	0.617764247234509	0.939801471637463
del32_10q11.22	139	0.629247125733924	0.939801471637463
del16_5p14.3  	176	0.629320340145133	0.939801471637463
amp25_12p12.1 	139	0.629386196139414	0.939801471637463
amp14_6q21    	139	0.636449452761963	0.939801471637463
del1_1p36.33 	139	0.636449452761963	0.939801471637463
del55_18q23   	139	0.636449452761963	0.939801471637463
amp27_12q14.3 	140	0.648547932077898	0.939801471637463
amp19_9p22.3  	175	0.655358570525627	0.939801471637463
amp23_11q13.1 	175	0.655358570525627	0.939801471637463
del18_6p22.1  	140.5	0.658210998292577	0.939801471637463
del44_16p11.2 	141	0.66794524190308	0.939801471637463
amp30_14q13.3 	173	0.687547960670314	0.939801471637463
amp24_11q14.2 	173	0.693807372091369	0.939801471637463
del67_22q11.21	173	0.693807372091369	0.939801471637463
del64_21p11.2 	172.5	0.696947441196574	0.939801471637463
amp36_17q21.2 	143	0.713325648340885	0.939801471637463
del63_20q13.33	143	0.713325648340885	0.939801471637463
amp26_12q13.11	171	0.727436241929184	0.939801471637463
amp41_20q13.2 	171	0.733025126367348	0.939801471637463
amp4_3q21.3  	145	0.752894100784127	0.939801471637463
del35_11q14.3 	145	0.752894100784127	0.939801471637463
del56_19p13.2 	145	0.752894100784127	0.939801471637463
del66_21q22.3 	170	0.752894100784127	0.939801471637463
amp16_7q36.1  	169	0.768057514021685	0.939801471637463
del7_2q14.3  	147	0.79309320896223	0.939801471637463
del72_xp11.22 	168	0.79309320896223	0.939801471637463
del37_12p13.31	148	0.809314136582904	0.939801471637463
amp2_2q24.2  	167	0.81339879579527	0.939801471637463
amp39_19q13.12	167	0.81339879579527	0.939801471637463
del4_1q42.13 	148	0.81339879579527	0.939801471637463
del48_16q24.3 	148	0.81339879579527	0.939801471637463
del62_20q13.33	167	0.81339879579527	0.939801471637463
del23_7p11.2  	149	0.833824949605545	0.939801471637463
amp33_16p13.13	165	0.854358933497259	0.939801471637463
del8_2q37.3  	150	0.854358933497259	0.939801471637463
del60_19q13.42	150.5	0.861410828657726	0.939801471637463
amp9_5p15.33 	164	0.874987577041775	0.939801471637463
amp44_21q22.3 	164	0.874987577041775	0.939801471637463
del45_16q11.2 	164	0.874987577041775	0.939801471637463
del70_22q13.33	151	0.874987577041775	0.939801471637463
del9_2q37.3  	152	0.895697754658684	0.944553995821885
del47_16q23.1 	152	0.895697754658684	0.944553995821885
del71_xp11.23 	162	0.914562126440863	0.955758618622884
del41_15q11.1 	161	0.935867856336559	0.962193416014974
amp35_16q24.1 	161	0.937309103531828	0.962193416014974
del42_15q11.2 	156	0.97861079140487	0.979084746401229
del34_11p15.5 	156	0.979084746401229	0.979084746401229
del36_11q25   	156	0.979084746401229	0.979084746401229
