estimate	std_error	t_value	p_values	r_sq	FDR
amp24_11q14.2 	0.264563809551116	0.0884836683232325	2.98997334270387	0.00451119306263196	0.504937284531132	0.378064260461885
del35_11q14.3 	0.19417346370682	0.0679778602656445	2.85642211961405	0.00646263693097239	0.497665880581483	0.378064260461885
del73_xq28    	-0.40276374582114	0.162543315555352	-2.47788562971686	0.0170354517717357	0.477831507636669	0.664382619097692
del60_19q13.42	-0.321940295683017	0.158136860640485	-2.03583335586085	0.0476798125630979	0.456631166447029	0.90888866117174
del39_13q11   	-0.325873077998388	0.160815444884705	-2.0263792338604	0.0486775179085571	0.456206212239822	0.90888866117174
del6_2p11.2  	-0.331727581059848	0.165137079851762	-2.00880130227341	0.0505807550725997	0.455419607971503	0.90888866117174
del37_12p13.31	-0.185185742715076	0.0948671817539527	-1.95205274670616	0.0571711413572567	0.452911811384866	0.90888866117174
amp42_21q11.2 	-0.227340583417469	0.128035957946406	-1.77559950395053	0.0825618077493356	0.445438703600425	0.90888866117174
del29_9p21.3  	-0.249197319838364	0.146382054603275	-1.70237615883818	0.0955843213620326	0.442490160275454	0.90888866117174
del34_11p15.5 	0.289527721434845	0.174139681915887	1.66261772302244	0.103340008256461	0.440928585772568	0.90888866117174
amp3_2q31.2  	0.161820880931354	0.108645531166352	1.48943890461157	0.14334766607127	0.434465431186146	0.90888866117174
del50_17p11.2 	-0.517011196525466	0.348495760664755	-1.48355089180789	0.144898885612422	0.434255696226124	0.90888866117174
amp8_4q31.21 	0.24405119502619	0.168555262103475	1.44790018407357	0.15457676849569	0.433000293269659	0.90888866117174
del40_14q11.2 	-0.279250475613911	0.196595063901612	-1.4204348271616	0.162373139750048	0.432050263587824	0.90888866117174
del2_1p36.21 	-0.180584286522763	0.136504318565583	-1.32291995169371	0.192545428419737	0.428800288407403	0.90888866117174
del42_15q11.2 	0.188874596559647	0.154412342365187	1.22318328746647	0.227627490476948	0.425680669251112	0.90888866117174
del54_18p11.21	-0.195703934427358	0.165473242611576	-1.18269232740392	0.243142384766086	0.424474860881899	0.90888866117174
amp25_12p12.1 	-0.0903942670223119	0.0782758704707745	-1.15481650320404	0.254261241614792	0.423665486936697	0.90888866117174
amp14_6q21    	-0.118467265063335	0.103639082886545	-1.14307519676744	0.259052388508313	0.423329689392153	0.90888866117174
del12_3q29    	0.111350867629712	0.10042235945762	1.10882544715258	0.273396497802709	0.422367600767055	0.90888866117174
del57_19p13.12	-0.234119149700568	0.212835526614869	-1.10000033088561	0.277181850172004	0.422123933345806	0.90888866117174
amp32_15q26.3 	0.131364536778415	0.123196834237278	1.06629799046139	0.291976608154431	0.421209475350148	0.90888866117174
del58_19p12   	-0.108961388545668	0.103501252090122	-1.05275430340487	0.298073897032432	0.420849211267711	0.90888866117174
amp13_6p22.2  	-0.0908636356055632	0.0886595089403268	-1.02486057831338	0.310906871646891	0.420120374317112	0.90888866117174
del69_22q13.33	0.179760101747883	0.17849204894927	1.00710425369689	0.319269535088787	0.419665685073199	0.90888866117174
del9_2q37.3  	0.175286585077232	0.17407851134751	1.00693982112078	0.319347682247249	0.419661508253049	0.90888866117174
del51_17q11.2 	0.158733709976593	0.158193750303671	1.0034132806883	0.32102679696601	0.419572078876973	0.90888866117174
del21_6q27    	-0.189558963415108	0.189347319713036	-1.0011177538842	0.322122978814045	0.419514020552307	0.90888866117174
amp22_10q25.1 	-0.133628244293195	0.136253345109439	-0.980733678030908	0.331967627384189	0.419003801744847	0.90888866117174
del23_7p11.2  	-0.153346992755183	0.160779325468973	-0.953773081880329	0.345294032824998	0.418343764050711	0.90888866117174
amp41_20q13.2 	-0.103171515109102	0.109887836600818	-0.938880210044409	0.352804616219253	0.417986426764627	0.90888866117174
amp10_5p13.2  	0.0750535568932306	0.0813967628008222	0.922070538319645	0.361409224314534	0.417589339593101	0.90888866117174
del70_22q13.33	0.185740076497742	0.201620057176977	0.921238090586911	0.36183884781534	0.417569847543247	0.90888866117174
del11_3q21.3  	0.129926282635145	0.142849231875019	0.909534345615659	0.367914102965108	0.417297527728761	0.90888866117174
del22_7p22.1  	0.0798913924232108	0.0888973813096056	0.898692303938298	0.373600293435221	0.417048141305479	0.90888866117174
amp33_16p13.13	0.124332283116082	0.141350673326202	0.879601633231376	0.383748365661111	0.416615785379379	0.90888866117174
amp11_5q22.3  	0.118752097918246	0.136469493005753	0.870173218224237	0.388824002603935	0.416405448183443	0.90888866117174
amp4_3q21.3  	-0.0944539033214167	0.110552254510287	-0.854382425214385	0.397418831772215	0.416057918847038	0.90888866117174
amp34_16q13   	0.15426765211196	0.180650943424654	0.85395431204212	0.397653488425797	0.416048579685662	0.90888866117174
amp9_5p15.33 	-0.0635877822792731	0.07468735608361	-0.851386173157458	0.399062943763423	0.41599264850864	0.90888866117174
del19_6p21.33 	-0.116487690432586	0.137365952179694	-0.848009922285575	0.400920632014077	0.415919357656855	0.90888866117174
del48_16q24.3 	0.152879532460666	0.187547520245724	0.815150913541079	0.419279426661964	0.415220348138348	0.90888866117174
amp12_5q31.3  	-0.0521726535950122	0.0644141516269024	-0.809956388111808	0.422227796342226	0.415112224156257	0.90888866117174
del26_8p23.1  	0.119126639916695	0.147986706194752	0.804982035074984	0.425062938020131	0.41500929381805	0.90888866117174
del44_16p11.2 	-0.211761048119626	0.263182122078835	-0.804617906592432	0.425270924269223	0.415001782685526	0.90888866117174
del3_1p11.2  	0.140994035811423	0.176963647875365	0.796740107384791	0.429785660434346	0.414840067134346	0.90888866117174
amp16_7q36.1  	-0.0944825176656057	0.118603107652052	-0.796627673052135	0.42985030373703	0.41483776995363	0.90888866117174
