estimate	std_error	t_value	p_values	r_sq	FDR
del9_2q37.3  	-45.0655616562803	17.8784048220282	-2.52067016632012	0.0155987325226049	0.0960160622682873	0.785303133630962
amp14_6q21    	25.6495432936052	11.2558710371678	2.27877018214835	0.0278288721120397	0.0737772562719899	0.785303133630962
del68_22q13.2 	-42.0098226735427	19.0923545543053	-2.20034792220373	0.0333348369128538	0.066831552976671	0.785303133630962
amp19_9p22.3  	19.9610709828602	9.1854965624514	2.17310744684804	0.0354621162295526	0.064452115372907	0.785303133630962
amp30_14q13.3 	-17.7252986520108	8.47376655944084	-2.09178510260737	0.0425426018910602	0.0574553905858362	0.785303133630962
del62_20q13.33	-28.5096463323634	13.7122677525784	-2.07913430854664	0.0437488727626945	0.0563817554866812	0.785303133630962
amp4_3q21.3  	-23.2044381032936	11.6844868477812	-1.98591845800228	0.0535950745862412	0.0485991558630775	0.785303133630962
del57_19p13.12	43.9460165125736	22.4424567141359	1.95816425413414	0.0568749434526912	0.0463269551001854	0.785303133630962
del52_17q25.1 	-26.5184807195993	14.0387980974454	-1.88894238207078	0.0658175446774295	0.0407536076276163	0.785303133630962
del4_1q42.13 	-28.3562944513251	15.0868020763014	-1.87954308062857	0.0671199259513643	0.0400073833697724	0.785303133630962
del11_3q21.3  	-27.1065066802151	16.0192717378023	-1.69211853846321	0.098030763577246	0.0256830710999864	0.984889914629918
del73_xq28    	32.9632858920687	19.9491440710902	1.65236592480368	0.10591763185663	0.022787106953955	0.984889914629918
del63_20q13.33	-22.6715215636435	14.6076831828953	-1.5520271955371	0.128159331719432	0.0157119732590693	0.984889914629918
amp32_15q26.3 	-19.9782244032425	13.5932332249506	-1.46971835711405	0.149089742513758	0.0101683106201798	0.984889914629918
del23_7p11.2  	24.8389745481454	17.5914140672703	1.41199419518864	0.165318211023471	0.00642566345226014	0.984889914629918
amp33_16p13.13	20.5358239778774	14.9756506173878	1.37128092144683	0.177570001217039	0.00385986914483039	0.984889914629918
amp1_1q21.1  	-14.8024994333997	11.2244337447098	-1.31877471684274	0.194390331496512	0.000643085733894933	0.984889914629918
del43_16p13.11	23.0334107599024	17.6191812879746	1.30729177385915	0.19822546444409	-4.6373449075654e-05	0.984889914629918
del71_xp11.23 	33.1005452303946	25.469392961405	1.29962050059667	0.200819323814193	-0.000504137592580944	0.984889914629918
del37_12p13.31	-13.4520217944375	10.4545425715869	-1.28671548298986	0.205240612347714	-0.00126906831764617	0.984889914629918
amp35_16q24.1 	-18.3996331692161	15.1413994222841	-1.21518709440666	0.231081930801679	-0.00539045407732153	0.984889914629918
amp24_11q14.2 	-12.4503491002087	10.3008826622438	-1.2086681800428	0.233551253672931	-0.00575598002771449	0.984889914629918
del31_9q34.13 	19.5527531132345	16.4051747047004	1.19186497341185	0.240005433029589	-0.006690303497765	0.984889914629918
del35_11q14.3 	-9.3043932599106	7.89277320037602	-1.17884969245883	0.245093461760898	-0.00740618675592675	0.984889914629918
amp12_5q31.3  	-7.9335542457215	6.9678256256488	-1.13859827612761	0.261323780857417	-0.00957660746486977	0.984889914629918
del46_16q22.1 	-18.709047854239	16.7436079339694	-1.11738449251921	0.270181200584503	-0.0106937836247347	0.984889914629918
amp23_11q13.1 	7.65336467428462	7.18287965836036	1.06550089077111	0.292736482620083	-0.0133474596490333	0.984889914629918
amp16_7q36.1  	13.978159719262	13.2849812651849	1.05217760117537	0.298734211482987	-0.0140107158123322	0.984889914629918
del56_19p13.2 	21.0172295193616	20.1699967001397	1.04200460871746	0.303370630128493	-0.0145121013906273	0.984889914629918
del64_21p11.2 	-17.8233154691987	17.2810145141163	-1.03138131471618	0.308264909912341	-0.0150310026906868	0.984889914629918
amp5_3q25.1  	-16.0537460327164	15.7702805852675	-1.01797466100341	0.314518370514884	-0.015679013803785	0.984889914629918
del14_4q35.2  	-27.6047610863833	27.1258209466926	-1.01765624497161	0.314667937342319	-0.0156943113697259	0.984889914629918
del10_3p21.1  	19.2486018450304	19.3226504350451	0.996167782972444	0.32487350742217	-0.0167166592100643	0.984889914629918
amp39_19q13.12	-8.89596595409509	9.09589037162253	-0.978020357616538	0.333664315006836	-0.017564617260061	0.984889914629918
del67_22q11.21	-27.2180213150036	28.2409406154562	-0.96377885161896	0.340673404531744	-0.0182201173878684	0.984889914629918
del29_9p21.3  	15.9745156697686	17.1743430670695	0.930138381851619	0.357615051720446	-0.0197335402774683	0.984889914629918
del53_18p11.21	-14.3371344400831	15.4825044306163	-0.926021659114253	0.359725402614871	-0.0199153540356778	0.984889914629918
del36_11q25   	-13.0501937513876	14.1292616744305	-0.92362885280866	0.360955740826202	-0.0200206906137002	0.984889914629918
amp18_8q24.13 	-6.05765482373588	6.62640579846246	-0.914169009260111	0.365846561331249	-0.0204346757593967	0.984889914629918
amp6_3q29    	-4.55498262025087	5.21429478554018	-0.873556791012725	0.38732714102399	-0.0221671773090673	0.984889914629918
amp13_6p22.2  	8.46390494922136	9.99565011139908	0.846758825578448	0.401928720802299	-0.0232703185874323	0.984889914629918
amp26_12q13.11	20.3214976503978	24.1246429863839	0.842354337092882	0.404360972027397	-0.0234485644658631	0.984889914629918
del44_16p11.2 	24.3064497638888	30.0614639066675	0.808558420153906	0.423325715964816	-0.0247873067764495	0.984889914629918
del55_18q23   	14.8062506541856	18.9080855566913	0.783064504853895	0.437982600300897	-0.0257631193624881	0.984889914629918
amp40_19q13.33	10.9123454103367	14.1301087870548	0.772276107338536	0.44427503986366	-0.0261671892905113	0.984889914629918
