estimate	std_error	t_value	p_values	r_sq	FDR
amp32_15q26.3 	-1.05945022961793e-15	1.23115528252412e-16	-8.6053339059379	3.85135813782238e-11	1	3.35068157990547e-09
del4_1q42.13 	1.15845867886585e-15	1.41282076455007e-16	8.19961532229305	1.50450092645479e-10	1	6.54457903007835e-09
del25_7q35    	-9.58828706092591e-16	2.01455413439026e-16	-4.75950826897386	1.96081529249537e-05	1	0.000568636434823658
del16_5p14.3  	-7.25841177503634e-16	1.62705695567341e-16	-4.46106803435913	5.22615187421398e-05	1	0.00113668803264154
del1_1p36.33 	-8.97807863675831e-16	2.1006531164529e-16	-4.27394631052576	9.56481207999033e-05	1	0.00166427730191832
del40_14q11.2 	9.33531099098482e-16	2.35993619603989e-16	3.95574719632252	0.000261654055693575	1	0.00379398380755683
del49_17p11.2 	6.72200391861005e-16	2.05875719811909e-16	3.26507852638056	0.00206999840786527	1	0.0257271230691827
amp44_21q22.3 	-5.99708265467531e-16	2.00370842142033e-16	-2.99299169009046	0.00443257711979743	1	0.048204276177797
del38_12q24.33	1.28834462150457e-15	4.52603574945458e-16	2.84651888058953	0.00658227907191285	1	0.0625691973751949
amp15_7q31.2  	-6.7424302887205e-16	2.39675151196055e-16	-2.81315366030797	0.00719186176726379	1	0.0625691973751949
amp10_5p13.2  	-3.63910012114768e-16	1.3263102554694e-16	-2.74377741266861	0.00863029085458489	1	0.0682577549408078
amp39_19q13.12	-1.99197646947286e-16	7.37164351765601e-17	-2.70221486524928	0.00961480178324857	1	0.0697073129285522
del67_22q11.21	4.4773366726107e-15	1.67922229323714e-15	2.66631564542862	0.0105473125966459	1	0.0705858612237069
amp42_21q11.2 	-5.83213979410676e-16	2.2212303984095e-16	-2.62563478254342	0.0117039929935049	1	0.0727319564596376
del6_2p11.2  	8.01675641382374e-16	3.16413484513721e-16	2.53363298537806	0.0147600295482169	1	0.0856081713796581
del41_15q11.1 	1.28676818598116e-15	5.59681470616169e-16	2.29910807046108	0.0260902490273566	1	0.141865729086251
amp9_5p15.33 	-3.45313259903174e-16	1.59902092156793e-16	-2.15952934227137	0.0360573366524875	1	0.175283190600051
amp25_12p12.1 	-6.15647738180364e-16	2.85418694010906e-16	-2.15699865180114	0.0362654877103553	1	0.175283190600051
amp22_10q25.1 	5.7684960669725e-16	2.82290558132717e-16	2.0434605057745	0.0467586760873279	1	0.214105516820922
del31_9q34.13 	3.47484117361009e-16	1.75538653234347e-16	1.97953049632386	0.0537586413903992	1	0.233850090048237
del3_1p11.2  	8.12194121745138e-16	4.42842268190616e-16	1.83404832845707	0.0731203533892831	1	0.268521976760004
amp14_6q21    	-2.46357772854564e-16	1.35005680724344e-16	-1.82479560513887	0.0745298978234429	1	0.268521976760004
del21_6q27    	8.08017032318108e-16	4.44003367386569e-16	1.81984437882565	0.0752935308907945	1	0.268521976760004
del2_1p36.21 	-3.16576414636828e-16	1.74393219603541e-16	-1.81530231138872	0.0759998503439158	1	0.268521976760004
amp2_2q24.2  	-8.67188302557832e-16	4.85618142153076e-16	-1.78574115603053	0.0807344210195674	1	0.268521976760004
del35_11q14.3 	-3.35281050293303e-16	1.87806952621761e-16	-1.78524301477034	0.0808162778444732	1	0.268521976760004
amp29_14q11.2 	-1.38933829740627e-16	7.84882955545402e-17	-1.77012163098999	0.0833344065806909	1	0.268521976760004
del18_6p22.1  	4.40516434112538e-16	2.52027085543418e-16	1.74789322013823	0.087154950406212	1	0.270802881619302
amp31_15q25.3 	4.2225011769322e-16	2.52148634951363e-16	1.67460798578057	0.100797842837449	1	0.302393528512348
