estimate	std_error	t_value	p_values	r_sq	FDR
del25_7q35    	0.255057817037553	0.113100691513804	2.25513932429338	0.0289265249103038	0.117016942398396	0.941002464207164
del32_10q11.22	0.372181020872648	0.189422417296647	1.96482035328369	0.0554916717288152	0.0953209613551192	0.941002464207164
del18_6p22.1  	0.194043287826796	0.0993590532775633	1.95295024887896	0.0569249592422064	0.0944763896541514	0.941002464207164
del29_9p21.3  	0.293791152304379	0.153601278993474	1.91268688795788	0.0620259181331484	0.091638219573619	0.941002464207164
del66_21q22.3 	0.490001657080931	0.261779090134284	1.8718135846128	0.0675987050440213	0.0887998455932223	0.941002464207164
del5_2p23.3  	-0.262806365615275	0.144923047369106	-1.81342009008361	0.0762941791911242	0.0848215436022597	0.941002464207164
del60_19q13.42	-0.293894364785694	0.162619161249092	-1.80725544596508	0.0772648936869069	0.0844069194611426	0.941002464207164
del30_9q34.13 	-0.220399532737931	0.127788479839538	-1.72472145387975	0.0912919411174211	0.0789571046803121	0.941002464207164
amp7_4q28.1  	0.203603043218347	0.120349988877195	1.69175788978347	0.0974568680655854	0.0768342455233746	0.941002464207164
amp34_16q13   	0.30828544982604	0.185120832757664	1.66532013298367	0.102646209018251	0.0751543446276288	0.941002464207164
amp31_15q25.3 	-0.156029288479739	0.0945017979491599	-1.65107216863408	0.105535725673197	0.0742574800580613	0.941002464207164
del59_19q13.2 	-0.188423113850294	0.118849554945943	-1.58539183370099	0.119728743922982	0.0702011429878837	0.941002464207164
amp26_12q13.11	-0.348739578618177	0.22069741802288	-1.58017063245399	0.120920358671344	0.0698842621345208	0.941002464207164
del41_15q11.1 	-0.212632550426383	0.148037751306637	-1.4363400453574	0.157672104505768	0.061488085224799	0.941002464207164
del73_xq28    	0.239905553800243	0.179961242053672	1.33309567694967	0.189065365879861	0.0558714364603409	0.941002464207164
del16_5p14.3  	-0.108945700500064	0.0834232633411824	-1.30593908865086	0.198066496361113	0.0544530871072113	0.941002464207164
del68_22q13.2 	-0.238796542878032	0.191437793866931	-1.24738453183398	0.218569915680934	0.051480431384176	0.941002464207164
amp4_3q21.3  	0.143525585129866	0.116029022224933	1.23698004497209	0.222372444375558	0.0509645933246093	0.941002464207164
amp33_16p13.13	0.181357529445081	0.147387742743752	1.23047904845376	0.224773071167679	0.0506441951760956	0.941002464207164
amp16_7q36.1  	0.14557604804131	0.123778906929742	1.17609737920808	0.245606839606916	0.0480220497798588	0.941002464207164
amp17_8p23.1  	-0.0732548246299655	0.062521087474568	-1.17168186909359	0.247357949469682	0.0478137275449396	0.941002464207164
amp41_20q13.2 	-0.134956745181004	0.115511739042635	-1.16833792218462	0.248690092698662	0.0476564223175676	0.941002464207164
amp35_16q24.1 	-0.154200838690877	0.134718671493037	-1.14461371227853	0.258290140484726	0.0465518409109603	0.941002464207164
amp27_12q14.3 	-0.0914641801117093	0.0805803957897036	-1.13506739716705	0.262227030343753	0.0461130551428358	0.941002464207164
amp1_1q21.1  	0.115601738618887	0.10325607493538	1.11956355779777	0.268711680837957	0.0454074229917432	0.941002464207164
amp39_19q13.12	-0.0989505919190532	0.0885538995639782	-1.11740524591538	0.269623362113827	0.0453098783791488	0.941002464207164
amp2_2q24.2  	0.216321147722446	0.194363862283996	1.11296999956899	0.271503706263549	0.0451099565787703	0.941002464207164
del36_11q25   	0.148025791589546	0.13369888627764	1.1071580004201	0.273981747368506	0.0448490544586215	0.941002464207164
del19_6p21.33 	0.156148766323387	0.143452960909008	1.08850152226856	0.282043926079646	0.0440198450454048	0.941002464207164
del48_16q24.3 	-0.208431379853381	0.197586246179061	-1.05488810017926	0.296985764480369	0.0425579240071736	0.941002464207164
del7_2q14.3  	-0.168239290042321	0.163624024919877	-1.02820652483463	0.30922911987757	0.0414270692919942	0.941002464207164
amp3_2q31.2  	0.119445230510235	0.116457190158407	1.02565784343383	0.310416412499746	0.041320425734917	0.941002464207164
del51_17q11.2 	-0.169641222560465	0.167442643674992	-1.01313034025992	0.316297439972633	0.04079974912982	0.941002464207164
amp13_6p22.2  	0.0931809769079154	0.0927426020555884	1.00472679052141	0.320284547905466	0.0404537483617312	0.941002464207164
del20_6q25.1  	-0.238875231511151	0.253203211252534	-0.943413119958052	0.350398469153564	0.0380094012521781	0.941002464207164
del38_12q24.33	-0.139884852590355	0.150148924867488	-0.931640720796426	0.356386337266331	0.0375563226514191	0.941002464207164
del46_16q22.1 	-0.139617780567224	0.15237707662829	-0.916264989830517	0.364306703368163	0.0369725035942029	0.941002464207164
amp42_21q11.2 	0.125748994745333	0.138804161628787	0.905945421734773	0.369685783257156	0.0365857267321522	0.941002464207164
amp43_21q22.11	0.107613099481824	0.119390160161024	0.901356521648722	0.37209404585511	0.0364150434120354	0.941002464207164
del23_7p11.2  	0.151230439588937	0.169804509774064	0.890614977129639	0.377770398052295	0.0360186694278036	0.941002464207164
amp11_5q22.3  	-0.127392985898306	0.14400473271666	-0.884644438380795	0.380949224758271	0.0358002658977731	0.941002464207164
del35_11q14.3 	0.0663406821988482	0.0774441988655868	0.856625585526296	0.396092540293872	0.034793676580118	0.941002464207164
del3_1p11.2  	0.158934640450713	0.186620017455362	0.851648406306301	0.398821327024568	0.0346180424874003	0.941002464207164
del45_16q11.2 	0.172902521691687	0.206815214353836	0.836024188219881	0.40746312795111	0.0340729393539703	0.941002464207164
amp28_13q33.1 	0.102266935479795	0.122936117058412	0.831870551362894	0.409779781955513	0.0339296219477812	0.941002464207164
amp24_11q14.2 	0.0842146479554324	0.101501624342065	0.829687687279023	0.411000491205339	0.0338545734145328	0.941002464207164
amp40_19q13.33	-0.109573347477626	0.135179893039539	-0.810574302241655	0.421784109861232	0.0332053768160397	0.941002464207164
del27_8q21.2  	0.0704427265321208	0.0927182343335697	0.759750517667227	0.451280012911178	0.0315487787451907	0.941002464207164
amp20_9q33.2  	0.141060748601542	0.186834637297349	0.755003197704945	0.454095460901473	0.0313992372340459	0.941002464207164
amp18_8q24.13 	-0.0471878785979903	0.0625592095368584	-0.754291477583143	0.454518434093293	0.0313768947430002	0.941002464207164
amp19_9p22.3  	0.0699577643372682	0.094144509779407	0.743089156247013	0.461206083492326	0.0310278709570755	0.941002464207164
amp6_3q29    	-0.0366979363162296	0.051351078778469	-0.714647816349609	0.47843792881928	0.0301641222101664	0.941002464207164
