estimate	std_error	t_value	p_values	r_sq	FDR
amp37_17q23.3 	0.620687290289385	0.217753132779679	2.85041727008076	0.00651427380181769	0.162428111321898	0.72906043488783
amp30_14q13.3 	0.312516027473993	0.120156327787987	2.60091193886534	0.0124625715365441	0.140837720389111	0.72906043488783
del39_13q11   	-0.696115924100014	0.299328763444518	-2.32558981666004	0.0245043065392365	0.118169306426092	0.955667955030222
del42_15q11.2 	-0.61719795931859	0.281162466043329	-2.19516483833754	0.0332360770267444	0.107937956098074	0.964245303038599
del59_19q13.2 	-0.383164360850052	0.209730948152311	-1.82693285957869	0.0742022916063634	0.0811591986172191	0.964245303038599
del54_18p11.21	-0.528662878224956	0.30674135500833	-1.72348093790809	0.0915179407598976	0.0742675317718733	0.964245303038599
del48_16q24.3 	-0.590602166619551	0.345033862612919	-1.71172232819979	0.0936832947766825	0.0735033111458011	0.964245303038599
del52_17q25.1 	0.417672622441952	0.247576880771465	1.68704210643764	0.0983663109647381	0.0719122605092254	0.964245303038599
amp38_19q12   	-0.330016674449577	0.203255836538038	-1.6236516504057	0.111284146683057	0.067907542998523	0.964245303038599
del26_8p23.1  	-0.415639369560697	0.27053612647212	-1.53635440479159	0.131302003773294	0.0625906526844364	0.964245303038599
amp17_8p23.1  	-0.167694102733281	0.11017039679887	-1.52213396344054	0.134820838987473	0.0617468319361202	0.964245303038599
amp6_3q29    	-0.132691409695512	0.0897835930928914	-1.47790264484323	0.146248691033954	0.059162954785473	0.964245303038599
del57_19p13.12	-0.574180123513268	0.397243888911563	-1.44540958222543	0.155121550437737	0.0573045828960244	0.964245303038599
del55_18q23   	-0.449465675726774	0.316652040090699	-1.41943085412629	0.162514828143165	0.0558433658185977	0.964245303038599
del9_2q37.3  	0.436361932419994	0.324272471218041	1.34566443701163	0.185006334416919	0.0518153912953956	0.964245303038599
del63_20q13.33	0.325264154866901	0.24968964971459	1.30267376016065	0.199170254949686	0.049552050567048	0.964245303038599
del44_16p11.2 	-0.638093252616679	0.490360202696794	-1.30127455104923	0.199644639291747	0.0494794423440946	0.964245303038599
amp40_19q13.33	-0.309551079212628	0.237940742801632	-1.30095869907701	0.199751842790364	0.0494630613105592	0.964245303038599
amp29_14q11.2 	-0.141578976485497	0.109063350579825	-1.29813521896041	0.20071209163739	0.0493167787659984	0.964245303038599
del4_1q42.13 	0.304423110866449	0.235000007290502	1.29541745286045	0.201639670230584	0.0491762309891816	0.964245303038599
del2_1p36.21 	-0.324306371904757	0.256635195284363	-1.26368626698069	0.212709473913892	0.0475540641246659	0.964245303038599
del43_16p13.11	-0.3534707707057	0.288619172889642	-1.22469608365503	0.226924575925141	0.0456086135331963	0.964245303038599
amp43_21q22.11	0.255494167874887	0.210998809069963	1.21087966799931	0.232126189682446	0.044932002917303	0.964245303038599
del37_12p13.31	-0.217195477067422	0.180139115179939	-1.20570969192598	0.234094897108542	0.0446805508118687	0.964245303038599
del31_9q34.13 	-0.330172510822666	0.275637208756651	-1.19785174255687	0.237110531708446	0.044300172670272	0.964245303038599
del70_22q13.33	-0.438341688755738	0.372873248613731	-1.17557827059304	0.24581224154398	0.0432338893567671	0.964245303038599
amp18_8q24.13 	0.125319641041292	0.110482510541404	1.13429392966526	0.262547872701651	0.041304407076023	0.964245303038599
del10_3p21.1  	-0.344545477789565	0.314832270880731	-1.09437789469838	0.279486779192972	0.0394974253808229	0.964245303038599
amp22_10q25.1 	-0.277733685776455	0.255172570762596	-1.08841512607109	0.282081643891184	0.0392324787917298	0.964245303038599
amp5_3q25.1  	0.276652770112247	0.256224203925383	1.07972926005387	0.285891658029844	0.0388488666948236	0.964245303038599
del25_7q35    	0.22597465488597	0.20947579680292	1.07876259851907	0.286317890578176	0.0388063452119054	0.964245303038599
amp11_5q22.3  	-0.272248973482155	0.255305705147049	-1.06636462873145	0.291823878153431	0.0382640305385912	0.964245303038599
amp10_5p13.2  	0.155611811860012	0.152869988800652	1.01793565290919	0.314032717490624	0.0362001276092982	0.964245303038599
del61_20p11.21	0.350738651420797	0.351662585994587	0.997372667407376	0.32380148138021	0.0353502328184254	0.964245303038599
del28_8q24.3  	0.138171472688305	0.142563512189974	0.969192401097579	0.337517772961179	0.0342113313445775	0.964245303038599
amp39_19q13.12	-0.152313540882407	0.158128517355601	-0.963226263229187	0.340470477349808	0.0339740594081384	0.964245303038599
amp36_17q21.2 	0.208883204034608	0.218236226010448	0.957142669909478	0.343498861734764	0.0337335059931378	0.964245303038599
amp21_10q21.2 	-0.274457387702497	0.286912856614439	-0.956587972184602	0.343775869106067	0.0337116423850201	0.964245303038599
del71_xp11.23 	-0.411713124709798	0.434992029997885	-0.946484294693399	0.348847258604112	0.0333154489705856	0.964245303038599
amp20_9q33.2  	0.313468208641953	0.331337308507257	0.946069762123052	0.349056370218679	0.0332992769328631	0.964245303038599
amp14_6q21    	-0.183240614747912	0.19571937394864	-0.936241574101893	0.354038289799138	0.0329177709682889	0.964245303038599
del12_3q29    	-0.176652176655918	0.18985208763314	-0.930472658258417	0.356984068581651	0.0326955527805791	0.964245303038599
del23_7p11.2  	-0.278211094795436	0.30200581458359	-0.921211054095225	0.36174656748239	0.032341458173072	0.964245303038599
del47_16q23.1 	-0.201595447713229	0.220658990377161	-0.913606317914588	0.365687682815262	0.0320531668272814	0.964245303038599
amp28_13q33.1 	-0.194860139874064	0.218536489555819	-0.891659513109787	0.377216007279691	0.031233638464008	0.964245303038599
amp31_15q25.3 	-0.144220351294185	0.17177603798772	-0.83958364032412	0.405484305595143	0.0293635970534302	0.964245303038599
del62_20q13.33	0.198630118683383	0.239536227756325	0.829227881493756	0.411257909570987	0.029004307932227	0.964245303038599
del11_3q21.3  	0.221366810209421	0.269062831279511	0.82273277641778	0.4149046894261	0.0287811042885805	0.964245303038599
amp16_7q36.1  	-0.179234302707903	0.221997257930653	-0.807371696293165	0.423607619149724	0.0282598070131959	0.964245303038599
del72_xp11.22 	-0.386051212379921	0.508412129237586	-0.759327305898156	0.451530588201095	0.0266894050003548	0.964245303038599
amp32_15q26.3 	-0.176444294321387	0.233142394775456	-0.756809135855895	0.453023226516199	0.0266096160385971	0.964245303038599
amp19_9p22.3  	-0.125628084511838	0.167521517406842	-0.749922078408221	0.457120175574097	0.0263926851762516	0.964245303038599
del18_6p22.1  	-0.132852073541133	0.182958512984083	-0.726132232790341	0.471436422000714	0.0256578833331055	0.964245303038599
del36_11q25   	-0.16953878167574	0.23978084026937	-0.707057250634703	0.483097571131365	0.025085051782708	0.964245303038599
amp35_16q24.1 	0.169415347710178	0.241849421293126	0.700499289203771	0.487143738631268	0.0248914829825101	0.964245303038599
del66_21q22.3 	0.336649032018211	0.480723318883261	0.700296862653262	0.487268932988676	0.0248855355169643	0.964245303038599
del24_7q22.1  	-0.103393748451945	0.147647650754335	-0.70027357647551	0.487283335896838	0.0248848514546931	0.964245303038599
amp3_2q31.2  	0.144517411344995	0.208518092502385	0.693068930425504	0.491750917824329	0.0246742520686826	0.964245303038599
del67_22q11.21	-0.339666398914752	0.490133032746288	-0.693008583836005	0.491788434249695	0.0246724968898148	0.964245303038599
del27_8q21.2  	-0.108727554047355	0.165257953179367	-0.657926302217626	0.513864731454254	0.0236769832423153	0.964245303038599
del68_22q13.2 	0.225816341873946	0.344793451743185	0.654932223139036	0.515773201789327	0.0235943250334962	0.964245303038599
del32_10q11.22	-0.222864665589204	0.349415419131308	-0.637821496667991	0.526752302834067	0.0231289181898688	0.964245303038599
amp13_6p22.2  	0.102814193824696	0.166156089198985	0.618780776078379	0.539113145481197	0.0226249992603816	0.964245303038599
del7_2q14.3  	0.177380598023286	0.293349431853001	0.60467339889778	0.548367257207797	0.0222611688072738	0.964245303038599
