estimate	std_error	t_value	p_values	r_sq	FDR
del36_11q25   	0.689861095821498	0.188599365624478	3.65781238731781	0.000652470152370583	0.177998887346702	0.0763390078273582
del72_xp11.22 	1.38095147076244	0.406581278219748	3.39649547271104	0.00141637467242426	0.151662675894511	0.0828579183368192
amp26_12q13.11	-1.04745149099288	0.323462969788843	-3.23824236102406	0.00223474939144172	0.135893749135512	0.0871552262662272
del71_xp11.23 	1.04612737204622	0.358616407751073	2.91712077148565	0.00544727389036383	0.104559637484104	0.148474347484444
amp11_5q22.3  	-0.59315892356331	0.212410933359895	-2.79250655406848	0.00759487149598519	0.0927170897733417	0.148474347484444
amp14_6q21    	-0.45332865441897	0.162393255223377	-2.79154853934914	0.00761406910176635	0.0926268618598703	0.148474347484444
del9_2q37.3  	0.715788994142039	0.274234244200241	2.61013717024845	0.0121744010130848	0.0757908041529695	0.203486416932989
amp21_10q21.2 	-0.586279741015938	0.242600123682086	-2.41665062703853	0.0196886842748131	0.0584509702639884	0.26301496219126
del10_3p21.1  	0.6347327382504	0.267556303384261	2.37233333777528	0.021914290651918	0.0545804040585947	0.26301496219126
del1_1p36.33 	0.728675258031055	0.313458823200322	2.32462832148572	0.0245603448900483	0.0504593375826893	0.26301496219126
del33_10q26.3 	0.625583654785811	0.272222344384141	2.29806137406205	0.0261547752882699	0.0481853255889059	0.26301496219126
del34_11p15.5 	0.645760798585414	0.284710529506509	2.26813107230251	0.0280611940159604	0.0456418975350095	0.26301496219126
del14_4q35.2  	0.884322151481076	0.392900297967689	2.25075459615406	0.0292238846879178	0.0441744132186211	0.26301496219126
del63_20q13.33	0.472111722928999	0.215000242281284	2.19586600424077	0.0331825790377212	0.0395841188228014	0.27731155338667
amp13_6p22.2  	-0.296852630395344	0.141691661237919	-2.09506069589296	0.041700185243923	0.031339782809245	0.325261444902599
del19_6p21.33 	0.453644439695623	0.219863392635037	2.06330137208722	0.0447537202710349	0.0287943208324439	0.327261579481943
amp7_4q28.1  	-0.375977797572066	0.188203574036102	-1.99771869103796	0.0516805472654518	0.0236201026982755	0.340928783896283
