estimate	std_error	t_value	p_values	r_sq	FDR
amp6_3q29    	0.300592558349986	0.0802575847290072	3.74534767480168	0.000500414262733828	0.186512648427531	0.041190609630493
amp27_12q14.3 	0.464521982548696	0.127878966169191	3.63251280851073	0.000704112985136633	0.175072321340184	0.041190609630493
del72_xp11.22 	1.49047541264875	0.46069654663049	3.23526499937976	0.00225377399090733	0.135215801756576	0.0878971856453857
del12_3q29    	0.499944426601742	0.176414269095421	2.83392284062536	0.00680654217466078	0.0962297596582053	0.199091358608828
amp21_10q21.2 	-0.713484024045869	0.269275029181913	-2.64964793138641	0.0110079118327464	0.0790054122017895	0.241978690758287
del36_11q25   	0.584458099406769	0.224566417925629	2.60260685816491	0.0124091636286301	0.074693561914192	0.241978690758287
amp8_4q31.21 	-0.755897203725635	0.304308576854485	-2.4839825795876	0.0166958568655096	0.0639915949528275	0.279059321894947
amp11_5q22.3  	-0.568282115393063	0.24386199729325	-2.33034306985393	0.0242289525448117	0.0505299730590534	0.32284681030388
del54_18p11.21	0.689946098082738	0.298936603547904	2.30800139525963	0.02554770584701	0.0486130035951917	0.32284681030388
del55_18q23   	0.696278787014065	0.306016493604342	2.27529823250085	0.0275937444704171	0.0458265581469877	0.32284681030388
del52_17q25.1 	0.526654456846772	0.24240810803366	2.17259423011396	0.0349993899417885	0.0372326974846385	0.346887034514012
del71_xp11.23 	0.9039472264957	0.417449605390769	2.1654044340263	0.0355781573860525	0.0366402991912579	0.346887034514012
del11_3q21.3  	0.543958593349392	0.258252468698697	2.10630549280064	0.0406635539659862	0.0318183260011312	0.348432807103986
del5_2p23.3  	0.533197737828694	0.254492679858039	2.09513978211916	0.0416928145252633	0.0309169604905927	0.348432807103986
amp7_4q28.1  	-0.41848612830654	0.211416074629708	-1.9794432804578	0.0537687773654457	0.0217651816544345	0.419396463450476
amp20_9q33.2  	-0.610204414784427	0.321431369688183	-1.89839720801482	0.0639278976156233	0.0155672168913826	0.442068063756987
del45_16q11.2 	0.673248863797523	0.356427698226288	1.88887919526976	0.0652221786785903	0.0148513057156138	0.442068063756987
del37_12p13.31	0.326424490486447	0.17608902951476	1.8537468880711	0.0701944188041422	0.012231082697385	0.442068063756987
amp5_3q25.1  	0.454529381880963	0.250035972443415	1.81785595664171	0.0756020587994723	0.00959105586812248	0.442068063756987
amp40_19q13.33	0.414293407737877	0.233882952006664	1.77137069710866	0.0831239442683562	0.00622814470512589	0.442068063756987
del69_22q13.33	-0.571428984135115	0.324890577620648	-1.75883520020803	0.0852564073857377	0.00533235869307846	0.442068063756987
amp32_15q26.3 	-0.397212535549822	0.226610890003751	-1.75283957246383	0.0862923874739843	0.00490559326814988	0.442068063756987
del53_18p11.21	0.437878979943065	0.250311252761313	1.74933797467192	0.0869022689436811	0.00465685675766059	0.442068063756987
amp31_15q25.3 	-0.284579480419287	0.167519158135947	-1.69878767053224	0.0961140641743953	0.00110793641816298	0.468556062850177
del49_17p11.2 	0.418350364808242	0.261832336317718	1.59777959701891	0.116939523461986	-0.00574255018091896	0.54236854749387
del73_xq28    	0.496932074127168	0.317296416079272	1.5661446172875	0.124168961578854	-0.0078201480806197	0.54236854749387
del43_16p13.11	0.44539095377883	0.28515673323839	1.56191631430455	0.125161972498585	-0.00809533256783723	0.54236854749387
amp2_2q24.2  	-0.518258560558945	0.341270434345884	-1.51861546855735	0.135703005668522	-0.0108790225419326	0.567044702257752
del61_20p11.21	0.509615956883428	0.346585815264214	1.47038896123008	0.148263964066648	-0.0139045886459264	0.576948357290364
amp26_12q13.11	-0.572962264491362	0.393388033013255	-1.45648117484056	0.152051963201495	-0.0147622599203479	0.576948357290364
del56_19p13.2 	0.482351547033669	0.33184934515682	1.4535256858974	0.152866658769242	-0.0149436558744096	0.576948357290364
amp22_10q25.1 	0.355757741335852	0.252458809231177	1.40917143045733	0.165509106381561	-0.0176292489732046	0.605142670207583
del25_7q35    	-0.284531961236502	0.20742730395138	-1.37171893871404	0.176804691174359	-0.0198427788862932	0.62685299598182
amp3_2q31.2  	-0.277664768024643	0.20508150369924	-1.35392399127251	0.182375419858116	-0.020876897309972	0.6275860036294
del23_7p11.2  	-0.378235427208634	0.298929074878448	-1.26530156814768	0.21213521813108	-0.0258551155156626	0.680865319089464
amp23_11q13.1 	-0.15069290838881	0.120117955249853	-1.25454107235974	0.215982559786986	-0.0264398022216275	0.680865319089464
del24_7q22.1  	0.18136066600602	0.145661290891857	1.24508484646527	0.219406201404527	-0.0269500412355372	0.680865319089464
del46_16q22.1 	0.333106390885114	0.268558524779851	1.24034934716065	0.221135744661535	-0.0272042978117932	0.680865319089464
amp24_11q14.2 	0.205075035504429	0.179030403826232	1.14547602597979	0.257936618255415	-0.0321186606580004	0.773809854766246
del19_6p21.33 	0.282808667136498	0.254576618964105	1.11089804039064	0.272385295341961	-0.0338235053623199	0.776892228594581
del68_22q13.2 	-0.366883775880179	0.341350856694671	-1.07479963411472	0.288069924042012	-0.0355533017372338	0.776892228594581
del50_17p11.2 	0.675588802877173	0.641472017994969	1.05318514904024	0.297757055146183	-0.0365643692357505	0.776892228594581
amp43_21q22.11	-0.221091960756587	0.211349142528107	-1.04609821507643	0.300981667472608	-0.0368918284252178	0.776892228594581
del20_6q25.1  	0.462924432926763	0.448745096483788	1.03159775238566	0.307654142579802	-0.0375555817112332	0.776892228594581
del1_1p36.33 	0.373039957477718	0.367868850222874	1.01405693157143	0.315859882080057	-0.0383472335449113	0.776892228594581
del33_10q26.3 	0.323334930873216	0.319098062014782	1.01327763895425	0.31622785465968	-0.0383821173460812	0.776892228594581
del21_6q27    	-0.356390529435633	0.35200168335374	-1.01246825310629	0.316610344459999	-0.0384183223100931	0.776892228594581
amp29_14q11.2 	0.110464431538972	0.10958715234985	1.00800531057072	0.318725016859315	-0.0386174815416827	0.776892228594581
del67_22q11.21	0.483364633196655	0.486372130546473	0.993816468582526	0.325511436040008	-0.0392453144409162	0.777241592177161
del60_19q13.42	0.278059595680128	0.295989453505726	0.939423997668715	0.352420058711077	-0.0415762583154087	0.802712499671025
amp4_3q21.3  	0.194784143368981	0.207436332245101	0.939006881103301	0.352631882637665	-0.0415936659620746	0.802712499671025
amp16_7q36.1  	-0.203959330484462	0.221020388445925	-0.922807764109794	0.360922585958574	-0.0422641708174054	0.802712499671025
amp34_16q13   	0.306887834807443	0.335418354994224	0.914940492188414	0.364994258590505	-0.0425859054724904	0.802712499671025
amp28_13q33.1 	0.196277333463783	0.218003864335466	0.900338780975693	0.372629515978222	-0.0431762625218499	0.802712499671025
del40_14q11.2 	-0.333794239647573	0.374452582586451	-0.891419248178129	0.377343482751337	-0.0435325357266874	0.802712499671025
del8_2q37.3  	-0.286966922255087	0.333159698910412	-0.861349446507494	0.393513436851492	-0.0447092054839862	0.811019840705017
amp18_8q24.13 	-0.0933865670079677	0.110911095933032	-0.841994808746229	0.404147229274245	-0.0454465708681915	0.811019840705017
del57_19p13.12	-0.336699439237452	0.402189804423724	-0.83716552616218	0.406827971984597	-0.0456281023191329	0.811019840705017
del16_5p14.3  	0.124308992253845	0.149726330959956	0.830241357394181	0.410690654858358	-0.0458866669469897	0.811019840705017
del4_1q42.13 	0.194545204892945	0.236974941892163	0.820952643092	0.415907610617957	-0.0462303543812796	0.811019840705017
del6_2p11.2  	0.257222465504345	0.32035493301394	0.802929622729275	0.42614473276652	-0.046886812708379	0.817359569404637
del2_1p36.21 	-0.202807308865786	0.258736621724859	-0.783836889860342	0.437153442656068	-0.0475672071403013	0.817583892431676
amp44_21q22.3 	-0.184229687099129	0.241158290433362	-0.763936776828481	0.448805793536306	-0.0482598539674688	0.817583892431676
amp17_8p23.1  	-0.0854744921308531	0.11194719301012	-0.763525103511312	0.449048753162478	-0.0482740042422445	0.817583892431676
amp13_6p22.2  	-0.119857206611146	0.165526508367864	-0.724096749173112	0.472673089877032	-0.049595592034831	0.817583892431676
amp15_7q31.2  	0.112482562225198	0.157007572754212	0.716414885295276	0.477356823780633	-0.0498452978676769	0.817583892431676
del51_17q11.2 	-0.213495845659801	0.298950607258335	-0.714150901440754	0.478742193562881	-0.0499184050456793	0.817583892431676
del35_11q14.3 	0.0976915293890233	0.137848844119648	0.708685879906478	0.482095659760269	-0.0500939663008486	0.817583892431676
amp14_6q21    	-0.136680516143297	0.19609373499792	-0.697016231266883	0.489300398767692	-0.0504645263842309	0.817583892431676
del66_21q22.3 	-0.317255838733789	0.479907023634352	-0.661077715285766	0.511860080769437	-0.0515686227165337	0.817583892431676
del47_16q23.1 	-0.140479455576447	0.221178475769573	-0.635140716508057	0.528483530026643	-0.0523305011770376	0.817583892431676
del34_11p15.5 	0.210270608531787	0.335561570930257	0.626623030607666	0.534003981498397	-0.0525742837091612	0.817583892431676
del39_13q11   	-0.195772995027227	0.314395332563354	-0.622696887485683	0.536558671380289	-0.0526855821871144	0.817583892431676
del59_19q13.2 	0.133843614260097	0.215812825229643	0.620183782486865	0.538197243162181	-0.0527564688718014	0.817583892431676
del41_15q11.1 	-0.165507553956196	0.267569247402981	-0.618559702068184	0.539257539247118	-0.0528021315722544	0.817583892431676
del48_16q24.3 	0.218708203552695	0.35357705467628	0.618558813871377	0.539258119410314	-0.0528021565131498	0.817583892431676
del29_9p21.3  	0.172275459521387	0.282225249793023	0.61041830824042	0.544588965292805	-0.0530292895985482	0.817583892431676
del65_21q22.3 	0.200181426126329	0.328323875343321	0.609707185982146	0.545055928287784	-0.0530489927550186	0.817583892431676
del7_2q14.3  	-0.171931581772667	0.292748475487005	-0.587301373599465	0.559873194098423	-0.0536583954409706	0.824466770142997
del13_4p16.1  	-0.15109182304586	0.26184866355856	-0.577019645594142	0.566739561609643	-0.0539306334201497	0.824466770142997
amp37_17q23.3 	0.134088725639021	0.23483494464937	0.570991365187274	0.570784687022075	-0.0540880775351202	0.824466770142997
del22_7p22.1  	0.0884845305396404	0.167824422435112	0.527244659959143	0.600557490998859	-0.0551823953706647	0.850486688438626
del63_20q13.33	0.132333667085516	0.252924507867147	0.523214093412514	0.603336710601761	-0.0552789421771875	0.850486688438626
amp30_14q13.3 	0.0635003821600949	0.128054344735255	0.495886198093304	0.622335769301499	-0.0559144444647279	0.866824821527088
del62_20q13.33	0.115539935842843	0.240168343565237	0.481078955401374	0.632740885303365	-0.0562448479399498	0.870949218594044
del32_10q11.22	0.140008616285914	0.34955089247528	0.400538574782254	0.690614147036186	-0.0578696057821226	0.925653351979929
del9_2q37.3  	-0.127259798873052	0.329308383204148	-0.386445670270592	0.700948468107171	-0.0581238395242651	0.925653351979929
