estimate	std_error	t_value	p_values	r_sq	FDR
amp27_12q14.3 	0.685949918864522	0.224014447678282	3.06207892380962	0.00366514935411754	0.155239320877133	0.428822474431753
amp28_13q33.1 	0.964615702461611	0.344397406228367	2.80087969600439	0.00742897988417102	0.131213534280111	0.434595323224005
del11_3q21.3  	1.09836089450755	0.428603430353763	2.56265073193879	0.013725521835536	0.110095976643786	0.535295351585904
del13_4p16.1  	-0.958793630544609	0.422221264281017	-2.27083217179338	0.0278842041292286	0.0855594024437599	0.815612970779937
amp18_8q24.13 	-0.318330291266698	0.183452791604069	-1.73521639263862	0.0893984374180431	0.0455251502258712	0.991509133664335
del10_3p21.1  	0.87217149851423	0.523537610738674	1.66591946905908	0.102526100972997	0.04091300912881	0.991509133664335
del38_12q24.33	0.731101514073012	0.443019648742291	1.65026882249708	0.105700611527676	0.0398913829960393	0.991509133664335
amp44_21q22.3 	-0.657242194268377	0.399601446088158	-1.64474428384171	0.106840240856576	0.03953254506468	0.991509133664335
amp41_20q13.2 	-0.548054749073315	0.343236876636103	-1.59672455490369	0.117175004845998	0.036453194134128	0.991509133664335
del43_16p13.11	0.764622681720458	0.482805829349865	1.58370639963084	0.120112361448936	0.0356307739916397	0.991509133664335
del19_6p21.33 	0.674022297377859	0.425634594789348	1.58357028688291	0.120143385069499	0.0356222032675937	0.991509133664335
amp31_15q25.3 	-0.443492484998846	0.285199137097486	-1.55502744332376	0.1267934978769	0.0338378852516	0.991509133664335
amp11_5q22.3  	-0.65684460692453	0.426020081971549	-1.5418160662398	0.129970221707272	0.0330207825377977	0.991509133664335
del44_16p11.2 	1.23833279430522	0.824075967097602	1.50269252319859	0.139752948607685	0.0306340572243708	0.991509133664335
amp32_15q26.3 	-0.562660006014452	0.387792633042808	-1.45093010560709	0.153584969070284	0.0275532444383841	0.991509133664335
del22_7p22.1  	-0.393668373075185	0.279237755253532	-1.40979636767871	0.165325496383587	0.0251686639567833	0.991509133664335
amp36_17q21.2 	0.502280063775765	0.365143755134022	1.37556799675078	0.175617142362153	0.0232280772438722	0.991509133664335
amp33_16p13.13	-0.593057070745023	0.442070201342265	-1.34154500562199	0.186329289276788	0.0213390083431957	0.991509133664335
amp42_21q11.2 	-0.536102458286064	0.413801430977917	-1.29555486799337	0.201592692828808	0.0188495702893179	0.991509133664335
del29_9p21.3  	-0.600712262930951	0.471872873922113	-1.27303834598067	0.209400751026448	0.0176579520777833	0.991509133664335
del21_6q27    	-0.742107341036216	0.593002757136539	-1.25143995049815	0.217100920871744	0.0165319004519149	0.991509133664335
del36_11q25   	0.491174979703268	0.401053689041612	1.22471128710227	0.226918899787518	0.0151615809813024	0.991509133664335
del23_7p11.2  	-0.619978870142541	0.507046579040301	-1.22272567407119	0.227661104659388	0.0150608129699126	0.991509133664335
del68_22q13.2 	-0.697009665184908	0.576486875186212	-1.20906423925049	0.232816110811925	0.0143713876226894	0.991509133664335
del26_8p23.1  	0.558083749656615	0.46164482926817	1.20890284971095	0.232877516656377	0.0143632836474825	0.991509133664335
del71_xp11.23 	0.871714353407039	0.731258975583524	1.19207337279031	0.239346112777283	0.0135234286986026	0.991509133664335
del47_16q23.1 	-0.436452281857186	0.370845235068554	-1.17691220106011	0.245284680037173	0.012775707054552	0.991509133664335
amp21_10q21.2 	-0.534222657099727	0.483444262293097	-1.10503464156504	0.274891045672633	0.00934661956418115	0.991509133664335
del12_3q29    	0.347140764788428	0.319877066543647	1.08523180026431	0.283473845822078	0.00843584863627833	0.991509133664335
amp43_21q22.11	-0.383723841771602	0.357883428686766	-1.07220343557023	0.289221748664438	0.00784473593293222	0.991509133664335
del14_4q35.2  	0.828428065473366	0.777801707975574	1.0650890284486	0.292394519940553	0.00752466650656225	0.991509133664335
amp5_3q25.1  	0.455220864817516	0.433428496718208	1.05027903855956	0.299076463924523	0.00686456447989459	0.991509133664335
del3_1p11.2  	0.584080014498475	0.55923933976276	1.04441868260958	0.301749377528166	0.00660567305295479	0.991509133664335
del39_13q11   	-0.518175731215641	0.529443222342156	-0.978718225768062	0.332838678864972	0.00379372839097336	0.991509133664335
