HR	lower_CI	upper_CI	z_scores	p_values	FDR
amp32_15q26.3 	1.23357569908361	3.43348472097621	0.386282660455988	3.19345346132656	0.00140581995659041	0.164480934921078
amp11_5q22.3  	1.19530175296134	3.30455477925947	0.450497946362358	2.65329012621047	0.00797113238062149	0.441071105892856
amp22_10q25.1 	-1.26549348386542	0.282100049962387	0.499605207845307	-2.53298697450179	0.0113095155357142	0.441071105892856
del42_15q11.2 	1.06129339531337	2.89010662328313	0.536886808935087	1.97675446230174	0.0480693913396501	0.951303850029299
amp31_15q25.3 	0.517103056617988	1.67716196204441	0.286862610612163	1.8026157382954	0.0714485835968794	0.951303850029299
del5_2p23.3  	-0.75914080125844	0.468068418085849	0.421525112766908	-1.80093849278732	0.071712575035173	0.951303850029299
amp27_12q14.3 	-0.721119602254022	0.486207591997444	0.423923408317629	-1.70106105986418	0.0889315220482149	0.951303850029299
amp1_1q21.1  	0.563005832847265	1.75594264582257	0.331036787878335	1.70073494385822	0.0889927702698185	0.951303850029299
del48_16q24.3 	1.10772237829054	3.02745513836942	0.653589382407889	1.6948292125089	0.0901078241034656	0.951303850029299
amp17_8p23.1  	0.354269154479032	1.42513871733206	0.223576380663123	1.58455536952641	0.113067392009336	0.951303850029299
del47_16q23.1 	0.600457860043634	1.8229532668038	0.390142112458144	1.53907471372513	0.1237860573851	0.951303850029299
amp4_3q21.3  	-0.583575672501961	0.557899928381653	0.380498234812996	-1.53371453296957	0.125099896869121	0.951303850029299
amp39_19q13.12	0.380178581859821	1.46254575025439	0.254902917937256	1.49146422071717	0.135839658140686	0.951303850029299
del71_xp11.23 	-1.11002128210129	0.329551947442632	0.768617727040524	-1.4441786118768	0.14868873959413	0.951303850029299
amp23_11q13.1 	0.286836460181566	1.33220632687878	0.201484950497503	1.42361233170673	0.15455872411082	0.951303850029299
del22_7p22.1  	-0.426353219131166	0.652885689671588	0.302562061825005	-1.40914302526719	0.158792880753968	0.951303850029299
