estimate	std_error	t_value	p_values	r_sq	FDR
amp7_4q28.1  	0.222813181083287	0.0923515256191128	2.41266378210404	0.0198802196450123	0.0940077664201038	0.770204403780619
amp1_1q21.1  	0.185832117956581	0.0780317877238284	2.38149250936403	0.0214365910687753	0.0913875324444401	0.770204403780619
amp37_17q23.3 	0.230958686116566	0.0992062402436717	2.32806611307194	0.0243605082160296	0.0869413874507614	0.770204403780619
del20_6q25.1  	-0.404741310543328	0.193005362242841	-2.09704697237416	0.0415154118465412	0.0684205300387796	0.770204403780619
amp15_7q31.2  	0.136789201403361	0.0673116944727975	2.0321758718857	0.0479334816183945	0.0634426542646503	0.770204403780619
amp40_19q13.33	-0.208815872505006	0.103086748550865	-2.0256325419166	0.0486263527980826	0.0629463370017594	0.770204403780619
del21_6q27    	-0.302726973488539	0.151983087989755	-1.99184644484224	0.0523437633917221	0.0604008616508162	0.770204403780619
amp36_17q21.2 	0.186800331324979	0.0939149165623991	1.98903793095386	0.0526635489764526	0.0601905764406674	0.770204403780619
amp13_6p22.2  	0.132176326205242	0.0714807033973537	1.84911899188356	0.0708727590417471	0.0499778204808408	0.803403698938119
del56_19p13.2 	-0.260699653510095	0.146077670860943	-1.78466463747402	0.0809114067244929	0.0454539293013712	0.803403698938119
del17_5q13.2  	0.170098497056513	0.0966118796571142	1.76063748744162	0.0849470290947696	0.0437978837057188	0.803403698938119
del55_18q23   	-0.240398378329239	0.139217624281023	-1.72678121445295	0.0909177134231974	0.0414929500143226	0.803403698938119
del47_16q23.1 	-0.162428797082146	0.095926504919536	-1.69326295394993	0.0971680803761244	0.0392444568006205	0.803403698938119
del54_18p11.21	-0.220360655419513	0.136733463582957	-1.6116073537903	0.113888564177358	0.0339093717355741	0.803403698938119
del62_20q13.33	-0.167974369225978	0.104259295349273	-1.61112127857047	0.113994703481323	0.0338782296896742	0.803403698938119
amp23_11q13.1 	0.0837903894098992	0.0529456513301527	1.58257358828978	0.120370755997157	0.0320622378929551	0.803403698938119
amp11_5q22.3  	0.171830244519629	0.11193241589272	1.53512495150928	0.131603297806534	0.0291011625537808	0.803403698938119
del3_1p11.2  	0.212026988034721	0.145309965912577	1.45913590099032	0.15132308864644	0.024511221658402	0.803403698938119
del5_2p23.3  	-0.168764741719761	0.115907681361383	-1.45602724286734	0.15217686948692	0.0243275118483433	0.803403698938119
amp8_4q31.21 	0.201962956886828	0.141129373703431	1.43104834654218	0.159175337327524	0.0228631073512215	0.803403698938119
del18_6p22.1  	0.114092007667636	0.0799584923974239	1.42689043085699	0.160364330954878	0.0226213848793403	0.803403698938119
del69_22q13.33	-0.205485362622247	0.14627778576261	-1.4047612325478	0.16680935534659	0.0213447454404992	0.803403698938119
amp44_21q22.3 	-0.145927862093085	0.105846599058434	-1.37867313065509	0.174663602205238	0.019861165407262	0.803403698938119
amp28_13q33.1 	0.131794525859277	0.095930031480647	1.37386096746841	0.176143051191665	0.0195900597746139	0.803403698938119
amp34_16q13   	0.198269628369779	0.147773432703725	1.34171362701776	0.18627499517197	0.017799516507228	0.803403698938119
del32_10q11.22	-0.2004737585285	0.153017298310015	-1.31013787815243	0.196654005357873	0.0160759232909757	0.803403698938119
del27_8q21.2  	0.0943922954682364	0.0724034571086638	1.30369873535972	0.198823290165309	0.0157287445953539	0.803403698938119
del9_2q37.3  	0.182004863746999	0.144329808055613	1.26103447512982	0.213654725387175	0.0134656452716593	0.803403698938119
del70_22q13.33	-0.204131112010294	0.165329722150518	-1.23469095184501	0.223215567366383	0.0121008557823086	0.803403698938119
del49_17p11.2 	-0.144558692728677	0.117811506431777	-1.227033734709	0.22605305227378	0.0117088629397595	0.803403698938119
del60_19q13.42	-0.159806903404399	0.130890135639942	-1.22092396514893	0.228336112689999	0.0113976157222508	0.803403698938119
del7_2q14.3  	-0.155532153172928	0.128755231060619	-1.2079676444346	0.233233579214082	0.010742087801214	0.803403698938119
del45_16q11.2 	-0.194523319243426	0.162155928831129	-1.19960658019483	0.23643463270299	0.0103223145703064	0.803403698938119
del22_7p22.1  	-0.088096379359638	0.0737845548892595	-1.19396775506552	0.238611513608069	0.0100406599591996	0.803403698938119
del50_17p11.2 	-0.334450358141582	0.284682948384114	-1.17481696757727	0.246113700406119	0.00909282495163688	0.803403698938119
del68_22q13.2 	-0.177422846995788	0.151580452363104	-1.1704863274242	0.24783362890512	0.00888036339956	0.803403698938119
del67_22q11.21	-0.246276482703579	0.215747342181446	-1.14150413262777	0.259567853943178	0.00747640443686404	0.803403698938119
del8_2q37.3  	-0.165332806324662	0.147469518866919	-1.12113206576516	0.268050508774625	0.00650829357258809	0.803403698938119
del40_14q11.2 	0.18346746036609	0.165900381605582	1.10588932099188	0.274524785741316	0.00579412897290799	0.803403698938119
amp22_10q25.1 	-0.125222715245435	0.113266814999959	-1.10555519059559	0.274667931260896	0.0057785721230984	0.803403698938119
del33_10q26.3 	-0.152053569671706	0.141836644336185	-1.07203304465737	0.289297455884116	0.00423929838631187	0.811536487705451
del37_12p13.31	-0.0842888138081141	0.0802906387860331	-1.04979627865131	0.299296032426129	0.00324183481980223	0.811536487705451
amp16_7q36.1  	-0.102904803113353	0.0981098599551121	-1.04887320357439	0.299716173960383	0.00320083813654826	0.811536487705451
del12_3q29    	-0.0862435798883457	0.0841399553152106	-1.02500149382365	0.310722672858232	0.00215200046566166	0.811536487705451
del52_17q25.1 	-0.114488042315066	0.112024365196741	-1.0219923327751	0.31212941834825	0.00202134794566489	0.811536487705451
amp43_21q22.11	0.0936780087104748	0.0941701590929081	0.994773818084477	0.325050510609374	0.000855505936135814	0.826758907419494
amp35_16q24.1 	0.104250133747442	0.106867213208708	0.975510922548757	0.334409256363425	4.78465087341284e-05	0.827599664346787
del65_21q22.3 	-0.140187968073686	0.145253430484995	-0.965126727854924	0.339528067424323	-0.000381524128121757	0.827599664346787
amp20_9q33.2  	0.138341833905854	0.147151225179832	0.94013375516777	0.352059814427755	-0.00139757313381828	0.828211303639056
