estimate	std_error	t_value	p_values	r_sq	FDR
amp27_12q14.3 	0.394795136390291	0.112537502805119	3.50812064022743	0.00102044623927945	0.154312366976979	0.119392209995696
del39_13q11   	-0.569276722981911	0.262664007921299	-2.16731910659218	0.035423211141565	0.0273750240331462	0.944045409371103
del46_16q22.1 	-0.47656548031554	0.227862307256745	-2.09146254179972	0.042036735015192	0.0211374506670976	0.944045409371103
amp40_19q13.33	0.357279362274572	0.204448923181523	1.74752381531183	0.0872196559689022	-0.00521047047447754	0.944045409371103
del65_21q22.3 	-0.483936000996733	0.278934193259585	-1.73494685374183	0.0894466559628612	-0.00610879890109484	0.944045409371103
del67_22q11.21	0.678875468821002	0.417504550408635	1.62603130470446	0.110775365338906	-0.0136801160913049	0.944045409371103
del57_19p13.12	0.539867250868597	0.344873163115426	1.56540812277674	0.124341468255752	-0.0177279993104864	0.944045409371103
amp44_21q22.3 	-0.316449145571319	0.206761435622612	-1.53050371612293	0.132740746271268	-0.0200029499919039	0.944045409371103
amp26_12q13.11	0.508417128218018	0.343331542431089	1.48083431140052	0.145468273383018	-0.0231686306207621	0.944045409371103
amp11_5q22.3  	-0.325697954283207	0.220032227040014	-1.48022841319502	0.145629294573881	-0.023206722102378	0.944045409371103
amp23_11q13.1 	-0.153738882864747	0.104255371195648	-1.47463752803908	0.147121764899457	-0.0235576064690246	0.944045409371103
del8_2q37.3  	-0.411599625649426	0.286973535492123	-1.43427729300399	0.158256751998149	-0.026058176127576	0.944045409371103
del43_16p13.11	-0.35422591690187	0.250182611045316	-1.41586945400337	0.163549426754065	-0.027179570514265	0.944045409371103
del37_12p13.31	-0.218879760238793	0.156137719472323	-1.401837819705	0.167675619967299	-0.0280262610458943	0.944045409371103
del72_xp11.22 	-0.604969066773241	0.436793894575147	-1.38502180155625	0.172726451210793	-0.0290316664139278	0.944045409371103
amp5_3q25.1  	0.301698909489621	0.221671362664217	1.36101887886451	0.180138447167072	-0.0304490792414618	0.944045409371103
del42_15q11.2 	-0.340944886265766	0.252570074011118	-1.34990215131646	0.183652895092399	-0.0310984466495028	0.944045409371103
amp22_10q25.1 	0.281608236081846	0.221346910943218	1.27224832224601	0.209678760546283	-0.0355074847461929	0.944045409371103
amp25_12p12.1 	0.162087303911364	0.127951994355649	1.26678216097855	0.211609869444813	-0.0358093780132041	0.944045409371103
amp15_7q31.2  	-0.169580532498317	0.135608151872572	-1.25051871997833	0.217433972779894	-0.0367009386536068	0.944045409371103
del17_5q13.2  	-0.236357897535397	0.192749289543739	-1.22624523335409	0.226346745385441	-0.0380129664678814	0.944045409371103
del10_3p21.1  	-0.313105213154748	0.274038409082991	-1.14255959302379	0.259133663750807	-0.0423627925476904	0.944045409371103
amp28_13q33.1 	0.211607855784685	0.189524830922438	1.11651784494289	0.269998839718903	-0.043660717196417	0.944045409371103
del2_1p36.21 	0.249869538815417	0.224482688165888	1.11309046081437	0.271452513877833	-0.0438295474484844	0.944045409371103
del20_6q25.1  	-0.430131111919539	0.391337930857712	-1.09912962174866	0.277430967556501	-0.0445124410528708	0.944045409371103
del36_11q25   	-0.219228713633856	0.207580617369166	-1.05611360257194	0.296431571632558	-0.0465677516521106	0.944045409371103
del60_19q13.42	0.267038273844998	0.257999421456516	1.03503439014496	0.306063679121263	-0.0475478064088115	0.944045409371103
del13_4p16.1  	0.234696858807435	0.226902297251946	1.0343520609967	0.306379009868334	-0.0475792307547809	0.944045409371103
del32_10q11.22	0.312260025001346	0.302345684557469	1.03279140715499	0.30710108422892	-0.0476510350992843	0.944045409371103
amp43_21q22.11	-0.18669692215923	0.184736359998208	-1.01061275734263	0.31748837506041	-0.0486607785385551	0.944045409371103
del33_10q26.3 	-0.266430405498181	0.279043142428439	-0.954800046973048	0.344669733479579	-0.0511128960256146	0.944045409371103
del55_18q23   	-0.262172104064248	0.279252416231342	-0.938835579660861	0.352718898591867	-0.0517906928447451	0.944045409371103
amp7_4q28.1  	-0.178290310472154	0.190550366834703	-0.935659759851397	0.354334660135686	-0.0519242674830143	0.944045409371103
del69_22q13.33	-0.26943336682578	0.290442715530022	-0.927664397897181	0.358423803856201	-0.0522586961766314	0.944045409371103
amp19_9p22.3  	-0.132571116088296	0.145564748640326	-0.9107364064899	0.367182167836337	-0.0529579730783618	0.944045409371103
del16_5p14.3  	-0.117949019957705	0.130594884950681	-0.903167225900531	0.371142587708094	-0.0532667767753643	0.944045409371103
del28_8q24.3  	-0.110629848347128	0.124430136557444	-0.889092075343457	0.378579611589406	-0.0538346282176394	0.944045409371103
del26_8p23.1  	-0.210905316225036	0.239714897098481	-0.879817311221966	0.38353164315465	-0.0542042654285948	0.944045409371103
amp41_20q13.2 	0.157881522123642	0.180275172755845	0.875780728483718	0.385699615344314	-0.0543640093269355	0.944045409371103
del21_6q27    	-0.26866869561873	0.308311946886144	-0.871418374578737	0.388051228056654	-0.0545358734457349	0.944045409371103
del30_9q34.13 	-0.173396039583953	0.202874698847608	-0.854695240800835	0.397149485346204	-0.0551872737181283	0.944045409371103
del34_11p15.5 	-0.240873317966998	0.29217845421208	-0.824404792668792	0.413964027029004	-0.0563369730662546	0.944045409371103
del24_7q22.1  	-0.105657204573811	0.128405561577641	-0.822839784162501	0.414844448700626	-0.0563953140471252	0.944045409371103
amp38_19q12   	0.1474064407993	0.180824414397134	0.815191030983014	0.419163805409402	-0.0566789440861217	0.944045409371103
amp12_5q31.3  	-0.0828114923329943	0.105398777302356	-0.785696897559198	0.436073596345214	-0.0577492115545828	0.944045409371103
del70_22q13.33	0.255815599578575	0.327609918610422	0.78085425698841	0.438888355875708	-0.057921371814186	0.944045409371103
del14_4q35.2  	-0.298647953365568	0.40346611741717	-0.740205783021865	0.462936569953118	-0.0593265903120261	0.944045409371103
amp24_11q14.2 	-0.113920925100662	0.157688218053247	-0.722444114766988	0.473678511400769	-0.0599181469494332	0.944045409371103
amp30_14q13.3 	-0.0792066103938388	0.111531955235519	-0.710169656997227	0.481183876391217	-0.0603189308536738	0.944045409371103
del15_5p15.33 	-0.0816783289524583	0.116645710714462	-0.700225738710611	0.487312925135927	-0.0606388000688665	0.944045409371103
del71_xp11.23 	-0.255535917829841	0.380874989681923	-0.670918082710667	0.505627734642203	-0.0615563815984383	0.944045409371103
del1_1p36.33 	-0.216616972597188	0.323295702439829	-0.670027380390262	0.506190153209594	-0.0615836783513046	0.944045409371103
amp13_6p22.2  	-0.0960976160167121	0.144701048556308	-0.664111400542598	0.509934306849629	-0.0617640963883674	0.944045409371103
del7_2q14.3  	-0.16624664919802	0.255471254558331	-0.650745029946458	0.518448538541614	-0.0621660558700425	0.944045409371103
del4_1q42.13 	-0.132415243462505	0.207569399102565	-0.63793239290092	0.52668075136943	-0.0625439690715888	0.944045409371103
amp36_17q21.2 	0.120980897724211	0.191229669578713	0.632647109576336	0.530096564854727	-0.0626977479820652	0.944045409371103
amp21_10q21.2 	0.159011507239974	0.251405314758657	0.632490635262112	0.530197869176311	-0.0627022818851635	0.944045409371103
del51_17q11.2 	-0.162414555123409	0.26145373021661	-0.62119807963287	0.537535598354868	-0.0630266272546864	0.944045409371103
amp9_5p15.33 	0.0752350022480796	0.122949565844891	0.611917591827805	0.543605124304708	-0.0632889524814646	0.944045409371103
del27_8q21.2  	0.0873063456680533	0.144111290230632	0.605825855339511	0.547608242533034	-0.0634590660598831	0.944045409371103
amp20_9q33.2  	0.173450589621312	0.290405562288008	0.597270204657074	0.553255807051687	-0.0636952015790009	0.944045409371103
amp17_8p23.1  	0.0585300151505262	0.0980135475342713	0.597162500725328	0.553327089679168	-0.0636981534599639	0.944045409371103
del63_20q13.33	-0.129066212997559	0.220742849333162	-0.584690346198995	0.561612943974639	-0.0640364907036155	0.944045409371103
amp37_17q23.3 	0.117761817890838	0.205097681011327	0.574174302264951	0.568647087915798	-0.06431637746994	0.944045409371103
amp33_16p13.13	0.131602326879667	0.231485559114676	0.568512037567201	0.57245248968011	-0.064465035830862	0.944045409371103
del56_19p13.2 	-0.166379053495291	0.295402959389653	-0.563227443079972	0.576015305962928	-0.0646024865453314	0.944045409371103
amp32_15q26.3 	-0.112402110156538	0.203752972811872	-0.551658749344089	0.583852319851082	-0.0648990248204353	0.944045409371103
amp42_21q11.2 	-0.117890300169538	0.216470030926027	-0.544603332226733	0.588656940518428	-0.065076933233658	0.944045409371103
amp18_8q24.13 	-0.05278662493464	0.0973030401527933	-0.542497180476068	0.590094841580923	-0.0651296092334732	0.944045409371103
amp1_1q21.1  	-0.0861441296878543	0.161796812548419	-0.532421673400241	0.596996550383431	-0.0653788500193979	0.944045409371103
