estimate	std_error	t_value	p_values	r_sq	FDR
del5_2p23.3  	1.5931772955097	0.64204174553137	2.48142321990473	0.0175028733053822	0.0746775562289479	0.76823262078103
amp22_10q25.1 	1.49435733306302	0.623831141859604	2.39545164194341	0.0214979853494612	0.0660057171448024	0.76823262078103
amp23_11q13.1 	0.66635236931648	0.287400260215251	2.31855172579666	0.0257516499551925	0.058375885928095	0.76823262078103
amp12_5q31.3  	-0.647135801732245	0.282195395095868	-2.29321885820425	0.0273102949792209	0.0558902960721286	0.76823262078103
amp15_7q31.2  	0.722384165244231	0.371774134069461	1.94307268592619	0.0592507967904908	0.0231515326703396	0.76823262078103
del1_1p36.33 	-1.65300008416474	0.871453214228192	-1.89683170269644	0.0652738627585125	0.0190797390113792	0.76823262078103
del27_8q21.2  	-0.743593874485288	0.409395076243512	-1.81632344313538	0.0770130974655155	0.0121472878010802	0.76823262078103
del3_1p11.2  	-1.56505660825355	0.8639623328812	-1.81148708536204	0.0777719587077162	0.0117373622612534	0.76823262078103
amp24_11q14.2 	0.777053544188698	0.431383622021836	1.80130515977114	0.0793902707762828	0.0108768183215227	0.76823262078103
amp29_14q11.2 	0.458227043781917	0.265911467386447	1.72323160142612	0.0927678382076866	0.00439163402639686	0.76823262078103
del53_18p11.21	1.27558352176801	0.749256986141287	1.70246463544816	0.0966274317928838	0.00270114191885584	0.76823262078103
del67_22q11.21	1.98671110934716	1.1759016782945	1.68952145066128	0.0990997818570442	0.00165502902155779	0.76823262078103
amp30_14q13.3 	0.599825381826659	0.358662286267249	1.67239602487704	0.102451373120697	0.000279832069258523	0.76823262078103
del4_1q42.13 	0.921258234027301	0.572599014201248	1.60890642697389	0.115703061611873	-0.00472803972626745	0.76823262078103
amp7_4q28.1  	-0.914295914152001	0.568590546582198	-1.608004071907	0.115901053505633	-0.00479817252737824	0.76823262078103
amp4_3q21.3  	0.782241402473759	0.500244789189425	1.56371724279481	0.125963063183751	-0.00820361918722079	0.76823262078103
del59_19q13.2 	-0.805876034743325	0.519146404765715	-1.5523097672361	0.12866631565144	-0.00906905983471185	0.76823262078103
del61_20p11.21	1.36677231277939	0.902043080115793	1.51519627267019	0.137786421050199	-0.0118508993634747	0.76823262078103
del36_11q25   	0.893613844718992	0.598777094404389	1.49239817800292	0.143640768814201	-0.0135337669990738	0.76823262078103
amp20_9q33.2  	-1.16643301085187	0.806068954030277	-1.44706356077827	0.155869791437621	-0.0168204486861896	0.76823262078103
del62_20q13.33	0.801017505537309	0.571672522866585	1.40118244886198	0.169067203587924	-0.0200642977434347	0.76823262078103
del31_9q34.13 	-0.937998227918307	0.689552855561888	-1.36029924370913	0.181546410489906	-0.0228834477776054	0.76823262078103
amp19_9p22.3  	-0.561417066667201	0.41522501979488	-1.35207908941648	0.18413924411163	-0.0234420427556905	0.76823262078103
del45_16q11.2 	1.34050772316517	1.00221424630645	1.33754606672721	0.188792861465279	-0.0244228137003455	0.76823262078103
del21_6q27    	1.17389736074393	0.886808948830203	1.32373197439248	0.193299280938597	-0.0253469586204782	0.76823262078103
del22_7p22.1  	0.638841045742183	0.491662571578754	1.29934854241768	0.201453207419367	-0.0269587457597087	0.76823262078103
del18_6p22.1  	0.632549671693436	0.490617793761983	1.28929215315071	0.204891035077825	-0.0276162146118497	0.76823262078103
del7_2q14.3  	0.943303820483184	0.763189053376173	1.23600281779492	0.223850460599555	-0.0310283902374369	0.76823262078103
del35_11q14.3 	0.404944432894189	0.328113343123019	1.23416021134613	0.224528616178803	-0.0311441947854338	0.76823262078103
del29_9p21.3  	-1.43793667367402	1.17041163813277	-1.2285734581109	0.226594093684634	-0.0314944145125113	0.76823262078103
amp1_1q21.1  	0.611110632818071	0.503217075437255	1.21440758401743	0.231894399892599	-0.0323763682318257	0.76823262078103
amp38_19q12   	0.581211926629262	0.488684734583267	1.18933923140631	0.241497039677946	-0.0339156391437185	0.76823262078103
del57_19p13.12	-1.18332214902581	0.998213900610587	-1.18543946172458	0.243016654582283	-0.0341526177980125	0.76823262078103
del38_12q24.33	0.840389142225571	0.711293789750072	1.18149371516495	0.244561279552217	-0.0343917082517937	0.76823262078103
del24_7q22.1  	0.418753385576848	0.358901783098527	1.16676317950165	0.250391009939928	-0.0352782182536031	0.76823262078103
del64_21p11.2 	0.92760485364856	0.80435043369393	1.15323472803837	0.25583321528881	-0.036083902868514	0.76823262078103
amp39_19q13.12	-0.433823402626836	0.377415543050484	-1.14945823142426	0.257367554143099	-0.0363073557844618	0.76823262078103
amp6_3q29    	-0.244591265773929	0.216796880009343	-1.12820473137523	0.266126283848094	-0.037553006209228	0.76823262078103
