estimate	std_error	t_value	p_values	r_sq	FDR
del32_10q11.22	-3.84059537047454e-16	4.60081063820422e-17	-8.34764930028417	9.13466921952471e-11	1	6.02888168488631e-09
amp37_17q23.3 	-1.38639847311636e-16	2.77545481695061e-17	-4.99521182852327	8.93271477229734e-06	1	0.000294779587485812
amp13_6p22.2  	1.99202526799465e-16	4.33776694892273e-17	4.59228282996938	3.40403304616065e-05	1	0.000748887270155343
del20_6q25.1  	8.21769624435144e-16	1.97046987896037e-16	4.17042469519358	0.000133115165024421	1	0.00219640022290294
del65_21q22.3 	-3.96571970651177e-16	1.20013142857553e-16	-3.30440451111157	0.00184921971661791	1	0.0240534589357222
amp26_12q13.11	-4.47510505280748e-16	1.37870582101175e-16	-3.24587376408078	0.00218667808506565	1	0.0240534589357222
del28_8q24.3  	4.18022221082935e-17	1.39440153953596e-17	2.99786115570445	0.00437390400447888	1	0.0412396663279438
del43_16p13.11	-3.63743989209484e-16	1.25910754049399e-16	-2.88890327085783	0.00587706891555615	1	0.045866935179464
del44_16p11.2 	6.0644114660635e-16	2.11623521410361e-16	2.8656604075234	0.00625458206992691	1	0.045866935179464
amp22_10q25.1 	5.54286631356441e-16	2.01941783466241e-16	2.74478427318189	0.00860763826909967	1	0.0562065223149265
del21_6q27    	4.35419853100225e-16	1.61594300694083e-16	2.69452481448913	0.009807925085337	1	0.0562065223149265
del10_3p21.1  	3.72491315379736e-16	1.39062175702245e-16	2.67859548075316	0.010219367693623	1	0.0562065223149265
amp8_4q31.21 	3.43655421244707e-16	1.39976775036941e-16	2.45508886137727	0.0179256821396354	1	0.091007309324303
del26_8p23.1  	-1.58489942004991e-16	6.94011731715914e-17	-2.28367813917398	0.0270560038255523	1	0.127549732320461
del14_4q35.2  	-3.5239239365103e-16	1.76356393217059e-16	-1.99818326527752	0.051628389223238	1	0.227164912582247
amp43_21q22.11	1.27624066529939e-16	6.61344294401535e-17	1.92976740875082	0.0598161174272972	1	0.246741484387601
amp4_3q21.3  	1.2135054149987e-16	6.77049773099037e-17	1.79234299044835	0.0796561298347774	1	0.293719403118471
del72_xp11.22 	1.46927447689675e-16	8.21014563200936e-17	1.78958394010504	0.080105291759583	1	0.293719403118471
amp12_5q31.3  	7.38160789965983e-17	4.3561076134367e-17	1.69454213594053	0.0969231901860786	1	0.31599909781194
