estimate	std_error	t_value	p_values	r_sq	FDR
amp6_3q29    	-0.707900504240352	0.187542865363898	-3.77460642326639	0.000457670946542241	0.187785249242844	0.0535475007454423
amp16_7q36.1  	1.3686865448134	0.481615273500328	2.84186698413016	0.00666429137857096	0.0950912639108398	0.389861045646401
amp22_10q25.1 	-1.2391102065191	0.575326873306051	-2.15374991854403	0.0365342482567686	0.0336621552534105	0.932879809874141
amp26_12q13.11	-1.88699261998531	0.899905739775657	-2.09687808020397	0.0415310951454928	0.0290268797682394	0.932879809874141
del7_2q14.3  	1.26541868836751	0.662115414919279	1.9111753930722	0.0622247870028289	0.0144717197949361	0.932879809874141
del27_8q21.2  	0.707699225141203	0.373507413345728	1.89473943449186	0.064422675402906	0.0132285548442399	0.932879809874141
amp27_12q14.3 	-0.61069170216246	0.327449341664074	-1.86499596871677	0.0685684783293581	0.0109983156269583	0.932879809874141
amp39_19q13.12	-0.64533094878501	0.36071239991791	-1.78904564670322	0.0801931710244377	0.00541966714781461	0.932879809874141
del17_5q13.2  	0.907954974075973	0.507660206056618	1.78850924938306	0.0802808211992333	0.00538087368309492	0.932879809874141
amp30_14q13.3 	-0.51595477119815	0.290794682078232	-1.77429232030916	0.0826333995535435	0.00435581816489172	0.932879809874141
del53_18p11.21	-1.01666934444762	0.586307710311067	-1.73402008291554	0.0896126135878488	0.00148535746798062	0.932879809874141
amp11_5q22.3  	0.993252412005037	0.585615415743045	1.69608310386565	0.096628860096635	-0.00117305588852545	0.932879809874141
del23_7p11.2  	1.10796544155566	0.692881647976237	1.59906882335792	0.116652294251459	-0.00776431261856514	0.932879809874141
del6_2p11.2  	-1.14644606642144	0.736040761729463	-1.5575850225029	0.126185789149724	-0.0104894301686693	0.932879809874141
amp28_13q33.1 	-0.754025444548662	0.50268590640346	-1.49999320638099	0.140448939530336	-0.0141772779948497	0.932879809874141
del5_2p23.3  	-0.899488458616021	0.609289776880385	-1.47629008847231	0.146679366445122	-0.0156622967558666	0.932879809874141
del37_12p13.31	-0.602552027315213	0.418015361938501	-1.44145905193757	0.156228521941082	-0.0178092325421075	0.932879809874141
del18_6p22.1  	-0.574394303504284	0.421355787061353	-1.36320497105371	0.179453446328102	-0.0224768655737622	0.932879809874141
del68_22q13.2 	1.06479876471566	0.793710097535978	1.3415461993255	0.186328904875861	-0.0237299751280824	0.932879809874141
del50_17p11.2 	1.935088941126	1.49268665929944	1.29637987254083	0.201310826078861	-0.0262880961905285	0.932879809874141
del16_5p14.3  	0.445327056442004	0.346973889146117	1.28345985208838	0.205759194535934	-0.0270060346247845	0.932879809874141
del25_7q35    	0.602251572390198	0.487405087484705	1.23562840818541	0.222869996530533	-0.0296097379737681	0.932879809874141
del41_15q11.1 	-0.760531614840152	0.618913967391611	-1.22881637014169	0.225390109611835	-0.0299735557050942	0.932879809874141
amp7_4q28.1  	0.621732805311883	0.50736688324681	1.22541069557636	0.226657891877021	-0.0301547879360304	0.932879809874141
del15_5p15.33 	0.37571829896929	0.309394651848458	1.21436584868092	0.230805534449276	-0.0307395109004607	0.932879809874141
del58_19p12   	0.527449983695699	0.450513325587645	1.17077554367054	0.247718495602798	-0.0330017735114998	0.932879809874141
amp2_2q24.2  	0.933977964181356	0.807045650216891	1.15728021572305	0.25313208006449	-0.0336873502584096	0.932879809874141
amp19_9p22.3  	0.439981528205911	0.388286626255041	1.1331359322093	0.263028745325504	-0.0348962874523144	0.932879809874141
del61_20p11.21	-0.923730966548588	0.818972474904984	-1.12791454518146	0.265204788102974	-0.0351547438215201	0.932879809874141
del48_16q24.3 	-0.924454109398121	0.819921247699207	-1.12749134382387	0.265381719274014	-0.0351756454476089	0.932879809874141
del39_13q11   	-0.801782776000951	0.729592473119665	-1.09894606309822	0.277510185260873	-0.0365692712354659	0.932879809874141
