estimate	std_error	t_value	p_values	r_sq	FDR
del64_21p11.2 	0.410322055542899	0.167240185692374	2.45348959548308	0.0179960886881925	0.0816800873885968	0.95188318902811
del21_6q27    	-0.42027277357818	0.202980307792134	-2.07051008124674	0.0440440374599604	0.050040101605435	0.95188318902811
del48_16q24.3 	0.413526603916108	0.202747279025301	2.03961604764375	0.04715606898249	0.0476353112722716	0.95188318902811
del65_21q22.3 	0.378450459899666	0.188486398073492	2.007839630699	0.050554518725863	0.0451871079531214	0.95188318902811
del50_17p11.2 	0.730577679129696	0.371811509623876	1.96491410357024	0.0554804763391605	0.0419214886689563	0.95188318902811
del12_3q29    	-0.203985640038072	0.109973069137337	-1.85486902964698	0.0700307706308721	0.0337758111088422	0.95188318902811
del56_19p13.2 	0.359410465594676	0.195317379931724	1.84013560759576	0.0722053643245377	0.0327107076378053	0.95188318902811
del31_9q34.13 	0.27860720813538	0.161383975801097	1.72636227823981	0.0909937244801675	0.0246973017543658	0.95188318902811
del68_22q13.2 	-0.330553768516778	0.20024528055522	-1.65074436511189	0.105602981491188	0.0195856951284553	0.95188318902811
del25_7q35    	-0.196676536623918	0.122818493424258	-1.60135929973126	0.116143406441684	0.0163434036236678	0.95188318902811
del71_xp11.23 	0.387468976155264	0.254987416846857	1.51956116480828	0.135465446856829	0.0111453474447422	0.95188318902811
del67_22q11.21	0.42849167044473	0.286236429909443	1.49698509927717	0.14122778952751	0.00974938180913709	0.95188318902811
del9_2q37.3  	0.282577681905715	0.192225067428172	1.47003554576098	0.148359291816748	0.00810530641964091	0.95188318902811
del55_18q23   	0.259822038581288	0.188624688210798	1.37745509904262	0.175037164599569	0.0026460264909669	0.95188318902811
amp2_2q24.2  	0.278709567722478	0.204453091231478	1.36319566529287	0.179456357996204	0.00183160727885834	0.95188318902811
del20_6q25.1  	0.353933438959252	0.26559070050912	1.33262737844655	0.189217901315296	0.000109907368591622	0.95188318902811
del38_12q24.33	0.200910671950416	0.157710366137464	1.27392179012061	0.209090193514929	-0.00310288016210114	0.95188318902811
amp16_7q36.1  	-0.159115287563037	0.130925777360756	-1.21530909168946	0.230449159408992	-0.00618549541351388	0.95188318902811
amp43_21q22.11	-0.15173969209782	0.125541997681399	-1.208676736871	0.232963568520646	-0.00652632706316503	0.95188318902811
del34_11p15.5 	0.237817210921123	0.197868150794285	1.20189737442066	0.23555442177092	-0.00687302246518451	0.95188318902811
amp41_20q13.2 	-0.145708054939106	0.122229812828852	-1.19208277888087	0.239342461240144	-0.00737190280298683	0.95188318902811
del16_5p14.3  	0.104208386486556	0.0886278343923584	1.17579750426059	0.245725479556839	-0.00819173825048991	0.95188318902811
del14_4q35.2  	0.317550916115711	0.273115096760851	1.16269997477938	0.250947826983371	-0.00884386539669224	0.95188318902811
amp32_15q26.3 	-0.159158689866922	0.137583358156117	-1.15681643477784	0.253319624892966	-0.00913470139103589	0.95188318902811
del53_18p11.21	-0.174739097615552	0.151979843041576	-1.14975179680736	0.256188803177544	-0.00948219187556321	0.95188318902811
amp36_17q21.2 	0.148472483990854	0.129287237927359	1.14839241963135	0.256743554818476	-0.00954883911184101	0.95188318902811
del43_16p13.11	0.189913639368451	0.172231296333761	1.10266625991378	0.275907779772952	-0.0117496911992381	0.95188318902811
del10_3p21.1  	0.205853116519839	0.187290665714741	1.09911038937397	0.27743926685266	-0.011917485142328	0.95188318902811
del42_15q11.2 	0.187705889057952	0.173630907745635	1.08106264889737	0.28530445055472	-0.0127616067700727	0.95188318902811
del26_8p23.1  	0.175261540418325	0.162999311495021	1.07522871606534	0.287879866428978	-0.0130317773548785	0.95188318902811
del39_13q11   	0.190765829465408	0.18615271547967	1.02478134135111	0.310825444671719	-0.0153127588090001	0.95188318902811
del47_16q23.1 	0.12895113511388	0.13109651194344	0.983635134163714	0.330440494359104	-0.0170991872795825	0.95188318902811
del30_9q34.13 	0.131219970608273	0.138259608272563	0.949083917188511	0.347537749368523	-0.0185473437895209	0.95188318902811
amp37_17q23.3 	-0.130659688337041	0.139203131141636	-0.938626073030629	0.352825340700116	-0.0189762492925745	0.95188318902811
del35_11q14.3 	0.0766557968086118	0.0818717469286072	0.936291207703877	0.354013014431689	-0.0190714086548356	0.95188318902811
del69_22q13.33	0.181033357061398	0.198356096604834	0.912668479366447	0.366175623358747	-0.020021817506902	0.95188318902811
del60_19q13.42	0.161010567370318	0.176598103056558	0.91173441041296	0.366662019440557	-0.0200589345448186	0.95188318902811
amp23_11q13.1 	-0.0653805054949064	0.0722019402964826	-0.905522832578108	0.369907139610575	-0.0203048650819084	0.95188318902811
del36_11q25   	0.12812786303018	0.142182563780726	0.90115032127131	0.372202495503197	-0.0204770450513836	0.95188318902811
amp5_3q25.1  	0.130508711241767	0.153157639110643	0.852120155413764	0.398562185560664	-0.0223544411310332	0.95188318902811
del23_7p11.2  	0.149942343556754	0.179977184908139	0.833118617969747	0.409082835130428	-0.0230555569849611	0.95188318902811
del1_1p36.33 	0.182142706853865	0.220170488589761	0.827280295467972	0.412349344693213	-0.0232679929416797	0.95188318902811
del18_6p22.1  	-0.0875857946698767	0.108709948394525	-0.805683343276132	0.424570853679581	-0.0240415900952646	0.95188318902811
amp38_19q12   	-0.0978015021122423	0.123506166120962	-0.79187546001918	0.432497988792444	-0.0245260562689309	0.95188318902811
del19_6p21.33 	0.12073460465413	0.152796039014712	0.790168419500092	0.433484116794323	-0.0245853996685617	0.95188318902811
del51_17q11.2 	0.137072742234423	0.178109851548909	0.7695966340008	0.445473304335759	-0.0252910107330802	0.95188318902811
amp7_4q28.1  	-0.0986022248130865	0.130521880877953	-0.755445938641404	0.453832456946966	-0.0257661207054432	0.95188318902811
amp13_6p22.2  	-0.0740218083444878	0.0986642888943162	-0.750239110563863	0.456931109767382	-0.0259388301514831	0.95188318902811
del70_22q13.33	0.16657621624301	0.223807267212136	0.744284215244545	0.460489952141918	-0.0261349590895739	0.95188318902811
del3_1p11.2  	-0.147325697691947	0.197953919610197	-0.744242387228579	0.460515006456299	-0.0261363314630332	0.95188318902811
del45_16q11.2 	0.157843216102315	0.219399295002409	0.719433561081325	0.475513174962864	-0.0269373435326346	0.95188318902811
amp18_8q24.13 	-0.047565388959487	0.0662751021545907	-0.717696199826865	0.476573770978207	-0.0269924669605002	0.95188318902811
del62_20q13.33	0.100419395434781	0.142809189369042	0.703171804828899	0.485492556471871	-0.0274483127251135	0.95188318902811
del6_2p11.2  	-0.134209052660039	0.191344448077139	-0.701400296735728	0.486586711985539	-0.0275033008973504	0.95188318902811
del17_5q13.2  	0.0926239066125428	0.133032646993824	0.696249444821189	0.489775894379198	-0.027662430146925	0.95188318902811
amp1_1q21.1  	-0.0763700846101838	0.110231840741511	-0.692813293295793	0.491909853857216	-0.0277679607984878	0.95188318902811
amp28_13q33.1 	-0.0896460935269405	0.130470530503676	-0.687098405907186	0.495470364868669	-0.0279423669148444	0.95188318902811
amp21_10q21.2 	-0.115296665190262	0.171549703813311	-0.672088978455677	0.504888910034869	-0.0283938178746372	0.95188318902811
amp12_5q31.3  	0.047898426585947	0.0720964360142663	0.664366080127303	0.509772815385207	-0.0286223719639624	0.95188318902811
amp29_14q11.2 	0.0434934499004192	0.0657537506727635	0.661459604287411	0.511617443342576	-0.0287077291345197	0.95188318902811
amp6_3q29    	-0.0330068679847565	0.0544537141620835	-0.606145393251053	0.547397888019034	-0.0302633358499433	0.95188318902811
del44_16p11.2 	-0.176520215600228	0.295921461350628	-0.596510353776182	0.553758805019301	-0.0305208723344634	0.95188318902811
del54_18p11.21	0.109457379910687	0.187604739880531	0.583446772082575	0.562442496236792	-0.0308636601781695	0.95188318902811
del66_21q22.3 	-0.165414846584276	0.286493405295091	-0.577377501635322	0.566499878403319	-0.0310204111929318	0.95188318902811
amp10_5p13.2  	0.0520584846299323	0.0916486911369832	0.568022128675279	0.572782325917281	-0.0312589131896204	0.95188318902811
del41_15q11.1 	0.0900356985650753	0.159665557695622	0.563901819932353	0.575560047111212	-0.0313627532814111	0.95188318902811
del5_2p23.3  	0.0872735263532726	0.158310315209675	0.551281363047524	0.584108835503343	-0.0316762370480101	0.95188318902811
amp44_21q22.3 	-0.0787927711935848	0.144247441118855	-0.546233406862739	0.587545212890842	-0.0317996906220499	0.95188318902811
amp11_5q22.3  	-0.083237693369947	0.153271013995031	-0.543075244303175	0.58970002246698	-0.0318763644927544	0.95188318902811
amp20_9q33.2  	-0.107671876297898	0.198405515776426	-0.542685902035245	0.58996593043291	-0.0318857869471223	0.95188318902811
amp40_19q13.33	0.0760787787544148	0.143707873731229	0.529398819835731	0.599074575687498	-0.0322033972193168	0.95188318902811
amp42_21q11.2 	-0.0758912545869955	0.147846226610537	-0.513312083283069	0.610189736685509	-0.0325776445947219	0.95188318902811
del22_7p22.1  	0.0503374805900991	0.100102590512384	0.502858920358029	0.617462692523627	-0.0328147811884274	0.95188318902811
amp3_2q31.2  	-0.059309087998126	0.124398102505989	-0.476768429769823	0.635784201085632	-0.033385821788507	0.95188318902811
del57_19p13.12	-0.109193794194152	0.241113070863053	-0.452873806481326	0.652768506688049	-0.0338826298894823	0.95188318902811
amp24_11q14.2 	-0.0460282392770053	0.108056642431048	-0.425963996673099	0.672120664999032	-0.0344120776018944	0.95188318902811
del61_20p11.21	-0.0844351999453418	0.211107046060434	-0.399963911773794	0.691034400668494	-0.0348932990343704	0.95188318902811
amp4_3q21.3  	-0.0492663901277025	0.124664845718126	-0.395190719917117	0.69452884774264	-0.0349783983839951	0.95188318902811
amp15_7q31.2  	-0.0367744556866834	0.0939898235232212	-0.391259971645738	0.697411590583727	-0.0350477213740359	0.95188318902811
del59_19q13.2 	0.0500377495033435	0.129017531197425	0.387836823716419	0.69992575027326	-0.0351075352334487	0.95188318902811
del49_17p11.2 	0.0578485746753716	0.160180404441686	0.361146389141697	0.719643444744029	-0.0355561005877671	0.95188318902811
amp8_4q31.21 	0.0655323065731179	0.19300792357005	0.339531690518051	0.735754590204467	-0.0358961926381443	0.95188318902811
del33_10q26.3 	0.0639797610541306	0.192161879322383	0.332947207217901	0.740686873557994	-0.0359956675204518	0.95188318902811
amp31_15q25.3 	0.0334791259215855	0.102860830560231	0.325479832694737	0.746293851927565	-0.0361061457427057	0.95188318902811
del4_1q42.13 	-0.043292715433217	0.142198818633427	-0.304452004941201	0.762156682724426	-0.0364039014915005	0.95188318902811
del52_17q25.1 	0.0458892685252472	0.151634808554599	0.302630174184076	0.763536006085758	-0.0364287707542179	0.95188318902811
amp33_16p13.13	0.0466677802000959	0.15845003073449	0.294526798030704	0.769680479573106	-0.036537593059301	0.95188318902811
del11_3q21.3  	0.0461770013920549	0.161110164465539	0.286617554796998	0.775692192251022	-0.0366409813324626	0.95188318902811
amp30_14q13.3 	-0.021400818628075	0.0764988948823636	-0.279753304423341	0.780920911178258	-0.0367284447213805	0.95188318902811
amp39_19q13.12	-0.0260547591995221	0.0949458213930169	-0.274417123547455	0.784992744926368	-0.036794982866051	0.95188318902811
del40_14q11.2 	-0.061724068562704	0.225026304628024	-0.274297125683755	0.785084381051392	-0.036796464514067	0.95188318902811
amp22_10q25.1 	-0.0397295382970261	0.15364720991136	-0.258576373238059	0.797115641514136	-0.0369850040055526	0.95188318902811
del32_10q11.22	0.0530605439148399	0.208657324960342	0.254295141207838	0.800400895479004	-0.037034433013448	0.95188318902811
amp27_12q14.3 	-0.0204222550890843	0.0864514434999592	-0.236228040415472	0.814304436573147	-0.0372339853490853	0.95188318902811
amp26_12q13.11	-0.0528351800084434	0.239802822992973	-0.220327598103345	0.826590976273361	-0.037397502664797	0.95188318902811
del72_xp11.22 	0.0666242827749448	0.304213950099273	0.219004693089201	0.827615231898858	-0.0374105961892086	0.95188318902811
del8_2q37.3  	-0.0430237140036804	0.200161754736343	-0.214944728379066	0.830760532533065	-0.0374502895841002	0.95188318902811
del28_8q24.3  	-0.0176307594582173	0.085641172232013	-0.205867796980327	0.837802597254936	-0.0375363566956124	0.95188318902811
amp19_9p22.3  	-0.0186051684194559	0.100237761312744	-0.185610374531484	0.853566356925476	-0.0377150927184278	0.95188318902811
amp35_16q24.1 	-0.0258258260528098	0.144604997957305	-0.178595666938392	0.859039462488884	-0.0377726865515735	0.95188318902811
amp14_6q21    	-0.0192787306603425	0.117514199902202	-0.164054477470695	0.870406985697957	-0.0378850283138827	0.95188318902811
del24_7q22.1  	0.0140355762994038	0.0882865525409964	0.158977510112725	0.874382538640664	-0.0379220113674652	0.95188318902811
del63_20q13.33	0.0229590884223156	0.151231703557348	0.151813990600254	0.879997532071087	-0.0379722207558519	0.95188318902811
del15_5p15.33 	-0.0113823135662617	0.080044743581414	-0.142199388204481	0.887543517440036	-0.0380359788689766	0.95188318902811
del27_8q21.2  	-0.0137407334905069	0.0987619125179278	-0.139129884589999	0.889954859808627	-0.0380554573430645	0.95188318902811
del29_9p21.3  	-0.019913672501765	0.168948525111406	-0.117868282594558	0.906685204924816	-0.0381787273977521	0.95188318902811
del58_19p12   	0.0137048277813234	0.116434485169087	0.117704198729621	0.906814495892714	-0.0381795995131342	0.95188318902811
del7_2q14.3  	0.020560938024494	0.175195947038113	0.117359667116164	0.90708598015511	-0.0381814267699667	0.95188318902811
del2_1p36.21 	-0.01766249153135	0.155292412066744	-0.113736990083964	0.909941252308149	-0.0382003161015172	0.95188318902811
amp25_12p12.1 	-0.00954267005280432	0.0888578775540579	-0.107392504924495	0.914944635043349	-0.038231972209021	0.95188318902811
del46_16q22.1 	0.0163479027411249	0.162782329922945	0.100427993313914	0.920440985678054	-0.0382646325266656	0.95188318902811
amp34_16q13   	0.0191228415213158	0.20180543295123	0.0947588042683529	0.924917988285038	-0.0382896035787454	0.95188318902811
amp17_8p23.1  	-0.00618862578287321	0.0671707304174716	-0.0921327748620626	0.926992625758823	-0.0383006792449532	0.95188318902811
del37_12p13.31	-0.0099616374000368	0.108845235313089	-0.0915211159347723	0.927475927770979	-0.0383032143483981	0.95188318902811
del73_xq28    	-0.00863183220224977	0.194181860564532	-0.044452309691312	0.964736276583342	-0.0384476701319387	0.981514298784791
amp9_5p15.33 	0.000270738901647348	0.084283882281468	0.00321222628002836	0.997450909121447	-0.0384920454615143	0.998650363889012
del13_4p16.1  	-0.000266517434319052	0.156707099140711	-0.0017007361873232	0.998650363889012	-0.0384922131078504	0.998650363889012
