HR	lower_CI	upper_CI	z_scores	p_values	FDR
2p	1.3164946262389	3.7303222582554	0.464320058722872	2.83531715140621	0.00457802130274523	0.196854916018045
9p	-0.921681466249038	0.397849507823871	0.382966606784687	-2.40668885986508	0.0160978781710377	0.343068747828648
21q	-1.05814837817047	0.347097909750631	0.468586564852081	-2.2581705442291	0.0239350289182778	0.343068747828648
17p	1.03991189925032	2.82896776919109	0.489646240374812	2.12380247922315	0.0336866636134718	0.362131633844822
10p	0.580614656992292	1.78713656921471	0.331534904698072	1.75129269577529	0.0798955052542688	0.579062386340042
22p	-0.722167869783933	0.485698183410844	0.435966017663234	-1.65647743293098	0.0976251714493734	0.579062386340042
9q	-0.722050426648498	0.485755228678101	0.457237890983229	-1.5791570228264	0.114300044937429	0.579062386340042
7p	-0.735010180905453	0.479500577200003	0.473437691086286	-1.55249612513739	0.120543559150589	0.579062386340042
2q	0.945059398322094	2.57296620392481	0.621321722892165	1.52104676772442	0.128248101497376	0.579062386340042
21p	-0.588507889527898	0.555155019663437	0.393399751885206	-1.495953890941	0.13466567124187	0.579062386340042
1p	-1.00268616310312	0.366892583014543	0.704692855884753	-1.42286977188697	0.154773910495469	0.605025286482288
7q	-0.499713471729174	0.606704472793755	0.435939705364671	-1.14629033689683	0.251675039868064	0.779485961598452
4p	0.444690135108298	1.5600067296156	0.406817741406562	1.09309425289761	0.274352419063994	0.779485961598452
11p	0.401821491575874	1.49454452007554	0.371040059756422	1.08295986109872	0.27882623966282	0.779485961598452
1q	0.499370381985003	1.6476835328099	0.485881719308839	1.02776120635975	0.304062168717517	0.779485961598452
19p	0.370445920834525	1.44838033364994	0.374048606748521	0.99036840172909	0.32199408420298	0.779485961598452
Xq	-0.410552208325827	0.663283878108909	0.42459557515941	-0.966925310447923	0.333581372742577	0.779485961598452
Xp	-0.374984516293385	0.687299920658912	0.415821708805223	-0.90179158123039	0.367167592774777	0.779485961598452
5q	0.369237617971823	1.4466313084354	0.420539215357031	0.878009955999814	0.379938315808435	0.779485961598452
12p	0.270601101561259	1.3107521091174	0.309368656154239	0.874688163064419	0.381743602446725	0.779485961598452
13q	0.270425419214595	1.31052185333751	0.319247879153753	0.847070370307317	0.396955899137455	0.779485961598452
6p	-0.289069673245717	0.748960021109183	0.34259938706727	-0.843754204349929	0.398806771050371	0.779485961598452
15q	-0.363480853579414	0.695252038676672	0.457427192876836	-0.794620125868385	0.426834507542032	0.79799494888293
16q	-0.327936630012695	0.720408670547146	0.467496406388407	-0.70147411944005	0.483007180404761	0.865387864891863
4q	0.2947542086236	1.34279627037799	0.471265112001093	0.625453064777085	0.531673743851998	0.886329469954733
10q	0.268076249533619	1.30744682842519	0.438871471765534	0.610830885077074	0.541311544418614	0.886329469954733
22q	-0.24975304325334	0.778993136929652	0.446450114311655	-0.559419821492069	0.575875236843501	0.886329469954733
16p	0.252344041834544	1.28703875629839	0.452586217882699	0.557560155090595	0.577144771133314	0.886329469954733
8q	-0.0900082122014179	0.91392367991507	0.176680983173242	-0.509439163088432	0.610444431202328	0.905141742817244
12q	-0.174580819525409	0.839808978523327	0.404991403043493	-0.431072902321981	0.666415363011606	0.906053184660647
19q	-0.139599640091729	0.869706361265355	0.340115248093223	-0.410448049225556	0.681477305262783	0.906053184660647
5p	0.126425059964334	1.13476440870431	0.313006546956903	0.403905481190273	0.686282225559847	0.906053184660647
20q	0.119590267221009	1.12703497379077	0.305377599170305	0.39161440638059	0.69534314171631	0.906053184660647
17q	0.12551769035539	1.13373522496217	0.357496091034472	0.351102273572234	0.725511622332306	0.917558816479093
8p	-0.0643722844196794	0.937655859877482	0.217274728113541	-0.296271384061015	0.767022837677143	0.918919947686542
3p	0.120144511368547	1.12765979946606	0.464460720196386	0.258675289737628	0.795885786725143	0.918919947686542
18p	0.104490591450351	1.11014494896321	0.4356592036543	0.239844792842402	0.810450580591071	0.918919947686542
18q	0.10456720981901	1.11023000971674	0.457718749773516	0.228452974388204	0.819294110474525	0.918919947686542
20p	-0.0601648675127862	0.941609280006454	0.345098094077883	-0.174341349735789	0.8615972044193	0.918919947686542
11q	0.068632498304414	1.07104252686866	0.409579917471034	0.16756802610877	0.86692312694048	0.918919947686542
3q	0.0514910783535686	1.05283979318585	0.339484829055607	0.151674166108714	0.87944393385865	0.918919947686542
14q	0.0485922235265697	1.0497921828934	0.377394013762241	0.128757271590383	0.897549716344994	0.918919947686542
6q	0.0213851246405911	1.02161542515718	0.419168440442027	0.0510179741061608	0.959311197933193	0.959311197933193
