estimate	std_error	t_value	p_values	r_sq	FDR
15q	2.30182649669698	0.753871317314697	3.05334139106941	0.00285559602647731	0.082523954788926	0.122790629138524
21q	1.78194601563893	0.746483290182713	2.38712110381302	0.0187356379601797	0.0530165604085296	0.281583265346152
21p	1.56596475470215	0.685758894147332	2.28355004662282	0.0243732272663024	0.0489342059022182	0.281583265346152
19p	-1.41973703445977	0.629702108306384	-2.25461693034224	0.0261937921252234	0.0478200515876921	0.281583265346152
14q	-1.50660885492849	0.711124916773812	-2.1186275707559	0.0364364450121713	0.0427408280803427	0.313353427104673
4p	1.62850150223434	0.818748923231869	1.9890120842005	0.0492523695766179	0.0381475016002937	0.352975315299095
17p	-1.25137356758079	0.699184831004284	-1.78976075007714	0.0763210535855563	0.0315759772286616	0.462856346704342
18p	1.17083574738498	0.710138146048649	1.64874363375597	0.102133319600888	0.0272961358234234	0.462856346704342
19q	-1.07354928847477	0.654838001306723	-1.63941201691489	0.104064449205356	0.0270240336011928	0.462856346704342
22p	1.291135423861	0.795773306012632	1.62249149865364	0.107641010861475	0.0265342010395152	0.462856346704342
16p	-1.07816576153151	0.70503329367075	-1.52924091842251	0.129155731130468	0.0239175358379795	0.500086540227304
9q	1.27759189358549	0.867621215710061	1.4725226521114	0.143815231878519	0.0223952742038683	0.500086540227304
11q	-1.14617193613227	0.799855825228594	-1.43297316838906	0.154780855745806	0.0213651606358237	0.500086540227304
10p	-0.887790728948167	0.631729421674306	-1.40533383199916	0.162818873562378	0.0206606607589505	0.500086540227304
8q	-0.393645104119013	0.356294795587817	-1.10482978980811	0.271711551026534	0.0138345172225792	0.733674863519918
18q	0.874383133972133	0.793552627266809	1.10185903735676	0.272995298053923	0.0137747760788655	0.733674863519918
Xq	0.719872748717252	0.681325304603729	1.0565771502292	0.293084305239278	0.012883220461492	0.74133088972288
7q	-0.780675257084233	0.803834063501954	-0.971189568258865	0.333644206020014	0.0112998376914627	0.766724289858175
7p	-0.720535266704965	0.829458146923696	-0.868681885128617	0.386965437126218	0.00956933351356304	0.766724289858175
22q	0.707987359813577	0.819820700909655	0.863588049225897	0.389745917547795	0.00948822166301866	0.766724289858175
17q	0.582525553920918	0.679415063342791	0.857392756432031	0.393144188456986	0.00939019590758283	0.766724289858175
3q	0.543553828935671	0.65769812989551	0.826448798055769	0.410388650701748	0.00891086824236076	0.766724289858175
4q	0.716306597951522	0.880524917568499	0.813499520183422	0.417738288594581	0.00871537719921855	0.766724289858175
2q	-0.851294276958122	1.10316308285028	-0.771684885210809	0.442002021885119	0.00810469906202416	0.766724289858175
Xp	0.533221375983533	0.711046817569096	0.749910361467468	0.454954417859001	0.00779916945905135	0.766724289858175
20p	0.472831738864561	0.64280849757435	0.735571699267824	0.463600733402618	0.00760265192984722	0.766724289858175
1q	-0.546989974340245	0.837248802545282	-0.653318311925159	0.514952519049355	0.00654730682027815	0.820109567374899
9p	0.307610715302434	0.541620719755247	0.567944881136453	0.571262266479563	0.00558217159903229	0.827051667659501
6p	-0.287671826282877	0.5479240212752	-0.52502138090856	0.600654503430944	0.00514729139036729	0.827051667659501
12q	0.401489802050236	0.814319527868956	0.493037178048425	0.622996646390697	0.00484522822009181	0.827051667659501
8p	-0.191127445415128	0.426329270022282	-0.448309461382135	0.654836361458287	0.00445437096894641	0.827051667659501
16q	-0.31190185149111	0.724475573375793	-0.430520866338889	0.667682738231503	0.0043091690249244	0.827051667659501
12p	-0.19830861749926	0.461245509335235	-0.429941567962514	0.668102780860621	0.0043045385521987	0.827051667659501
5q	-0.34962375965132	0.867433755553492	-0.403055285101549	0.687711774469368	0.00409644529739406	0.827051667659501
6q	0.29726005001709	0.738787550878296	0.402362018233384	0.688220294314173	0.00409125612262407	0.827051667659501
1p	-0.499488447889461	1.25926660388797	-0.39665027750859	0.69241534966842	0.00404884110973125	0.827051667659501
13q	-0.184873810959072	0.563062914648827	-0.328335974807317	0.743299314754233	0.00358831067641574	0.853715936471287
11p	-0.248211378236033	0.791527878146535	-0.31358513716188	0.754446641532765	0.00350021503248654	0.853715936471287
3p	-0.167136215109288	0.785650242572801	-0.212736159237933	0.831937526222371	0.00300609526805473	0.917264451988769
10q	0.107628741693954	0.941819705214059	0.114277436645363	0.909232027981516	0.00270612671424364	0.975282576966343
5p	-0.0519953033105362	0.595647848491837	-0.0872920190044953	0.930602551356516	0.00265543204271768	0.975282576966343
20q	-0.0376919111129976	0.632630972413487	-0.0595796171173899	0.952601586804335	0.00261749537830291	0.975282576966343
2p	0.0165919433068141	0.780647687773746	0.0212540734657538	0.983082563903324	0.00258861805957289	0.983082563903324
