estimate	std_error	t_value	p_values	r_sq	FDR
15q	34.5177663421625	24.537435219818	1.40673896977968	0.162948585181198	0.0114344166641912	0.942872065317659
2q	-46.3855734181725	33.7881999219171	-1.3728335195532	0.173215218309555	0.0104204820765678	0.942872065317659
8p	-16.7003263246224	13.014757630957	-1.28318381318902	0.202722117068133	0.00784940969848713	0.942872065317659
19p	-23.631571129934	18.8606779325166	-1.25295449158761	0.213467874676342	0.00701874412145331	0.942872065317659
20q	-22.1987666197095	19.1712905483429	-1.15791717640147	0.249961441276522	0.00452791104618566	0.942872065317659
2p	-23.4165842342893	22.6325617677825	-1.03464134880316	0.303608544781781	0.00157343433702539	0.942872065317659
5q	-24.9905709209329	26.1544044857844	-0.95550143129873	0.341883684870791	-0.000156262729157808	0.942872065317659
16p	-23.6107279167724	25.0741565467118	-0.941635977776038	0.348899728337695	-0.000445730685289192	0.942872065317659
11p	21.4212137114565	24.7386357630321	0.8659011724271	0.388846806489473	-0.00195487466942668	0.942872065317659
20p	-17.3616039402054	20.6285069477818	-0.841631630643647	0.402224960088208	-0.00241262804698117	0.942872065317659
17p	-18.6212582068596	22.417279257247	-0.830665398471128	0.408360878400386	-0.00261533001153591	0.942872065317659
6p	-14.1131584695082	17.004974124703	-0.829942954691485	0.408767086705294	-0.00262859332195764	0.942872065317659
18p	-18.6832214778855	22.9992226621125	-0.812341432246016	0.41873927160407	-0.00294827920202501	0.942872065317659
21q	-19.3649619316977	24.2104130346104	-0.799860865818941	0.425897569421372	-0.00317092450590728	0.942872065317659
4p	19.2485233813661	25.02432421907	0.769192534945564	0.443793005402139	-0.00370378631729817	0.942872065317659
22q	18.7010026055001	24.8609190681023	0.752224909878507	0.45387867849734	-0.00398988152456381	0.942872065317659
14q	-15.9740816479637	22.202098993621	-0.719485200590867	0.473706188037322	-0.00452431433727751	0.942872065317659
13q	-10.1327005585604	16.7975247131601	-0.60322581639793	0.547875685277364	-0.00623377285088678	0.942872065317659
7q	-14.2489628880844	23.7104937252785	-0.600955975576888	0.549379850270761	-0.0062642100445609	0.942872065317659
5p	-10.0575490140024	17.5162527368957	-0.574183826019903	0.567275728316951	-0.00661468282903743	0.942872065317659
4q	14.2315430128671	27.1206814687499	0.524748724668499	0.601048080935037	-0.00722044268969668	0.942872065317659
9q	-12.864931487219	26.5786525318682	-0.484032494566598	0.629538545086141	-0.00767891961904321	0.942872065317659
10q	13.3726280484695	28.7859174166145	0.464554520008145	0.643372388053337	-0.00788529623441914	0.942872065317659
22p	11.1672567183801	24.302910384808	0.459502855483551	0.646981112869438	-0.00793744984310951	0.942872065317659
8q	-4.96302037452218	11.0359742920235	-0.449712933647309	0.653998694639482	-0.00803691304690757	0.942872065317659
9p	-7.07448477709052	16.7908735816921	-0.421329166863847	0.674519287593423	-0.00831328077783744	0.942872065317659
7p	-9.43660821654519	23.9473222019843	-0.394056927824826	0.694471132011308	-0.00856198800891916	0.942872065317659
1p	15.0322698779308	38.7039979838758	0.38839062269984	0.698644212252632	-0.00861158872833223	0.942872065317659
16q	-8.24474296241369	22.1932779551888	-0.37149730558329	0.71114031219277	-0.00875523040528225	0.942872065317659
3q	7.26745324730638	21.0351249803418	0.345491327201436	0.730531252568102	-0.00896394515805055	0.942872065317659
Xp	-8.04902003118622	23.3963298397002	-0.344029174077046	0.731626839727199	-0.0089752327792485	0.942872065317659
11q	8.50654339392024	26.2130242579461	0.324515908970007	0.74630053499928	-0.00912131277979178	0.942872065317659
12p	-3.70501418093811	13.2963204967358	-0.278649584435611	0.781152995324549	-0.00943123790116807	0.942872065317659
1q	-6.92822527476688	25.2026574586032	-0.274900584835028	0.784022697008642	-0.00945449428045642	0.942872065317659
19q	5.36613758209414	19.8047013700157	0.270952713794436	0.787047857205193	-0.00947864494092854	0.942872065317659
12q	6.5131874942023	24.3110568013327	0.267910504567011	0.789381263986877	-0.00949701776978951	0.942872065317659
18q	-2.75347224090773	25.0809557089258	-0.109783385962754	0.912825591080232	-0.0101668263293666	0.984625392528396
6q	-2.35765464994644	23.7221307191046	-0.0993862936623864	0.921052605493583	-0.010191233282187	0.984625392528396
10p	-1.57811624499774	18.9230807400682	-0.0833963701088161	0.933721586952626	-0.010224035931095	0.984625392528396
17q	1.36848970803151	20.6529447961162	0.0662612388471039	0.9473168136178	-0.0102528192082663	0.984625392528396
21p	-1.25014301464809	22.375554885472	-0.0558709279410891	0.955568477916579	-0.0102670631800252	0.984625392528396
3p	1.0837749568484	23.5558036755345	0.0460088295766376	0.963405147683111	-0.0102783414036838	0.984625392528396
Xq	-0.432352218793323	22.3738148418828	-0.0193240277462196	0.984625392528396	-0.0102979114730748	0.984625392528396
