HR	lower_CI	upper_CI	z_scores	p_values	FDR
2p	1.59307322442753	4.91884243029966	0.53614892224953	2.97132598484661	0.00296516858768192	0.127502249270322
12p	0.855692688826801	2.35300371558188	0.317151810134711	2.69805393342495	0.00697461399104629	0.149954200807495
19p	0.959051825507539	2.6092213030771	0.471098616338711	2.03577720724613	0.0417727321760698	0.419566456666155
Xq	-0.981417173971191	0.374779594437074	0.488915508476784	-2.0073349217921	0.0447140131268837	0.419566456666155
8p	-0.692679149451225	0.500234070326185	0.374893772013015	-1.84766779595148	0.0646504154639207	0.419566456666155
2q	1.21629489147926	3.37466105616816	0.692288582573018	1.75691889494793	0.0789316345065054	0.419566456666155
Xp	-0.944906005818255	0.388716106237009	0.548491982200992	-1.72273439992054	0.0849365665108261	0.419566456666155
1p	-1.58997843581035	0.203930009272193	0.974415687822139	-1.63172499753573	0.102737431584816	0.419566456666155
9p	-0.848723312259388	0.427960955829332	0.527734390988848	-1.60823953631122	0.107782727272421	0.419566456666155
8q	-0.467707989957703	0.626436422678363	0.291708820377438	-1.60333852556307	0.108859935241901	0.419566456666155
3q	0.684066880401653	1.98192160253736	0.429757501007155	1.59175087996955	0.111440691006285	0.419566456666155
6p	0.591086435016902	1.80594939662888	0.377181790554754	1.5671128612745	0.117088313488229	0.419566456666155
13q	0.563064237521299	1.75604520407533	0.387580326670417	1.45276784907637	0.146288221457924	0.483876424822365
20p	0.572760509651414	1.77315511336247	0.491187117074895	1.16607396599142	0.243584541456245	0.748152520187037
21q	-0.677184327595442	0.50804546996941	0.613399631742443	-1.10398554637506	0.269599407548724	0.772851634973008
16p	-0.560375059015599	0.570994866910384	0.590564570125912	-0.948880253510845	0.342681518698398	0.852774989190833
11p	0.516026868240914	1.67535799071498	0.547682575630928	0.942200630805998	0.346089931030602	0.852774989190833
10p	0.404162966866181	1.4980480592641	0.440019000712089	0.918512532895439	0.358350600602768	0.852774989190833
1q	0.483790384864167	1.62221156991242	0.569223579712942	0.84991276206116	0.395373589700611	0.852774989190833
9q	-0.51987892450107	0.59459253419996	0.632732803479879	-0.821640543436125	0.41128150731117	0.852774989190833
15q	-0.486583366174665	0.61472309403326	0.605499446023048	-0.803606624862451	0.421624195863282	0.852774989190833
18q	0.461050890791297	1.58573954876758	0.620683189532653	0.742811950712646	0.457595539118929	0.852774989190833
17p	0.43164478907795	1.53978806846884	0.59159003349558	0.729634991528597	0.465613327511932	0.852774989190833
4p	0.377789004498838	1.45905505634277	0.550629393960836	0.686103954206462	0.492647557600818	0.852774989190833
3p	-0.400938220364004	0.669691433052911	0.588650754248953	-0.681113915967971	0.495799412320252	0.852774989190833
7p	-0.389927867907221	0.677105713788872	0.691238337176798	-0.564100465694351	0.572685761150815	0.89843519591568
5q	-0.297863983316832	0.742402311980716	0.536400196069577	-0.555301779341997	0.578688262002969	0.89843519591568
6q	0.32357119706734	1.38205455099622	0.617749730684945	0.523790106243466	0.600424535555176	0.89843519591568
14q	0.266176208293065	1.30496498408131	0.542632126297938	0.490527920101284	0.623760377840642	0.89843519591568
7q	-0.293169478849183	0.745895716436773	0.66767818562603	-0.439087999519261	0.660597774150716	0.89843519591568
21p	-0.234210774564272	0.791195034530909	0.555767831825621	-0.421418371399658	0.673449606353491	0.89843519591568
18p	0.219761483202006	1.24577955579754	0.539732635061976	0.407167306414168	0.68388511203169	0.89843519591568
4q	0.278022790490172	1.32051629207973	0.695860573429546	0.399538069989996	0.689496778260871	0.89843519591568
22q	0.224919992850136	1.25222252542867	0.61987188309731	0.362849161227123	0.716717565581041	0.906436921176023
16q	-0.150088935850924	0.860631432032598	0.571510185017218	-0.262618129625113	0.792844925000591	0.960234558180553
20q	-0.110825630548081	0.895094812514148	0.446372485296426	-0.248280604649017	0.803917304523254	0.960234558180553
11q	-0.107276995477338	0.898276819909795	0.555405072059231	-0.193150910703058	0.846840782299658	0.971697685490033
19q	-0.0747680976332025	0.927958657187165	0.458430809960404	-0.163095708248014	0.870443078876217	0.971697685490033
5p	0.0603647475086925	1.0622239194227	0.404285138901566	0.149312308814275	0.881307203118867	0.971697685490033
17q	-0.0525586287313735	0.948798692561429	0.488420015464295	-0.10760948992111	0.914305468840365	0.972350542243378
22p	-0.0559188164112175	0.945615901266784	0.618819415039158	-0.0903637071692054	0.927998196149803	0.972350542243378
10q	0.0414598035909516	1.04233126303558	0.657714991684505	0.0630361237239963	0.949737738935393	0.972350542243378
12q	-0.0111702731352403	0.988891882717829	0.611464236938984	-0.0182680727022714	0.985424997507406	0.985424997507406
