estimate	std_error	t_value	p_values	r_sq	FDR
2q	-1.57645290094442	0.436534848966853	-3.61128763184751	0.000898733243036731	0.350692392733704	0.027281891980147
13q	-0.556904838734463	0.159606872334376	-3.48922844354565	0.00126892520837893	0.339248625098763	0.027281891980147
11q	-0.774248575946715	0.274495340313946	-2.82062557076995	0.0076605585196849	0.277241920306517	0.10980133878215
5q	-0.756465095498642	0.305357760601841	-2.47730758179421	0.0179301913507337	0.246766793672555	0.192749557020387
10p	-0.534438962450348	0.227442364550948	-2.34977755136129	0.0242299411840838	0.235861966995749	0.20837749418312
5p	-0.425855736116689	0.194681940761715	-2.18744344981605	0.0351049165414151	0.22239244907799	0.251585235213475
8q	-0.235699494209826	0.11712729319161	-2.01233621803452	0.0515067185649393	0.208461419386492	0.293465549367314
1q	-0.733686908851771	0.369619920160994	-1.98497664447361	0.054598241742756	0.206346955309384	0.293465549367314
18p	-0.441721296327255	0.257522342506038	-1.71527368083373	0.0946598028272382	0.186517265416203	0.420526485115271
12q	0.540335311407647	0.318112992748059	1.69856410685993	0.0977968570035514	0.185353820851217	0.420526485115271
2p	-0.382314006549072	0.248721263443723	-1.53711830366114	0.132772978501896	0.174542557856714	0.519021643234684
11p	-0.445071435421717	0.304970851574121	-1.45939007982062	0.152896348906583	0.169629169585907	0.547878583581921
17p	-0.418623089706288	0.33268277757543	-1.25832510103825	0.216156931543649	0.157869038465765	0.687497374801417
8p	-0.189547547489232	0.153216579035052	-1.2371216527806	0.223836354586508	0.156712579757576	0.687497374801417
17q	-0.300640230288988	0.287123318875153	-1.04707702413998	0.301856252861249	0.147103506654668	0.838724371619939
3q	-0.341596770435912	0.354060374972346	-0.964798081295012	0.340909858648976	0.143381358620396	0.838724371619939
7q	0.331260525382397	0.343726316486267	0.963733381745972	0.341436401225179	0.143334984848346	0.838724371619939
4q	-0.308681022512346	0.343946245132584	-0.897468796013038	0.375271718497097	0.14054030762137	0.838724371619939
6p	-0.235295377992606	0.265241276245338	-0.88709940369525	0.380755542038679	0.140119416093588	0.838724371619939
22p	0.267284078245178	0.334137838390752	0.799921611788866	0.428862299900659	0.136759593606843	0.838724371619939
20p	0.19053383512097	0.268962014296968	0.708404254106296	0.483133698341423	0.133582149829754	0.838724371619939
16p	-0.22127160242874	0.316587367218087	-0.698927453653933	0.488967798246516	0.133273910862484	0.838724371619939
19p	-0.200266513189901	0.292520126738324	-0.684624731374641	0.497847162715634	0.132816161901899	0.838724371619939
4p	-0.225863510888711	0.367629218694793	-0.614378562429294	0.542724932257458	0.130699096502966	0.838724371619939
9q	-0.246047227978783	0.415860749573562	-0.591657732140118	0.55767780926836	0.130061327488132	0.838724371619939
10q	-0.209135653174584	0.36468448029428	-0.573470121365798	0.569795934056369	0.129567479767374	0.838724371619939
3p	0.235576707569241	0.417819496670068	0.563824114113239	0.576275581495087	0.129311598577658	0.838724371619939
15q	-0.1729197183667	0.306747766313958	-0.563719568180051	0.576346007445813	0.129308848230715	0.838724371619939
19q	-0.154511366547757	0.274937439226529	-0.561987363315954	0.577513498542206	0.129263349883404	0.838724371619939
21p	0.225671140183023	0.40979751435522	0.550689382628628	0.585156538339492	0.128969916250023	0.838724371619939
16q	-0.160824232546796	0.33077867972733	-0.486198907013497	0.629693483771273	0.127405713152725	0.846759331334858
20q	-0.112385465324184	0.240002224749604	-0.468268431434067	0.642339584956897	0.127004479517535	0.846759331334858
Xq	0.125605146239867	0.282192437365579	0.44510457974161	0.658837416863709	0.126507944368684	0.846759331334858
14q	0.108475512846653	0.262627494401406	0.413039438593037	0.681961676149558	0.12586131905044	0.846759331334858
6q	-0.125728481953459	0.311933800115321	-0.403061424914445	0.689222711551629	0.125669777131814	0.846759331334858
1p	-0.209415357144666	0.648375863937184	-0.322984504501782	0.748525261938113	0.124299771086596	0.894071840648302
22q	0.0932349131334021	0.358014818346934	0.260421938856879	0.795982210936828	0.12343749926386	0.907930966297933
21q	-0.0916094142303344	0.438661527524493	-0.208838497297257	0.835719813302032	0.122864711413716	0.907930966297933
7p	0.0740161333012261	0.355337182348988	0.208298306447797	0.836138469513883	0.122859375833994	0.907930966297933
9p	-0.056722039326381	0.287330628521367	-0.197410347857026	0.844586945393426	0.122754766353122	0.907930966297933
18q	-0.0551877660129806	0.345039985276438	-0.159946001530128	0.873793617538356	0.122437562263968	0.916417696442667
Xp	-0.0161548011687448	0.296988326702973	-0.0543954078871987	0.956912794707765	0.121901014566643	0.956947215481696
12p	0.00783705554645995	0.144190988506231	0.0543519094199237	0.956947215481696	0.121900902313222	0.956947215481696
