estimate	std_error	t_value	p_values	r_sq	FDR
del40_14q32.33	-185.215743843959	87.8293946768808	-2.10881271042977	0.0377387046126621	0.0567189593995057	0.998467166030102
amp5_2q11.2  	-158.725395318529	81.2304771919184	-1.95401283859896	0.053804611224646	0.0503955261663778	0.998467166030102
del12_4p16.1  	-122.901265837469	80.3959779056431	-1.52869918420187	0.129846198309961	0.0351622171131254	0.998467166030102
del9_3p12.1  	-199.653145480075	130.83152401344	-1.52603240683466	0.130508485962227	0.0350770882083727	0.998467166030102
del63_22q13.33	-191.911199320014	128.038379619306	-1.49885682629395	0.137410331422467	0.0342172223800777	0.998467166030102
amp25_15q26.3 	127.033715981041	88.6460297747912	1.43304461918685	0.155309745005906	0.0321928312636417	0.998467166030102
del16_5q13.2  	-157.463338914664	114.064429231546	-1.38047715642376	0.170858815260923	0.030635383093477	0.998467166030102
amp6_2q14.1  	-104.680413694951	81.3346810599437	-1.2870329400788	0.201383122621025	0.0279991572620084	0.998467166030102
amp21_13q33.1 	-81.4981289252568	64.7728046550176	-1.25821522411016	0.21156836292947	0.0272206889040321	0.998467166030102
amp13_7q34    	-65.523961660935	52.6864208766993	-1.24365938263825	0.216854626986841	0.0268337213595026	0.998467166030102
del13_4q13.2  	144.589841663412	118.103924329316	1.22425941800413	0.224049458033464	0.0263245037600459	0.998467166030102
del2_1p36.11 	91.4189773597392	76.4489633792486	1.19581709572996	0.234909082059845	0.0255914770955291	0.998467166030102
del28_9q33.3  	-132.227042213283	113.262516508205	-1.16743867512165	0.246116930898613	0.0248762069740166	0.998467166030102
amp16_9p24.2  	71.729879598559	63.3234346668727	1.13275408979172	0.260326287699401	0.0240239511823226	0.998467166030102
amp9_4p16.3  	-89.1725338674596	78.7969802151203	-1.13167450864251	0.260777643113713	0.0239978130722382	0.998467166030102
del58_20p13   	102.943500845862	91.2589566245201	1.1280372322184	0.262302379127947	0.0239099228937281	0.998467166030102
del50_17q12   	94.1972855420681	98.2682467050954	0.958572974490485	0.340341958530734	0.0201136681552655	0.998467166030102
amp2_1p34.2  	-84.8661785615037	89.409081806327	-0.949189689089261	0.345066028021473	0.0199206996219237	0.998467166030102
del26_8q21.2  	71.218265547256	76.1594248705182	0.935120842474023	0.352228333656962	0.0196347889363223	0.998467166030102
del48_17p11.2 	-76.6611367062316	84.2092540811396	-0.910364751982781	0.365061913824087	0.0191416637230464	0.998467166030102
del14_4q13.2  	97.6670989103491	108.230142924517	0.902402013628169	0.36925215425658	0.0189857600729513	0.998467166030102
del11_4p16.3  	-94.4771661408632	106.340564507634	-0.888439576922509	0.376672691482737	0.018715576516487	0.998467166030102
amp27_17q25.3 	-77.3824641562923	88.1361421433014	-0.877987875058967	0.382288171904695	0.0185159899714449	0.998467166030102
del32_11p15.5 	-115.012370983086	132.763066265612	-0.866297941273721	0.388630407287362	0.0182954618204939	0.998467166030102
amp7_2q31.2  	-61.1571981144636	74.1822019172706	-0.824418749158555	0.411881257532965	0.0175289126453767	0.998467166030102
del10_3q29    	55.3361996603745	67.7833071359467	0.8163691327334	0.416444613253436	0.0173857925054556	0.998467166030102
del15_4q35.2  	-100.739672463534	128.765788313183	-0.782348120437985	0.436063583474317	0.0167959774039058	0.998467166030102
amp24_15q13.2 	46.6174498867237	61.2573201536633	0.761010272238229	0.448640270404035	0.01643851293621	0.998467166030102
del18_6p25.3  	-53.1269194232593	73.2630927562535	-0.725152562150395	0.470239690484161	0.0158595138616716	0.998467166030102
del60_21q11.2 	88.7239174341262	124.066039460489	0.715134599443561	0.476376940005549	0.0157026285690293	0.998467166030102
del46_16q24.3 	-69.5236177292955	100.903348113674	-0.689012000384493	0.492588193963127	0.0153035780952299	0.998467166030102
del7_2q37.3  	-73.6057054161113	107.790300857062	-0.682860190860012	0.4964492004306	0.0152117169038243	0.998467166030102
del35_12p13.31	-43.8168452852598	64.7876384852191	-0.676314900646616	0.500575113570837	0.0151148661338515	0.998467166030102
del4_1q31.3  	57.0341567187725	85.4667736848515	0.667325491062516	0.506271704310256	0.0149833395058554	0.998467166030102
