estimate	std_error	t_value	p_values	r_sq	FDR
amp31_20p13   	0.206947203508862	0.0532705859371224	3.88483062215855	0.000265261372416314	0.215591911623727	0.0251998303795499
del58_20p13   	0.190475653535704	0.0641846573217994	2.96761970046402	0.00435527286803907	0.141795248761148	0.206875461231856
del19_6p22.1  	0.147108556393737	0.0523538740739584	2.80988864713091	0.00674558221882579	0.129926823149561	0.21361010359615
amp30_19q13.2 	-0.0981554252960982	0.0365482682452178	-2.68563819871114	0.00942518752659229	0.120816553887191	0.223848203756567
del45_16q22.1 	-0.188126558999855	0.0801836770630831	-2.34619520942959	0.0224050185978434	0.0971700360256247	0.339383571051828
amp14_8p11.1  	0.120789279965014	0.0518869231547956	2.32793298621042	0.0234251174523993	0.0959548605994764	0.339383571051828
del4_1q31.3  	0.146230718623511	0.0665211159144566	2.19826015564076	0.031934784565374	0.0875100696819595	0.339383571051828
del38_13q14.2 	0.132353308782562	0.0602599454361396	2.19637286135321	0.0320765181167069	0.0873896037168798	0.339383571051828
amp15_8q24.3  	0.0715980415032067	0.032613214301669	2.19536905626449	0.0321521277838574	0.0873255600579921	0.339383571051828
amp12_6p21.33 	0.069813796256402	0.0327697983356127	2.13043106159526	0.0373884182206702	0.0832260485818479	0.355189973096367
del48_17p11.2 	0.127409221094666	0.061745724216966	2.06345010460914	0.0435548828300383	0.0790895223750444	0.376155806259422
amp29_19q12   	0.0616364449319182	0.0305468727567453	2.01776612037341	0.0482500678476313	0.0763233477699841	0.381979703793748
del51_17q21.31	-0.129538394622799	0.0711247881173906	-1.82128338166713	0.0737225136341388	0.064960513703107	0.538741445787937
del15_4q35.2  	0.153846029469251	0.0896637371856021	1.71581103239979	0.0915343780237197	0.0592367168115664	0.593117306843961
del8_3p26.3  	0.135304147690384	0.0803551786881755	1.68382610678326	0.0975905316759811	0.057555193754487	0.593117306843961
amp27_17q25.3 	-0.114078367599409	0.0682249997723894	-1.67209040644916	0.0998934411526671	0.0569446709497559	0.593117306843961
del57_19q13.42	-0.0846474366854891	0.0562177415105906	-1.50570681800767	0.137569498690774	0.0486710967648295	0.748632532848271
del53_18q23   	0.123354149916744	0.0828311403927409	1.48922433437309	0.14184616411862	0.0478912390340888	0.748632532848271
del36_12q24.33	-0.115268091740389	0.0812386822715053	-1.41888184935293	0.161285154567608	0.0446458440740803	0.772298672547154
amp19_12p13.33	-0.0732261959724826	0.0518775332438418	-1.41152039030643	0.163433481583905	0.0443140410848862	0.772298672547154
del46_16q24.3 	-0.0995484017257256	0.0721487559086837	-1.37976601913581	0.172954864338677	0.0428999770323785	0.772298672547154
amp16_9p24.2  	-0.0635847321105045	0.0467267258298348	-1.36077867604209	0.178848113642499	0.0420678650257357	0.772298672547154
amp5_2q11.2  	-0.0734841203719936	0.0579866177479039	-1.26725998559642	0.210127034087339	0.0381180631617042	0.86724934825752
amp7_2q31.2  	0.0699345986568374	0.0581503134896471	1.20265213478666	0.233997667141593	0.0355360217169621	0.86724934825752
del27_9p24.3  	-0.0506448658528935	0.0439632893487476	-1.15198081406382	0.254055297345763	0.0335963929022531	0.86724934825752
del5_1q44    	0.0777044749512245	0.0683542800803926	1.13679018870267	0.260300978644505	0.0330297123614161	0.86724934825752
del26_8q21.2  	0.0564407090349433	0.0496632036712283	1.13646935482822	0.260434056255547	0.033017817771533	0.86724934825752
del9_3p12.1  	0.114401197091996	0.101343930194488	1.12884113407137	0.263612374616367	0.0327359125265331	0.86724934825752
del22_7q22.1  	-0.0647601239449501	0.0575056622299648	-1.12615212891515	0.264739274731243	0.0326369524384532	0.86724934825752
