estimate	std_error	t_value	p_values	r_sq	FDR
amp26_17p11.2 	-1.10213123407455e-15	7.643996783296e-17	-14.4182587371436	7.85568378861801e-27	1	2.86732458284557e-25
del47_17p11.2 	-1.10213123407455e-15	7.643996783296e-17	-14.4182587371436	7.85568378861801e-27	1	2.86732458284557e-25
del23_8p23.1  	-7.37959257126329e-16	1.27128805280246e-16	-5.80481548221546	6.66358906799556e-08	1	1.62147333987892e-06
del38_13q14.2 	6.78537306200827e-16	1.2276903427698e-16	5.52694179111953	2.3166430191568e-07	1	4.22787350996116e-06
del17_5q35.3  	-1.33927805118269e-15	2.70474971311109e-16	-4.95157849427113	2.76274750608131e-06	1	4.03361135887871e-05
del41_15q11.2 	-1.11271763369114e-15	2.33210285023404e-16	-4.77130600642024	5.8229695138621e-06	1	7.08461290853222e-05
del14_4q13.2  	-7.67509799232727e-16	1.62443753718629e-16	-4.72477261613974	7.04054077063654e-06	1	7.34227823223524e-05
amp8_3q26.2  	2.30511797164055e-16	5.92904371615697e-17	3.8878410785857	0.000175806724140639	1	0.00143291966025305
del15_4q35.2  	4.57884770994657e-16	1.1781428631e-16	3.88649615709459	0.000176661327976403	1	0.00143291966025305
del5_1q44    	3.17921587863543e-16	9.24584436954375e-17	3.43853492614252	0.000834491700886596	1	0.00609178941647215
del6_2p25.3  	5.78320808801592e-16	1.7530625211511e-16	3.29891719105292	0.00131855735145824	1	0.00875042605967742
del19_6p22.1  	-2.82118225113379e-16	1.04907957137119e-16	-2.68919758626735	0.00830992863713743	1	0.0505520658759193
del28_9q33.3  	7.95290392653815e-16	3.03016950395945e-16	2.62457394417912	0.00994467873701161	1	0.0558431959847575
del16_5q13.2  	8.27588387221596e-16	3.39637800688467e-16	2.43667926698389	0.0164726450466225	1	0.085893077743103
del49_17p11.2 	8.14758585411108e-16	3.42047426327749e-16	2.38200472419403	0.0189842985663622	1	0.0923902530229626
amp21_13q33.1 	-4.73938256219019e-16	2.18733650394036e-16	-2.16673682977103	0.0324734139274712	1	0.135586083992076
amp4_2p25.1  	-6.06769979599596e-16	2.8168985778951e-16	-2.15403559205529	0.0334815225492166	1	0.135586083992076
del32_11p15.5 	-9.47806547707108e-16	4.41366015538072e-16	-2.14743889275578	0.0340157403724103	1	0.135586083992076
del43_15q14   	4.36597872942602e-16	2.04777017972646e-16	2.13206480524549	0.0352895287102664	1	0.135586083992076
del7_2q37.3  	1.56825865936696e-15	7.64823648188649e-16	2.05048400775931	0.0427612202007637	1	0.156078453732788
