estimate	std_error	t_value	p_values	r_sq	FDR
del54_19p13.3 	-2.12390825061088	0.692076545454114	-3.06889211108469	0.00349665288762629	0.126704596568535	0.219120988940247
amp19_12p13.33	0.859902635443128	0.297311573838432	2.89226088423461	0.00569024775073297	0.110675441873592	0.219120988940247
amp28_19p13.11	0.808414790094295	0.286709880185921	2.81962654921437	0.00691961017706044	0.104196770955931	0.219120988940247
del46_16q24.3 	-0.975101593004731	0.388313829830165	-2.51111734400808	0.0153824138265204	0.0775589562246202	0.340097183728434
amp4_2p25.1  	0.687614099729065	0.28064581121785	2.45011353187562	0.0178998517751807	0.0724832297662844	0.340097183728434
del9_3p12.1  	-1.21736866470222	0.566769472864131	-2.14790796432688	0.036692317613488	0.0484439750327735	0.431947753924071
del6_2p25.3  	0.587778120400744	0.279421324497515	2.10355498621212	0.0405739652134754	0.0450854276776914	0.431947753924071
del28_9q33.3  	-1.01576644482866	0.485115717467597	-2.09386422301708	0.0414683545984912	0.0443578295703139	0.431947753924071
del35_12p13.31	0.518024889592182	0.261982140520269	1.97732902160216	0.0536443323142715	0.0357886787290448	0.431947753924071
del60_21q11.2 	-1.01179349292843	0.524762331443027	-1.92809855491368	0.0596482542959629	0.0322721073795261	0.431947753924071
amp32_20q13.33	0.552164736851021	0.287377224181029	1.9213935217886	0.0605088647510849	0.0317980674021213	0.431947753924071
del24_8p23.1  	-0.628256509821064	0.330047279206817	-1.90353488545918	0.0628529809575296	0.0305412902607666	0.431947753924071
del17_5q35.3  	-0.762760731481543	0.401181345354986	-1.90128663835706	0.0631534996837387	0.0303836747423568	0.431947753924071
amp24_15q13.2 	-0.55092745049702	0.290335949528659	-1.89755161698513	0.063655458473021	0.0301221262194552	0.431947753924071
amp20_12q13.2 	0.909334339036429	0.497817380221136	1.82664240977784	0.0738484241767315	0.0252283254104588	0.442420733023487
del14_4q13.2  	-0.778437068544994	0.432457992967461	-1.80002932354996	0.07801385477341	0.0234273725585358	0.442420733023487
del31_10q23.31	-0.866687724628638	0.483412200487853	-1.79285447027193	0.0791700259094661	0.0229452348976918	0.442420733023487
amp3_1q21.2  	0.564221082735234	0.322322001691392	1.75048888929229	0.086293238041524	0.0201281105441848	0.455436534108043
del63_22q13.33	-0.95498600474867	0.555441519739546	-1.71932772543989	0.0918666627870852	0.0180889423493742	0.459333313935426
amp5_2q11.2  	0.503262052631742	0.329790365240183	1.52600592884277	0.133437800543062	0.0060869840995682	0.633829552579546
amp29_19q12   	0.250677899289097	0.178121959201076	1.4073385472148	0.165639056205455	-0.000699390794344001	0.652523348177604
del41_15q11.2 	0.488345025736536	0.351346563458038	1.38992401385722	0.170834519765363	-0.00165649434580617	0.652523348177604
amp8_3q26.2  	0.357580207085498	0.261751143162305	1.36610752780465	0.178142507576625	-0.00294905508441867	0.652523348177604
del29_9q34.13 	-0.563003045244497	0.419978014748739	-1.34055361345838	0.186247826351051	-0.00431467994384649	0.652523348177604
del8_3p26.3  	-0.626729557316639	0.467754527368288	-1.33986850077708	0.186468939803369	-0.00435098874652118	0.652523348177604
del62_22q11.21	-0.470263494738827	0.355048170653556	-1.32450617580479	0.191479631955919	-0.00516095098521996	0.652523348177604
del42_15q11.2 	0.458866275715673	0.354710469325736	1.29363612127921	0.201856141077187	-0.00676414247211166	0.652523348177604
amp27_17q25.3 	-0.519745219842673	0.402296968252755	-1.29194416279103	0.202436856880013	-0.00685106495250598	0.652523348177604
amp30_19q13.2 	0.322734705155862	0.256820040531859	1.25665701355508	0.214835675808877	-0.00864130737486368	0.652523348177604
del25_8p23.1  	-0.445283122897621	0.35633999554054	-1.24960186470834	0.21738096853508	-0.00899404262966597	0.652523348177604
del2_1p36.11 	-0.367910842060212	0.303788950212848	-1.21107381227144	0.231675900859724	-0.010889504835776	0.652523348177604
del7_2q37.3  	0.518770966662602	0.42923832169717	1.20858492925661	0.232622479055506	-0.0110101498039981	0.652523348177604
del38_13q14.2 	0.41734397294765	0.351272409264928	1.18809209587791	0.240524039840212	-0.0119951512677441	0.652523348177604
amp9_4p16.3  	-0.346080971138004	0.297575843251834	-1.16300089199486	0.250461768790494	-0.0131807782822002	0.652523348177604
amp11_5q31.3  	-0.305231864795837	0.264241226627636	-1.15512582457833	0.253640922749166	-0.0135482417981239	0.652523348177604
amp23_14q32.33	-0.395722536493426	0.342877052207484	-1.15412371270027	0.254047542129612	-0.013594841946392	0.652523348177604
del45_16q22.1 	-0.527734005338166	0.460486134887184	-1.14603668896015	0.257346073081595	-0.0139695798002544	0.652523348177604
amp21_13q33.1 	0.281680619840895	0.24770930462551	1.13714186177521	0.261009339271042	-0.0143790233022023	0.652523348177604
del23_8p23.1  	-0.464718482271014	0.426756479700428	-1.088954718619	0.281500730410601	-0.0165471986207364	0.683278869372348
del26_8q21.2  	-0.300477636043792	0.283376752357365	-1.06034681230612	0.294185622159532	-0.017794186820443	0.683278869372348
del55_19p12   	0.35468466815436	0.339160704586525	1.04577170455746	0.300798031456092	-0.0184178813997669	0.683278869372348
del51_17q21.31	-0.448912604297249	0.430417985549357	-1.04296897287944	0.302081184354091	-0.0185369124436925	0.683278869372348
del59_21p11.2 	-0.702838075015649	0.721293064555054	-0.974414020532986	0.334637079586397	-0.0213570673675723	0.70507475612583
amp31_20p13   	0.317410267434485	0.32825854573211	0.966952030834625	0.338316536862365	-0.0216533694153529	0.70507475612583
del49_17p11.2 	0.540812445472738	0.569615706474108	0.949433871513726	0.34705944977197	-0.0223406942969797	0.70507475612583
del39_14q11.2 	0.341165688123553	0.360529062358007	0.946291779897548	0.348643139854388	-0.0224627417939789	0.70507475612583
del13_4q13.2  	-0.495025767514139	0.527662709748573	-0.938148097958285	0.352769746077685	-0.0227773159754052	0.70507475612583
del61_21q22.3 	-0.500154700749299	0.537031896819695	-0.931331460405269	0.356248297831998	-0.0230386858168925	0.70507475612583
del36_12q24.33	-0.394241874871529	0.448038686220942	-0.87992820039008	0.3831934758358	-0.024952318164424	0.714841743126618
amp18_11q14.1 	0.449439867533822	0.514105575605972	0.874217065247873	0.386264759622642	-0.025158653754199	0.714841743126618
amp25_15q26.3 	-0.324208906938973	0.372189464941917	-0.871085663291325	0.387955294671368	-0.0252712518005689	0.714841743126618
del16_5q13.2  	-0.392790864193681	0.45412033385124	-0.86494885807591	0.391281796237728	-0.0254908165711687	0.714841743126618
del34_11q11   	0.285019647807455	0.339776368750008	0.838844822716789	0.405630156975168	-0.0264084475196775	0.725736607850905
amp22_14q11.2 	0.232179335010884	0.280916853933545	0.826505536281599	0.412523966567883	-0.0268329762558259	0.725736607850905
del11_4p16.3  	-0.347567782824138	0.451487510639477	-0.769828122890601	0.44509739438315	-0.0287063149908748	0.768804590298168
amp14_8p11.1  	-0.224845296779835	0.303068853742336	-0.741895097445398	0.461692312935826	-0.0295829815268984	0.783228030873276
del44_16p13.11	0.333576936523375	0.464774504560033	0.717717803473636	0.476339271761351	-0.0303167666691764	0.787157769699645
del40_14q32.33	-0.279912800016463	0.393801954514919	-0.71079586276116	0.480580533079783	-0.0305225603110206	0.787157769699645
del57_19q13.42	-0.230497126821978	0.343682859814101	-0.670668089024439	0.505581025500851	-0.0316778146947043	0.814071142755608
del10_3q29    	0.168972499377607	0.262492974118965	0.643721988920843	0.522757393474591	-0.0324172683316544	0.827699206334769
del4_1q31.3  	0.244600419871892	0.401284938696227	0.609542986254599	0.544980821869852	-0.0333130060276612	0.84874062422354
amp2_1p34.2  	0.199544575845539	0.351337338075369	0.567957214393003	0.572657522961591	-0.0343388750289206	0.865757375703137
amp12_6p21.33 	-0.115756925770403	0.204601647113307	-0.565767321053371	0.574133838624186	-0.0343909428581817	0.865757375703137
amp10_5p15.33 	0.173669457150656	0.317609859521464	0.54680121521517	0.586996940496323	-0.0348336857700893	0.87132358354923
amp6_2q14.1  	0.235877276809641	0.452125280344405	0.521707781148541	0.604224159236493	-0.0353968137035283	0.883096848114874
del32_11p15.5 	-0.286693334984848	0.613127958943581	-0.467591358056516	0.642149807495463	-0.0365230613978098	0.906420388504423
amp15_8q24.3  	0.0895986903526299	0.195059167094577	0.459341089615064	0.648020647145127	-0.0366841381982186	0.906420388504423
del20_6q27    	0.206129975240498	0.449830110925784	0.458239611430784	0.648806172824219	-0.0367054300485452	0.906420388504423
del19_6p22.1  	0.135575374297568	0.315975974693053	0.429068616464495	0.669753928789075	-0.0372510074796473	0.921665420854116
del5_1q44    	-0.159102200195276	0.389243615385523	-0.408747103116117	0.684506246432799	-0.0376101890554348	0.921665420854116
del56_19q13.42	-0.123977624231071	0.307764663855684	-0.402832549643211	0.68882363032255	-0.0377114997696488	0.921665420854116
del21_7p22.1  	-0.156768046902032	0.423087368846768	-0.370533507841048	0.712582022560747	-0.0382390212271062	0.940212390878763
