HR	lower_CI	upper_CI	z_scores	p_values	FDR
del38_13q14.2 	1.31167640436425	3.71239196869588	0.410250118660201	3.1972602680724	0.00138739681711694	0.131802697626109
amp4_2p25.1  	0.901746904256874	2.46390355744238	0.334254213234196	2.69778769736871	0.00698019407402782	0.207916196194814
amp16_9p24.2  	-1.02534998695036	0.358670913297304	0.386929172959354	-2.64996815595002	0.00804993578568976	0.207916196194814
del27_9p24.3  	-1.01187972580061	0.363534990815607	0.385992589876515	-2.62150039233738	0.00875436615557112	0.207916196194814
amp31_20p13   	0.782482029683698	2.18689346942677	0.316311044392471	2.47377397519137	0.0133694249925582	0.212885526727697
amp2_1p34.2  	0.626398271904023	1.87086010047977	0.26136666246206	2.3966265093007	0.0165467803573189	0.212885526727697
del18_6p25.3  	0.512652059055485	1.66971350706392	0.216021649376891	2.37315130466885	0.0176370373840774	0.212885526727697
del19_6p22.1  	0.715114601209888	2.04442096194969	0.30210345043393	2.36711828409349	0.0179272022507535	0.212885526727697
amp8_3q26.2  	0.561936725930218	1.75406635854855	0.256816457560162	2.18808689781331	0.0286632731143716	0.302556771762811
amp14_8p11.1  	0.54057829156437	1.71699950146746	0.260669548390354	2.07380683667296	0.0380972539851045	0.361923912858493
del7_2q37.3  	0.84438052881944	2.3265361459873	0.432820026278032	1.95088137690984	0.0510711584840219	0.441069095998371
del56_19q13.42	0.581393229492282	1.7885285264007	0.30957814203012	1.87801769750177	0.0603787441043927	0.470578155096582
del55_19p12   	0.677126402342436	1.96821374371242	0.366125923724108	1.84943583195349	0.0643949054342691	0.470578155096582
del59_21p11.2 	0.944295024624147	2.57100024769117	0.545922083706081	1.72972490545472	0.083679436758835	0.522813617204386
del58_20p13   	0.703497418331977	2.02080797352244	0.407277846326935	1.72731570026831	0.0841109810212627	0.522813617204386
del1_1p36.21 	-0.487975839037179	0.613867704498431	0.290443428177033	-1.68010631915467	0.0929366316375104	0.522813617204386
del24_8p23.1  	-0.608846630545725	0.543977914908088	0.363072124547275	-1.67693025540012	0.0935561209734164	0.522813617204386
amp12_6p21.33 	0.223668341260621	1.25065615959093	0.15178949128323	1.47354299279698	0.140604680034229	0.700065080837795
del48_17p11.2 	0.543125203862103	1.72137812222756	0.378233938956523	1.43595047382708	0.151016434535405	0.700065080837795
del9_3p12.1  	-0.733319067577562	0.480312153056794	0.529556043157215	-1.38478085002205	0.166119488246144	0.700065080837795
del6_2p25.3  	0.48876462580223	1.6303009436811	0.353964091184514	1.38083110116231	0.167330898347712	0.700065080837795
amp22_14q11.2 	0.32332495433049	1.38171427199844	0.234460414654382	1.37901724181075	0.167889437938929	0.700065080837795
del39_14q11.2 	0.363863359409993	1.43887759164197	0.26628709045982	1.36643259266411	0.171803224688458	0.700065080837795
del35_12p13.31	0.368586664537468	1.44568992524847	0.278699340853299	1.32252434974894	0.185993606552075	0.700065080837795
amp21_13q33.1 	0.335293093889986	1.39835017305816	0.267831217630391	1.25188205040643	0.210612846239074	0.700065080837795
amp29_19q12   	0.216414683987064	1.24161715101003	0.173133769888526	1.24998539641575	0.211304882045013	0.700065080837795
del2_1p36.11 	-0.358200261172413	0.698933091829988	0.288043343750822	-1.24356375157997	0.213660164057142	0.700065080837795
del23_8p23.1  	-0.580186388147155	0.559794017871245	0.46897011257848	-1.23715002851075	0.216031389503109	0.700065080837795
del3_1p11.2  	-0.564018431756449	0.568918304918847	0.458349252072817	-1.23054293032171	0.218493861160783	0.700065080837795
del33_11p14.2 	0.37645015661593	1.45710291067419	0.319196112210179	1.17936949171878	0.238251077890417	0.700065080837795
del21_7p22.1  	0.57670063900139	1.78015535574058	0.490425059238439	1.17592000681394	0.239626843218294	0.700065080837795
amp27_17q25.3 	-0.528141009926061	0.589700198168493	0.451097046823527	-1.17079243512023	0.241682219306551	0.700065080837795
del12_4p16.1  	0.354564211390185	1.42555927640134	0.303806119200352	1.16707396257663	0.243180501764708	0.700065080837795
del34_11q11   	0.591835367637928	1.80730243764898	0.518281968252532	1.14191772797613	0.253488218967233	0.70749590744833
del8_3p26.3  	-0.535650965946058	0.585288163444967	0.484179468908577	-1.10630664937839	0.268593814713507	0.70749590744833
del51_17q21.31	-0.376677501662594	0.686137316362698	0.344598604049535	-1.09309061974159	0.274354014081651	0.70749590744833
amp24_15q13.2 	-0.296927154611348	0.743098141663317	0.272318275438567	-1.09036807806288	0.275551037637771	0.70749590744833
del36_12q24.33	-0.503429977874087	0.604453836734403	0.48601368339891	-1.03583498792334	0.300279131688156	0.75069782922039
amp28_19p13.11	0.207632261836743	1.23076048871843	0.203929088688012	1.0181591217445	0.308602342545785	0.751408690586398
amp20_12q13.2 	0.374279780710046	1.45394387900763	0.373562829547469	1.00191922510986	0.316382606562694	0.751408690586398
del5_1q44    	0.376743190002492	1.45752995304045	0.388914652052951	0.968704028027203	0.332692882252171	0.770873751559909
amp10_5p15.33 	0.241500655177494	1.27315828906191	0.277689726140398	0.869678034308671	0.384476379513612	0.780918533388326
amp30_19q13.2 	-0.217899282564061	0.804206435197879	0.250880710256146	-0.868537411033272	0.385100201245876	0.780918533388326
amp1_1p36.33 	-0.328419956113267	0.720060562365254	0.378544555089749	-0.867585999316254	0.385621013685149	0.780918533388326
amp25_15q26.3 	0.364747120010601	1.44014977703743	0.423850165088861	0.860556748713619	0.389482215771143	0.780918533388326
amp15_8q24.3  	-0.178853180542606	0.83622866502348	0.20950601315066	-0.8536899626551	0.393276797076347	0.780918533388326
del4_1q31.3  	0.332653648490816	1.39466417076828	0.402563979084533	0.826337342072433	0.408612756241529	0.780918533388326
del30_10q11.22	0.363237003257115	1.43797662400198	0.442370045607088	0.821115730742178	0.411580350518926	0.780918533388326
del41_15q11.2 	0.267607381006721	1.30683395144734	0.327364292807849	0.817460507715779	0.413665309254686	0.780918533388326
amp23_14q32.33	-0.24814808830197	0.78024438965539	0.309947181551441	-0.800614114507719	0.423355077006845	0.780918533388326
