HR	lower_CI	upper_CI	z_scores	p_values	FDR
del27_9p24.3  	-0.713759105570311	0.489799524352394	0.240674502944023	-2.96566149234479	0.00302032726854823	0.155709346786308
amp16_9p24.2  	-0.735155424818775	0.479430937717208	0.250020485846714	-2.94038075451743	0.0032780915112907	0.155709346786308
del12_4p16.1  	0.624950498204888	1.86815347819258	0.226226315876682	2.76250132873823	0.00573603282978531	0.181641039609868
amp14_8p11.1  	0.558581727745918	1.74819132996637	0.212914244408949	2.62350567148076	0.00870299960931012	0.191904910814858
del60_21q11.2 	-0.943975531364041	0.389077964967848	0.366966121909949	-2.57237787088064	0.0101002584639399	0.191904910814858
del38_13q14.2 	0.828882071242752	2.29075640581545	0.35315278546518	2.34709198215988	0.0189205832323082	0.297821543002302
del2_1p36.11 	-0.475530346081765	0.621555329604418	0.207535283093027	-2.29132289697752	0.0219447452738538	0.297821543002302
del48_17p11.2 	0.552748973022703	1.73802423862899	0.258239497949222	2.14045092796529	0.0323183425306732	0.374956403559736
amp12_6p21.33 	0.273856361292897	1.31502590005213	0.132913266517077	2.06041404646172	0.0393589752060416	0.374956403559736
del7_2q37.3  	0.719597142073434	2.05360573262961	0.352510762794599	2.04134800415365	0.0412162487580721	0.374956403559736
amp20_12q13.2 	0.457133226759805	1.57953930713602	0.229086176088265	1.99546404137313	0.0459922922393357	0.374956403559736
del50_17q12   	0.802597980041994	2.23133035656031	0.404731022905963	1.98304042590892	0.0473629141338613	0.374956403559736
del49_17p11.2 	0.723886932373965	2.06243419316609	0.376108080370125	1.92467795869101	0.0542696596323837	0.379217338196739
del5_1q44    	0.53247205154963	1.70313735226569	0.278499180565774	1.91193399732059	0.0558846603658352	0.379217338196739
del56_19q13.42	0.435085073466072	1.54509449990471	0.248632116061049	1.7499150164464	0.0801329791244159	0.503892524557047
del16_5q13.2  	0.691350734678541	1.99641033352336	0.401620217360976	1.72140421421354	0.0851775000884269	0.503892524557047
amp13_7q34    	-0.275091781243801	0.759502411949885	0.164025731971593	-1.67712576519057	0.0935178914671128	0.503892524557047
del21_7p22.1  	0.579164907672641	1.78454754635989	0.347582938619771	1.66626391379412	0.095660860849907	0.503892524557047
del62_22q11.21	-0.338737737057045	0.712669331338167	0.206410074388088	-1.6410911049824	0.100778504911409	0.503892524557047
del18_6p25.3  	0.37761184311252	1.45879659102198	0.238163917427093	1.58551239495847	0.112849962986167	0.536037324184291
del4_1q31.3  	0.42665839139153	1.53212918379835	0.295956022975076	1.44162766853865	0.149407438650123	0.592786698976594
del30_10q11.22	0.517275692945642	1.67745152612033	0.36287637761137	1.42548736941931	0.154016368599503	0.592786698976594
del34_11q11   	0.54606131323064	1.7264397037012	0.385234851927609	1.41747640562192	0.156343687867072	0.592786698976594
amp29_19q12   	0.16762186865418	1.18248938979465	0.118553046218741	1.41389760955533	0.157391967925071	0.592786698976594
amp22_14q11.2 	0.232440047162028	1.26167480310645	0.164510551908792	1.41291877308209	0.157679608565187	0.592786698976594
amp1_1p36.33 	-0.385550676909835	0.680076030903658	0.279207981591971	-1.38087269107253	0.167318108006888	0.592786698976594
del35_12p13.31	0.295826705227019	1.34423718736822	0.214816027979504	1.37711654018314	0.168476219709137	0.592786698976594
amp24_15q13.2 	-0.258637024694208	0.772103226591918	0.191659440677561	-1.34946143941496	0.177188797959237	0.601176278790267
amp27_17q25.3 	-0.403627991599489	0.66789253669404	0.311058405002584	-1.29759551617368	0.194426363741404	0.636913950187359
del29_9q34.13 	0.492644409430084	1.63663844470751	0.385497949866763	1.27794300747994	0.201269522314235	0.637353487328411
del39_14q11.2 	0.239911476566848	1.27113661996309	0.191915011604986	1.25009229116819	0.211265835483441	0.645770338735012
del51_17q21.31	0.3307830399969	1.3920577386913	0.268243991688971	1.23314240111832	0.217522640416004	0.645770338735012
del8_3p26.3  	0.397872204339229	1.48865377425787	0.376949620078258	1.05550498832345	0.291194429288187	0.717145386048667
del25_8p23.1  	0.306338087345307	1.3584415008004	0.290366122150667	1.05500629714079	0.291422444750656	0.717145386048667
