estimate	std_error	t_value	p_values	r_sq	FDR
amp18_11q14.1 	-7.86245767612145e-17	7.24966750322891e-18	-10.8452665899776	6.20476426708269e-19	1	4.77766848565367e-17
del63_22q13.33	5.65044049934713e-17	9.53317521792478e-18	5.92713379349502	3.81529964120144e-08	1	1.46889036186255e-06
del53_18q23   	1.42699327832192e-16	2.78307059003802e-17	5.1274059789566	1.31552698242639e-06	1	3.37651925489439e-05
del45_16q22.1 	4.94560253221759e-17	1.02302421364523e-17	4.83429665324875	4.49550954547853e-06	1	8.65385587504617e-05
amp31_20p13   	-3.65219779194633e-17	8.65637792785459e-18	-4.21908311118702	5.15473242773134e-05	1	0.000793828793870626
del37_13q11   	-4.26146120082046e-17	1.21511630615329e-17	-3.50703976174183	0.000663590774985827	1	0.00851608161231812
del61_21q22.3 	-1.9741993010511e-16	5.77851049912779e-17	-3.41645014117234	0.000897887386483748	1	0.00987676125132123
del31_10q23.31	5.30181997445634e-17	1.7297441689577e-17	3.06508908635378	0.00275456330942394	1	0.0265126718532054
del52_17q21.31	3.58317259105779e-17	1.40143537018989e-17	2.55678761024298	0.0119665893093229	1	0.0902864295813855
amp19_12p13.33	8.87711400281376e-17	3.51666187749526e-17	2.52430125842422	0.0130607985107996	1	0.0902864295813855
del38_13q14.2 	-4.00081449113191e-17	1.59154848106033e-17	-2.51378738300605	0.0134336821440952	1	0.0902864295813855
del29_9q34.13 	-4.93466830382845e-17	1.97669901332811e-17	-2.49641866088661	0.0140706124022938	1	0.0902864295813855
del8_3p26.3  	9.48323056453617e-17	4.17025127126864e-17	2.27401898534791	0.0249602778226162	1	0.138986698755916
amp6_2q14.1  	6.60444812945982e-17	2.91064784706154e-17	2.26906464694015	0.025270308864712	1	0.138986698755916
del44_16p13.11	2.11170519063556e-17	9.90254139634488e-18	2.1324881221047	0.0352539104983544	1	0.180970073891553
del21_7p22.1  	1.28008112219988e-16	6.16368639322989e-17	2.07681092212268	0.0402140034911328	1	0.193529891801076
del34_11q11   	-1.72942180431196e-16	8.63398808155054e-17	-2.00303936949769	0.0477015975007629	1	0.21606017691522
del12_4p16.1  	-1.12640783673558e-16	6.51358295193702e-17	-1.72932139660647	0.0866354762678134	1	0.361916147003353
del58_20p13   	4.58050863294706e-17	2.67139216711391e-17	1.7146522660863	0.0893039843255026	1	0.361916147003353
amp2_1p34.2  	4.15742419079531e-17	2.49920503436068e-17	1.66349864602398	0.099138965519979	1	0.367317901646528
