estimate	std_error	t_value	p_values	r_sq	FDR
del59_21p11.2 	3.41023559355464	1.3211683215381	2.58122718957147	0.0111985029074255	0.22110437880549	0.452904691654025
del49_17p11.2 	2.99225762377295	1.19959174212837	2.49439665070047	0.0141464912502941	0.21807251066899	0.452904691654025
del5_1q44    	-2.32342603612751	0.93299935429379	-2.49027614588884	0.0143022534206534	0.217930637105925	0.452904691654025
del22_7q22.1  	-2.00233775234347	0.912799383566039	-2.19362303304909	0.0304260722510917	0.208211820766508	0.722619215963428
del15_4q35.2  	2.80104123506643	1.35626486923728	2.06526121748008	0.0413149513380354	0.204321540023959	0.784984075422672
amp18_11q14.1 	-1.69430821447805	0.998552833083976	-1.6967637147904	0.0926485962332867	0.194282802633825	0.811152420026739
amp7_2q31.2  	-1.4333468637184	0.848205390819804	-1.68985823390375	0.0939666952680548	0.194111280173813	0.811152420026739
del48_17p11.2 	1.43316045129794	0.910067713395172	1.57478441461381	0.11825843391535	0.191345913785179	0.811152420026739
amp10_5p15.33 	-1.14979522338208	0.751347975706089	-1.53030987047186	0.128891190595811	0.190324591821009	0.811152420026739
amp2_1p34.2  	-1.48073052917045	0.997601869178153	-1.48429005089005	0.140671939530733	0.189295982371837	0.811152420026739
del39_14q11.2 	1.12862291295768	0.764321936650913	1.47663289359854	0.142711159619277	0.189127632751958	0.811152420026739
del41_15q11.2 	1.21807484184125	0.847695635933212	1.43692475247946	0.153657072879943	0.188267488574929	0.811152420026739
del50_17q12   	1.56896643457187	1.11426378096907	1.40807451643752	0.162007845660753	0.187656142664196	0.811152420026739
del11_4p16.3  	-1.64745318434095	1.17208419639087	-1.40557580198919	0.162747144654599	0.187603734709683	0.811152420026739
del16_5q13.2  	1.76146348871772	1.25329927558156	1.40546118795158	0.162781117506173	0.187601332869351	0.811152420026739
del45_16q22.1 	1.64287774205524	1.17441643105298	1.39888858722986	0.164738395809518	0.187463902112823	0.811152420026739
amp5_2q11.2  	-1.10936297085509	0.823490301039472	-1.34714758565434	0.180778757998675	0.18640295006682	0.811152420026739
del3_1p11.2  	1.50449325040432	1.12702629854942	1.33492293155957	0.184734955289922	0.186157728298052	0.811152420026739
del36_12q24.33	1.62982633561503	1.2433965042464	1.3107856826434	0.192736558882842	0.185679684229185	0.811152420026739
amp1_1p36.33 	1.15454199365759	0.885403280221996	1.30397302500179	0.195041063355555	0.185546236088436	0.811152420026739
del33_11p14.2 	-1.18039191624047	0.921801508398051	-1.2805272127313	0.203128647160346	0.185091960356171	0.811152420026739
del21_7p22.1  	-1.3830060597642	1.11132529775457	-1.24446556067658	0.216047285422555	0.184408379713743	0.811152420026739
del23_8p23.1  	1.37422824088795	1.1111490230869	1.23676321747571	0.218882669912069	0.184264759921128	0.811152420026739
del12_4p16.1  	1.0673376393092	0.876590514766235	1.21760117332986	0.226053957437848	0.18391111273536	0.811152420026739
del13_4q13.2  	1.53415677675159	1.26298850324466	1.21470367529893	0.227152964462609	0.183858091854521	0.811152420026739
amp28_19p13.11	0.782835586773775	0.650950826042132	1.20260326195992	0.231784341227257	0.183637959881731	0.811152420026739
amp3_1q21.2  	-1.00136641921313	0.836868800134652	-1.19656321164322	0.234121418230282	0.183528859260981	0.811152420026739
del42_15q11.2 	1.09725608286503	0.944950365678302	1.16117853669214	0.248153211027946	0.182900178690727	0.811152420026739
amp11_5q31.3  	-0.718455302621176	0.639752998723252	-1.12301982805081	0.263942558218846	0.182242324159621	0.811152420026739
