"HR" "lower_CI" "upper_CI" "z_scores" "p_values" "FDR"
"17p" 1.48339797186919 1.19276241391601 1.84485151214747 3.5443046082463 0.00039365016114979 0.0161396566071414
"22q" 0.732780922038899 0.600736479265199 0.893849297051147 -3.06692940428014 0.00216269927948298 0.0443353352294011
"3p" 1.32534660034333 1.09832988402986 1.59928600376121 2.93837184676651 0.00329941032295148 0.0450919410803369
"3q" 0.826831152851815 0.718070546884025 0.952064888739514 -2.64262501585895 0.00822660889046764 0.0843227411272933
"4p" 1.30529107856492 1.04102339123527 1.63664410821688 2.30828982454062 0.0209830220160092 0.172060780531276
"13q" 1.29531745516472 1.02982824570758 1.62924965075276 2.21112542017344 0.0270271530874717 0.184685546097723
"5p" 0.8880694433126 0.793909080703252 0.993397550569572 -2.07580406751496 0.0379120760293471 0.222056445314747
"14q" 1.16183044411724 0.993103011206238 1.35922453727948 1.87351937820133 0.0609966993793131 0.31260808431898
"11p" 1.21630913886108 0.967916245731309 1.52844621402053 1.68016851522926 0.0929245332804219 0.423322873833033
"Xp" 1.27220553347771 0.94002889638657 1.72176294328054 1.55938686802164 0.118904842528347 0.487509854366222
"5q" 1.11569287750748 0.960612868466453 1.29580878810014 1.43371052187862 0.15165488831445 0.565259129172041
"19p" 0.863122308976597 0.686553081082368 1.08510199834602 -1.26054476376932 0.207472910333045 0.708865776971237
"19q" 1.10837391852057 0.934757548644974 1.31423677191744 1.1837641639445 0.236506431608668 0.745904899688877
"7p" 1.08377640243776 0.942527837141083 1.24619267908702 1.12919391900565 0.258816038421249 0.757961255376515
"1p" 1.12620003550951 0.890380401693132 1.42447713086428 0.991421480828727 0.321479815507937 0.864206628611646
"16p" 1.11281696476561 0.894551182529854 1.38433844955407 0.959610331694099 0.337251367263081 0.864206628611646
"1q" 1.06883233917827 0.880640915464501 1.29723994106126 0.673656608246357 0.500529654730082 0.893523460721343
"2p" 0.936303153109946 0.736028027712942 1.1910736568656 -0.535988467472358 0.591966520853334 0.893523460721343
"2q" 1.05563617137183 0.810633663796957 1.37468720591857 0.401841991097318 0.687800316589803 0.893523460721343
"4q" 1.07518748554869 0.821515310831655 1.4071899985774 0.528011219367196 0.597491548949063 0.893523460721343
"6p" 0.966428163475166 0.794702457038828 1.17526174341795 -0.342106588874642 0.732270679101213 0.893523460721343
"7q" 0.942810915192342 0.787754144890587 1.12838812410093 -0.642372817029332 0.520631145005894 0.893523460721343
"9p" 0.956889783540157 0.790594904340537 1.15816336889661 -0.452429126696728 0.650959867915024 0.893523460721343
"9q" 0.926516399969237 0.749542450172007 1.14527554672182 -0.705723577794183 0.480360055455415 0.893523460721343
"10p" 1.06040783415728 0.852951208336896 1.31832250631855 0.528045337024918 0.597467869281101 0.893523460721343
"10q" 1.11104288233419 0.846430818592569 1.45837823868233 0.758686756040126 0.448039961276142 0.893523460721343
"11q" 1.07167297514685 0.846430347496507 1.35685466507314 0.575001256007074 0.56529044754467 0.893523460721343
"12p" 1.02785336963934 0.88978754002092 1.18734248566135 0.373289327059852 0.708933119088536 0.893523460721343
"12q" 1.06864403567696 0.888286888146846 1.28562077210258 0.703935000604506 0.481473253344602 0.893523460721343
"15q" 0.95246343762315 0.749265918561208 1.21076720231844 -0.397808418413665 0.690771411334691 0.893523460721343
"16q" 1.03381474479583 0.812907404762562 1.31475358730363 0.271137640234137 0.786285172755617 0.893523460721343
"17q" 0.971130224087168 0.768344420395644 1.22743640365081 -0.245136889859438 0.806350440163163 0.893523460721343
"18p" 1.05230455555969 0.89456300086147 1.2378612535789 0.615286068483673 0.538365816339757 0.893523460721343
"20p" 1.07616058318491 0.903634448563878 1.28162621803702 0.823331425548562 0.410319547529076 0.893523460721343
"20q" 1.02740888209761 0.845769730316549 1.24805721129081 0.27241277540349 0.785304650670258 0.893523460721343
"21q" 0.94578280812325 0.759573843790345 1.17764076192755 -0.498290792407817 0.618279096731208 0.893523460721343
"Xq" 1.04771764146267 0.786425798661467 1.39582432074388 0.318477623331519 0.750122665717279 0.893523460721343
"8p" 1.01703309442329 0.86904285122356 1.19022475554101 0.210509343603612 0.83327015990371 0.899054646211897
"6q" 1.00430827916549 0.796259611074833 1.26671641456087 0.036298495196669 0.971044349809684 0.971044349809684
"8q" 1.00357710928911 0.871539978084805 1.15561768778792 0.0496121071815977 0.96043149837866 0.971044349809684
"18q" 1.00530264042623 0.823706924664451 1.22693323145201 0.0520281688634335 0.958506248296997 0.971044349809684
