test	cor.val	p_values	FDR
22q	kruskal.test	22.5824238864165	0.000405597917110937	0.0166295146015484
3q	kruskal.test	20.6139398028096	0.000957992719448794	0.0196388507487003
10p	kruskal.test	16.8514268783255	0.00479036182055229	0.0654682782142146
7p	kruskal.test	15.2515467499656	0.00933989189776368	0.0957338919520777
8p	kruskal.test	10.2471413888365	0.0685279103363333	0.40137776054138
10q	kruskal.test	10.4431747399791	0.0636088763069146	0.40137776054138
19p	kruskal.test	10.6569460567516	0.0586223412256717	0.40137776054138
6q	kruskal.test	9.88570298197405	0.0785393417134251	0.402514126281304
2p	kruskal.test	8.3493438643002	0.138004582613405	0.404156277653542
2q	kruskal.test	8.58113532494329	0.126983540853069	0.404156277653542
4p	kruskal.test	8.44558960321297	0.13332809514841	0.404156277653542
4q	kruskal.test	8.37154387633606	0.136913043179956	0.404156277653542
20q	kruskal.test	9.33387846223105	0.0964653239837814	0.404156277653542
21q	kruskal.test	9.1959193266004	0.101500172624235	0.404156277653542
5p	kruskal.test	7.86991818580943	0.163551906827571	0.419101761245651
9p	kruskal.test	7.9590489344596	0.158507008904056	0.419101761245651
Xq	kruskal.test	7.35309058436431	0.195676759367854	0.471926302004825
5q	kruskal.test	7.10124829752786	0.213218597357226	0.485664582869237
7q	kruskal.test	6.83474604824127	0.233223421539272	0.487204244838654
18p	kruskal.test	6.77825971023928	0.237660607238368	0.487204244838654
1p	kruskal.test	6.27034255637182	0.280795066385675	0.504738840114643
1q	kruskal.test	6.05414777793088	0.300985711423503	0.504738840114643
11p	kruskal.test	5.991083445178	0.307087505215592	0.504738840114643
17q	kruskal.test	6.48283161988507	0.262028852333686	0.504738840114643
Xp	kruskal.test	5.98411584972783	0.307767585435758	0.504738840114643
8q	kruskal.test	5.48182164222678	0.35994332165853	0.557168762247015
16p	kruskal.test	5.41894248578219	0.366916014162668	0.557168762247015
18q	kruskal.test	4.9944423146857	0.416558832256576	0.588928004224814
20p	kruskal.test	5.10513823042918	0.403184303620734	0.588928004224814
9q	kruskal.test	4.81124149694277	0.439348312634623	0.600442693933985
12p	kruskal.test	4.60172207231346	0.46638979164808	0.616838111534558
11q	kruskal.test	4.12603626199715	0.531416341734966	0.677920026968757
14q	kruskal.test	4.0262490896684	0.545642948535829	0.677920026968757
16q	kruskal.test	3.29847716491046	0.654074835770827	0.788737301958938
12q	kruskal.test	3.15399803625744	0.676257610867128	0.792187487015779
15q	kruskal.test	2.90187293293474	0.715110986318797	0.814431956640852
3p	kruskal.test	2.57649262145672	0.764933628124077	0.825323125081241
17p	kruskal.test	2.70384402578541	0.745530448262921	0.825323125081241
6p	kruskal.test	2.37206433604428	0.795626896169076	0.834761661533107
19q	kruskal.test	2.24437072000035	0.814401621007909	0.834761661533107
13q	kruskal.test	1.48733377738432	0.914526848593894	0.914526848593894
