test	cor.val	p_values	FDR
22q	cor.test	0.114188402195664	0.000395395593474528	0.0162112193324556
17q	cor.test	-0.0958816008932554	0.00295661857888382	0.0606106808671182
2p	cor.test	-0.0729051692205263	0.0239601450960172	0.145806438163677
7p	cor.test	-0.0724310794599582	0.0248937821255058	0.145806438163677
7q	cor.test	-0.0785647659275411	0.0149511039824666	0.145806438163677
11q	cor.test	-0.0810041600725268	0.0120947554059874	0.145806438163677
18q	cor.test	0.0743677185742212	0.0212684169089462	0.145806438163677
1q	cor.test	-0.0615670379043553	0.0566615284735794	0.233518063679043
3q	cor.test	0.064199326180407	0.046859846917602	0.233518063679043
10q	cor.test	-0.0614941216871032	0.0569556252875714	0.233518063679043
17p	cor.test	-0.0595184400279484	0.0654195450272791	0.243836486010768
9q	cor.test	-0.0563122997369103	0.0813383999042544	0.256528799698033
10p	cor.test	-0.0571944898989635	0.0766734306709675	0.256528799698033
15q	cor.test	0.052263706877223	0.105774115613549	0.30976705286825
8q	cor.test	-0.0492582171805274	0.127421092268266	0.348284318866594
9p	cor.test	-0.0471253308712878	0.144765809996731	0.370962388116624
20q	cor.test	-0.0368208717992844	0.254637350579137	0.580007298541368
Xp	cor.test	0.0378816091738446	0.241197883875802	0.580007298541368
14q	cor.test	-0.0330990140024682	0.305861302980389	0.627015671109797
19q	cor.test	0.0338452609939353	0.295079403857275	0.627015671109797
1p	cor.test	-0.024526155487742	0.448066276819277	0.777196855927812
3p	cor.test	-0.0241562421482109	0.454944501030915	0.777196855927812
13q	cor.test	0.0250733302134033	0.438001003417289	0.777196855927812
16q	cor.test	-0.0258477011493888	0.423980766613449	0.777196855927812
2q	cor.test	-0.0186882418332834	0.563245202791169	0.815843866482762
4q	cor.test	0.0161758583373801	0.616857557584528	0.815843866482762
6q	cor.test	0.0174072913971129	0.590299581744179	0.815843866482762
8p	cor.test	0.0181395412683999	0.574760824749302	0.815843866482762
12p	cor.test	-0.0202807117864489	0.530467250240743	0.815843866482762
19p	cor.test	0.0167690513919176	0.603998864674762	0.815843866482762
20p	cor.test	0.0176872149112839	0.584336662121449	0.815843866482762
5q	cor.test	0.0129566001393482	0.688618957656538	0.88229303949744
4p	cor.test	-0.00722497040364541	0.823183732574578	0.888117483742584
5p	cor.test	0.00798824983727237	0.804862384819519	0.888117483742584
6p	cor.test	-0.00693010826568938	0.830287882673151	0.888117483742584
11p	cor.test	-0.00697607570285536	0.829179456130643	0.888117483742584
16p	cor.test	-0.00884696002706304	0.78437799794887	0.888117483742584
21q	cor.test	0.0110102280658897	0.73345943166407	0.888117483742584
Xq	cor.test	0.00632974996782554	0.84479467965758	0.888117483742584
12q	cor.test	-0.00419136861823823	0.896860404240294	0.919281914346301
18p	cor.test	-0.00171386630076128	0.957727638342816	0.957727638342816
