HR	lower_CI	upper_CI	z_scores	p_values	FDR
3p	1.20635570243307	1.00172928509161	1.45278180687279	1.97818261165391	0.0479081096093922	0.657041525883901
6p	0.784749107548799	0.642897792099644	0.95789901500111	-2.38279721763092	0.017181655907888	0.657041525883901
8q	1.12196376344223	0.991857011518343	1.2691372565391	1.82994847565887	0.0672576437673124	0.657041525883901
19q	1.15749335007512	0.992200362814514	1.35032288404695	1.86036480481019	0.0628339305976943	0.657041525883901
22q	0.85048215070138	0.709397100042695	1.01962622714149	-1.74994957400016	0.0801270153516952	0.657041525883901
2p	0.819308357317304	0.647364668973653	1.03692125403479	-1.65828617500618	0.0972597181277602	0.664608073873028
4p	1.185601036274	0.955609581119992	1.47094571359	1.54729781718178	0.121791447865208	0.713349908924791
2q	0.89533485948089	0.680493779422356	1.17800417115074	-0.789741934568847	0.429678495852142	0.895562944806697
4q	1.11477719870188	0.868778615215047	1.43043139066908	0.854154271479484	0.39301951654415	0.895562944806697
5p	0.947973444587979	0.856616291936059	1.04907373360006	-1.03337494505418	0.301428466928136	0.895562944806697
7p	1.07131421117242	0.937981252572153	1.22360029682119	1.0158217120432	0.309714294793392	0.895562944806697
7q	0.929105129010244	0.787202394464145	1.09658754447864	-0.869589829567404	0.384524597773102	0.895562944806697
9q	1.11416191464706	0.920866649916241	1.34803097947234	1.11196683286441	0.266152411139697	0.895562944806697
10p	0.932924981447041	0.753433895210709	1.15517635527209	-0.636835549206763	0.524231967691725	0.895562944806697
10q	0.892650872999212	0.689916870691793	1.15495882897785	-0.86394363980701	0.387618852164887	0.895562944806697
12p	1.04522461093072	0.916778201307651	1.19166717286362	0.661163344799089	0.508507565566516	0.895562944806697
12q	1.06155697418236	0.890162327978936	1.26595248306426	0.6649042099962	0.506111762830272	0.895562944806697
13q	1.07961112920306	0.865268620067203	1.34705011052935	0.678373452426594	0.497534937079718	0.895562944806697
14q	0.93395595484021	0.78477452886054	1.11149596922825	-0.769489871930341	0.44160255473057	0.895562944806697
17p	1.13113256939768	0.914916334459208	1.39844578281409	1.13841448947834	0.254947446558681	0.895562944806697
17q	0.905430896596892	0.721555572565657	1.1361635051854	-0.857753085575392	0.391028820145515	0.895562944806697
18p	1.07148826761789	0.916212013645316	1.25308017199525	0.864436244266115	0.387348289683972	0.895562944806697
20p	1.08942083383743	0.926027026451137	1.28164483249201	1.03301835191561	0.301595310462702	0.895562944806697
Xp	1.12249683022884	0.843712313903207	1.49339900948552	0.793293415794527	0.427606892032999	0.895562944806697
1p	0.996284428100501	0.793703307234811	1.250571407008	-0.0320950707369972	0.974396234368892	0.974396234368892
1q	1.00784051417213	0.83743426729045	1.21292206646046	0.0826422283442446	0.934136022736227	0.974396234368892
3q	1.01465946068042	0.902279509184323	1.14103646449757	0.242992723764636	0.808011034150468	0.974396234368892
5q	1.03660001797101	0.895318585404424	1.20017568581147	0.480837285398953	0.630632148333598	0.974396234368892
6q	0.96776546802118	0.774690966625416	1.20895949668032	-0.288592499109046	0.772893236231848	0.974396234368892
8p	0.984136006501108	0.848514842984853	1.1414339858628	-0.211376167138575	0.832593752464461	0.974396234368892
9p	0.963891267005808	0.804191401691584	1.15530503392074	-0.397928112746191	0.690683176632669	0.974396234368892
11p	0.989538384504903	0.783487979529271	1.24977822250302	-0.0882822839563405	0.929652319327102	0.974396234368892
11q	1.01429198771106	0.809935023290557	1.27021082772189	0.123619894033371	0.901616240149077	0.974396234368892
15q	1.01270312286685	0.805293960915971	1.27353198315029	0.107958028381577	0.914028986055783	0.974396234368892
16p	0.976357724912873	0.786211429288651	1.21249115884711	-0.216499782855237	0.828598194402722	0.974396234368892
16q	1.00576211935221	0.801314657216883	1.26237231730813	0.0495545618938802	0.960477356469389	0.974396234368892
18q	1.03205351284718	0.850167272688992	1.25285280626165	0.318961302188214	0.749755857641168	0.974396234368892
19p	0.98486327320304	0.807711032328789	1.20086965273661	-0.150753893778313	0.880169857918789	0.974396234368892
20q	1.03913763197797	0.869360861366906	1.24206996907474	0.421806658509687	0.673166145189504	0.974396234368892
21q	0.957275889412357	0.778895592635038	1.17650829856422	-0.415000478172525	0.678141553076587	0.974396234368892
Xq	0.989386826855134	0.760523365962992	1.2871219175692	-0.0794918823470608	0.936641388130796	0.974396234368892
