HR	lower_CI	upper_CI	z_scores	p_values	FDR
1p	1.04228721379436	0.754929057630086	1.4390261244541	0.251673021334979	0.801293811752924	0.960504042107385
1q	1.21481274931552	0.973101534669682	1.51656323962172	1.71907867343429	0.0856000475013857	0.960504042107385
2p	1.23081830489191	0.881574487639427	1.71841826288945	1.21969826733174	0.222579278675134	0.960504042107385
3q	0.852021121389305	0.582935251532367	1.24531839408443	-0.827002080669414	0.40823588216701	0.960504042107385
4p	0.928957296094484	0.646880820864546	1.33403500325429	-0.399100264557145	0.689819327349163	0.960504042107385
4q	1.06314863859536	0.705822843416387	1.60137212657535	0.292994728313669	0.769526181163684	0.960504042107385
5p	1.04902796049383	0.818126465117073	1.34509725429842	0.377356406549915	0.705908758782852	0.960504042107385
5q	0.947362954503754	0.712391115711555	1.2598368336888	-0.371791545371173	0.710048059006056	0.960504042107385
6p	1.1507986758918	0.931141052323024	1.42227387475865	1.29975531613878	0.193684844767218	0.960504042107385
7p	0.875437048983788	0.696171892106727	1.10086321413268	-1.13796452211511	0.255135296982522	0.960504042107385
7q	0.943322042322089	0.752793239939985	1.18207288312214	-0.506872383039712	0.61224436433	0.960504042107385
8p	1.04564144490975	0.825395432413158	1.32465723503744	0.369833513446346	0.711506542790625	0.960504042107385
8q	1.10818202138535	0.91970506492366	1.33528392890134	1.07995832457854	0.280160738951989	0.960504042107385
9p	0.935842598062881	0.686270583255683	1.27617500985437	-0.418992904865466	0.675221317709864	0.960504042107385
9q	1.27577327224088	0.947719779487266	1.71738258227002	1.60590704792306	0.108294334745793	0.960504042107385
10p	0.860880357587541	0.628184733322688	1.17977236753278	-0.931711511451505	0.351485635756189	0.960504042107385
10q	0.956648559301297	0.675759786620194	1.35429258167387	-0.249897592909808	0.802666544761214	0.960504042107385
11p	0.811308917543043	0.571328862222147	1.15208980887952	-1.16869061281003	0.242528305394203	0.960504042107385
12p	1.19437911440969	0.86553051791443	1.64817004069996	1.08105344256775	0.27967334167096	0.960504042107385
12q	1.36204736021748	0.874492928210771	2.12142711693634	1.36675062563734	0.171703483630748	0.960504042107385
13q	1.32672570603514	0.998319866212099	1.76316344953961	1.94837529819196	0.0513700732890523	0.960504042107385
14q	0.8883916131503	0.626361097854926	1.26003939423867	-0.663681933741177	0.506893904706923	0.960504042107385
15q	0.926061354418912	0.650273996868179	1.3188127409038	-0.425839719650392	0.670224642059394	0.960504042107385
16p	1.06937172446944	0.692381610930711	1.65162659874451	0.302416766116412	0.762334375233163	0.960504042107385
16q	0.921074449844385	0.619968885653697	1.36842051559024	-0.407044335573596	0.683975425656315	0.960504042107385
17q	0.889995754499399	0.652462835454531	1.21400392479849	-0.735713406459875	0.461905129108043	0.960504042107385
18p	1.03497707459994	0.769779500405299	1.39153815395639	0.227618965038763	0.819942474969719	0.960504042107385
18q	1.15982138612846	0.813162534758579	1.65426417256215	0.818372292852972	0.413144637723739	0.960504042107385
19p	0.928704986710144	0.581490441910562	1.48324527829977	-0.309628633475554	0.756843379285667	0.960504042107385
19q	0.92900442561473	0.587102303065206	1.47001505241225	-0.314514480438902	0.753130320259872	0.960504042107385
20p	1.06468682430616	0.812681119869938	1.39483741671339	0.454843360799133	0.649221932911958	0.960504042107385
20q	0.957612765935968	0.725785771920108	1.26348882130536	-0.30625197962659	0.759412798366457	0.960504042107385
21q	1.05193045775622	0.711465027865789	1.55532267169139	0.253741421353718	0.79969533142762	0.960504042107385
22q	0.808583347839712	0.614115525498512	1.06463198414165	-1.51376029953365	0.130086645108104	0.960504042107385
Xq	0.89726594089065	0.469602205834283	1.71440031303108	-0.32814979243319	0.742798407541782	0.960504042107385
6q	0.972702437757923	0.733274361405797	1.29030835144201	-0.191981794384005	0.847756466139433	0.96550041976991
2q	1.00560088378662	0.701603465918242	1.44131719211072	0.0304104156966394	0.975739738173942	0.994322387598292
3p	0.998597869374445	0.678500795298214	1.46970749574567	-0.00711589194208927	0.994322387598292	0.994322387598292
11q	0.987265514550586	0.712107975622654	1.36874354674736	-0.0768860981330968	0.938714156890889	0.994322387598292
17p	0.979705081197499	0.698951411221864	1.37323143027395	-0.119011020590784	0.905266624668463	0.994322387598292
Xp	1.01926600604696	0.563371547638184	1.84408175286507	0.0630825050597599	0.949700805489232	0.994322387598292
