test	cor.val	p_values	FDR
1p	wilcox.test	NA	0.0867397034441175	0.363055015057616
1q	wilcox.test	NA	0.0393367531234431	0.363055015057616
4q	wilcox.test	NA	0.0841371258943805	0.363055015057616
7p	wilcox.test	NA	0.0885500036725893	0.363055015057616
9q	wilcox.test	NA	0.00968543030389062	0.363055015057616
10p	wilcox.test	NA	0.0412638772540981	0.363055015057616
10q	wilcox.test	NA	0.0454621156418517	0.363055015057616
12q	wilcox.test	NA	0.0615318725346272	0.363055015057616
17p	wilcox.test	NA	0.0776777244359725	0.363055015057616
Xp	wilcox.test	NA	0.0442824042843907	0.363055015057616
8p	wilcox.test	NA	0.107009961999709	0.365617370165672
8q	wilcox.test	NA	0.0989074412271411	0.365617370165672
Xq	wilcox.test	NA	0.141173794866665	0.445240429964098
4p	wilcox.test	NA	0.161380599078921	0.448082249233691
9p	wilcox.test	NA	0.174861365554611	0.448082249233691
12p	wilcox.test	NA	0.173734346243428	0.448082249233691
11p	wilcox.test	NA	0.238248520605774	0.542677185824263
17q	wilcox.test	NA	0.237149658708013	0.542677185824263
3p	wilcox.test	NA	0.268913651204664	0.556463426320961
5p	wilcox.test	NA	0.271445573815103	0.556463426320961
19q	wilcox.test	NA	0.316456744403602	0.61784412002608
11q	wilcox.test	NA	0.413177513856662	0.770012639460142
14q	wilcox.test	NA	0.453668861673897	0.796365066641552
16p	wilcox.test	NA	0.482499230403582	0.796365066641552
18q	wilcox.test	NA	0.485588455269239	0.796365066641552
2p	wilcox.test	NA	0.538927442428351	0.796628416455156
7q	wilcox.test	NA	0.544038918554741	0.796628416455156
19p	wilcox.test	NA	0.529127707922073	0.796628416455156
3q	wilcox.test	NA	0.597589656499694	0.816705863882915
5q	wilcox.test	NA	0.588646728021305	0.816705863882915
6p	wilcox.test	NA	0.638778917123194	0.821301173839592
15q	wilcox.test	NA	0.641015550313828	0.821301173839592
16q	wilcox.test	NA	0.713679516195934	0.886692732243434
2q	wilcox.test	NA	0.737693763737916	0.88957189156631
6q	wilcox.test	NA	0.823400593301877	0.907046617409127
18p	wilcox.test	NA	0.845077247274626	0.907046617409127
20p	wilcox.test	NA	0.836072772669218	0.907046617409127
20q	wilcox.test	NA	0.862800440950145	0.907046617409127
22q	wilcox.test	NA	0.854080709702079	0.907046617409127
21q	wilcox.test	NA	0.934936330752302	0.958309739021109
13q	wilcox.test	NA	0.969887554107002	0.969887554107002
