test	cor.val	p_values	FDR
12q	cor.test	0.212145259828236	3.85624362148879e-07	1.06153888750319e-05
17p	cor.test	0.209843796985537	5.17823847562534e-07	1.06153888750319e-05
20p	cor.test	0.20348305444379	1.14968097044382e-06	1.57123065960655e-05
6q	cor.test	0.197435028344185	2.39836543997747e-06	2.45832457597691e-05
12p	cor.test	0.18869599215381	6.672035548892e-06	4.67216559814852e-05
20q	cor.test	0.188482039995261	6.83731550948564e-06	4.67216559814852e-05
9q	cor.test	-0.178860710360276	1.99751220715964e-05	0.000116997143562207
17q	cor.test	0.170014778505486	5.0995493393599e-05	0.000261351903642195
7p	cor.test	0.139021229640601	0.0009516843337562	0.00433545085377825
11q	cor.test	-0.13313222319592	0.00156061886440316	0.00639853734405297
10p	cor.test	0.130948708728664	0.00186559742403952	0.00695359039869277
1q	cor.test	0.122972482766504	0.00350199189566719	0.0110910940706684
2p	cor.test	0.121948902506602	0.00378720285339897	0.0110910940706684
3q	cor.test	0.122523957794381	0.00362447973805196	0.0110910940706684
Xq	cor.test	0.119308936160644	0.00462249927048874	0.0126348313393359
4q	cor.test	0.114527430907716	0.00656873220411684	0.0168323762730494
7q	cor.test	0.0996859028881451	0.0180867857336124	0.0436210714751828
6p	cor.test	0.0986637195618361	0.0193106993657844	0.0439854818887312
9p	cor.test	-0.0795352115523365	0.0595254251973389	0.128449601741626
13q	cor.test	0.0755043790402661	0.0736928105356942	0.140645298819365
18p	cor.test	0.0768683027766119	0.0686191638441402	0.140645298819365
22q	cor.test	0.0741823465304305	0.0788985822645216	0.140645298819365
Xp	cor.test	0.0750185459354634	0.0755723437597174	0.140645298819365
21q	cor.test	0.0719019933408427	0.0885761218366317	0.151317541470913
2q	cor.test	0.0669962147031535	0.11262705831266	0.184708375632763
19q	cor.test	0.064651320260466	0.125806846172628	0.198387718964529
4p	cor.test	0.0580775811884718	0.169158198348874	0.247695933296566
16p	cor.test	0.058622934654013	0.165183817672382	0.247695933296566
11p	cor.test	-0.0504918271773494	0.232054295160731	0.317895821260932
18q	cor.test	0.0504322123819701	0.232606698483609	0.317895821260932
8q	cor.test	-0.047802019742762	0.257910256135439	0.341107112953322
3p	cor.test	0.0463707652540082	0.272452061230047	0.349079203450998
15q	cor.test	-0.0410284162997032	0.331605531652782	0.411994751447395
8p	cor.test	-0.0397364094735957	0.347070480446362	0.418526167597083
10q	cor.test	0.0357023691874508	0.39824233651364	0.466512451344549
14q	cor.test	-0.0333861782697543	0.429569365115897	0.48923177693755
16q	cor.test	-0.0312974669711402	0.459006310735772	0.508628614599099
5q	cor.test	0.0143106750443027	0.734972438174233	0.792996578030094
1p	cor.test	-0.00570195253554395	0.892711736630639	0.892711736630639
5p	cor.test	0.0067873321242135	0.872449606789766	0.892711736630639
19p	cor.test	0.00706938600621928	0.867197240319559	0.892711736630639
