test	cor.val	p_values	FDR
1p	wilcox.test	NA	0.575813635607619	0.953472905015818
1q	wilcox.test	NA	0.0470935879986942	0.953472905015818
2p	wilcox.test	NA	0.2403210421209	0.953472905015818
2q	wilcox.test	NA	0.226889102542971	0.953472905015818
3p	wilcox.test	NA	0.484820301608885	0.953472905015818
3q	wilcox.test	NA	0.838622110611322	0.953472905015818
4p	wilcox.test	NA	0.720698481297107	0.953472905015818
4q	wilcox.test	NA	0.915565202675371	0.953472905015818
5p	wilcox.test	NA	0.661334441234781	0.953472905015818
5q	wilcox.test	NA	0.753935094251985	0.953472905015818
6p	wilcox.test	NA	0.830541077998508	0.953472905015818
6q	wilcox.test	NA	0.323210225864869	0.953472905015818
7p	wilcox.test	NA	0.352136381632661	0.953472905015818
7q	wilcox.test	NA	0.296352437305665	0.953472905015818
8p	wilcox.test	NA	0.813984265796826	0.953472905015818
8q	wilcox.test	NA	0.271188636976184	0.953472905015818
9p	wilcox.test	NA	0.605036005246913	0.953472905015818
9q	wilcox.test	NA	0.710611993088935	0.953472905015818
10p	wilcox.test	NA	0.0433485181579074	0.953472905015818
10q	wilcox.test	NA	0.210142596746034	0.953472905015818
11p	wilcox.test	NA	0.879797553762979	0.953472905015818
11q	wilcox.test	NA	0.567589959482444	0.953472905015818
12p	wilcox.test	NA	0.831980025341474	0.953472905015818
12q	wilcox.test	NA	0.126690291449011	0.953472905015818
13q	wilcox.test	NA	0.788231210017966	0.953472905015818
14q	wilcox.test	NA	0.930217468308115	0.953472905015818
15q	wilcox.test	NA	0.913062436380946	0.953472905015818
16p	wilcox.test	NA	0.330950966421916	0.953472905015818
16q	wilcox.test	NA	0.13328445952051	0.953472905015818
17p	wilcox.test	NA	0.163231369371799	0.953472905015818
17q	wilcox.test	NA	0.831620590108894	0.953472905015818
18p	wilcox.test	NA	0.221201387409968	0.953472905015818
18q	wilcox.test	NA	0.531761163736255	0.953472905015818
19p	wilcox.test	NA	0.842731472252348	0.953472905015818
19q	wilcox.test	NA	0.707593719531304	0.953472905015818
20p	wilcox.test	NA	0.353110638230803	0.953472905015818
20q	wilcox.test	NA	0.507711810912129	0.953472905015818
21q	wilcox.test	NA	0.76476097764605	0.953472905015818
Xp	wilcox.test	NA	0.502704489332231	0.953472905015818
Xq	wilcox.test	NA	0.477790682040048	0.953472905015818
22q	wilcox.test	NA	0.972921985016319	0.972921985016319
