test	cor.val	p_values	FDR
2q	kruskal.test	8.22266221255539	0.0837540086019491	0.413802024071636
3q	kruskal.test	8.11055585236248	0.0876113174483448	0.413802024071636
8q	kruskal.test	8.58035448498416	0.072488634713231	0.413802024071636
10p	kruskal.test	8.02037737672172	0.0908345906498712	0.413802024071636
12p	kruskal.test	8.86568598697149	0.0645457873900413	0.413802024071636
12q	kruskal.test	10.355690691335	0.0348439490743749	0.413802024071636
16p	kruskal.test	8.49798298043892	0.0749483904857841	0.413802024071636
18p	kruskal.test	12.1635893824091	0.0161753414648421	0.413802024071636
22q	kruskal.test	9.9087907831078	0.0419924380454056	0.413802024071636
6p	kruskal.test	7.35321143291895	0.118358971162633	0.485271781766796
7q	kruskal.test	5.87224575586528	0.208894345190436	0.670918629392473
14q	kruskal.test	6.00520962219323	0.198759553407637	0.670918629392473
15q	kruskal.test	5.8234058799588	0.212730297124443	0.670918629392473
1p	kruskal.test	4.45740378583897	0.347628211800901	0.752456508898591
1q	kruskal.test	4.19559408884727	0.380181763211536	0.752456508898591
2p	kruskal.test	4.15523490277389	0.385404553338303	0.752456508898591
9q	kruskal.test	4.22904675692806	0.375894317172331	0.752456508898591
16q	kruskal.test	4.54187755842659	0.337610725451827	0.752456508898591
17p	kruskal.test	5.0675315227574	0.280438263947715	0.752456508898591
18q	kruskal.test	4.88503133216871	0.299298713143405	0.752456508898591
21q	kruskal.test	5.02499174849863	0.284742785230807	0.752456508898591
5q	kruskal.test	3.76793937634934	0.438321780723817	0.789961589816634
20p	kruskal.test	3.73435316454793	0.443149184531283	0.789961589816634
4p	kruskal.test	2.87582502410958	0.578816158849043	0.798740330505953
4q	kruskal.test	2.29405579270062	0.681851501651423	0.798740330505953
6q	kruskal.test	2.65814245133949	0.616558757237986	0.798740330505953
9p	kruskal.test	3.15371896896769	0.532438393482646	0.798740330505953
10q	kruskal.test	3.16527919018562	0.530557138262686	0.798740330505953
11q	kruskal.test	3.18145413778996	0.52793162012727	0.798740330505953
13q	kruskal.test	2.75468795344257	0.599679406917753	0.798740330505953
17q	kruskal.test	3.18880082668668	0.526741702850429	0.798740330505953
19p	kruskal.test	2.39432107566688	0.663653783608613	0.798740330505953
20q	kruskal.test	2.44083386133871	0.655260805795763	0.798740330505953
Xp	kruskal.test	2.5698598428433	0.632171496446941	0.798740330505953
Xq	kruskal.test	2.50330539827621	0.644044008128814	0.798740330505953
8p	kruskal.test	2.1255058788698	0.712688051006564	0.811672502535254
3p	kruskal.test	1.99135583802368	0.737348882120479	0.817062274782153
7p	kruskal.test	1.37325347624913	0.848830111595416	0.915843015142422
5p	kruskal.test	0.945863689371847	0.917890682214893	0.964961999251554
11p	kruskal.test	0.230786787806334	0.993832863760991	0.993832863760991
19q	kruskal.test	0.374264394850562	0.984529204586606	0.993832863760991
