exp.Coef	lower.95	upper.95	p_val	FDR
1p	1.39952921981601	0.294588323713449	6.64887872142572	0.672459998706248	0.881154481063359
1q	2.82541514189758	1.22711321060043	6.5054883731209	0.0146488307598764	0.278327784437652
2p	0.586050997653578	0.0972328987812458	3.53230003584959	0.559869992424234	0.881154481063359
2q	0.311543002017848	0.0281087107067599	3.45298804768554	0.341993948451119	0.856521866916665
3p	3.67350200951485	0.850843703918897	15.8602772186653	0.0812428423236551	0.617445601659779
3q	1.34359133035755	0.606991056925316	2.97407621152823	0.46629918393749	0.881154481063359
4p	1.13918099484955	0.210593446357258	6.16226839663801	0.879745051009116	0.920351164192361
4q	0.362774864252327	0.0876587212724865	1.50134065638716	0.161748232050382	0.71994874570277
5p	1.08557644407432	0.47810873323733	2.46487071664526	0.84441037198022	0.920351164192361
5q	1.26895790614837	0.428497779147015	3.75790551536085	0.667182678538419	0.881154481063359
6p	2.01114185561456	0.702877056896336	5.75447942669338	0.192698363139105	0.732253779928598
6q	4.01746616343507	1.14187216255585	14.1347121889893	0.0302603722077616	0.38329804796498
7p	0.717289330935682	0.337877015864815	1.52275520415988	0.386980979024283	0.856521866916665
7q	0.558943196794816	0.220501752255202	1.41684813861083	0.220291233818213	0.761006080462919
8p	0.813522882707528	0.413246042311891	1.60151438350441	0.550376071386387	0.881154481063359
8q	1.24776680241672	0.809066788993712	1.92434297686311	0.316619098250988	0.856521866916665
9p	1.21602333620247	0.402176797413483	3.67677291106553	0.728996372502375	0.920351164192361
9q	0.718194940000195	0.201513301141508	2.55965223595674	0.609707347794248	0.881154481063359
10p	2.19659596248696	0.757052591762863	6.37344601275122	0.147654350319691	0.71994874570277
10q	2.56336368430923	0.66709855063198	9.84986906628785	0.170514176613814	0.71994874570277
11p	0.406309827918392	0.115972262558579	1.42351000679741	0.159150077401032	0.71994874570277
11q	0.78273713362377	0.329165569169777	1.86130469811546	0.579409165157322	0.881154481063359
12p	3.74004805448303	1.42549683586583	9.81269063382111	0.00735500708492513	0.278327784437652
12q	0.669560727543769	0.132908657171361	3.37308025985791	0.626807305954638	0.881154481063359
13q	1.47428450204328	0.309082472681572	7.03215156171035	0.62627879624401	0.881154481063359
14q	1.04946111515779	0.407378410547138	2.70355179291171	0.920351164192361	0.920351164192361
15q	3.40051596839615	0.975161564699856	11.8580441127992	0.0547951360914849	0.520553792869106
16p	0.911560578187839	0.336907970832261	2.46637883233654	0.855319510886532	0.920351164192361
16q	0.59019296080375	0.220016206259241	1.58319124261178	0.294924444317194	0.856521866916665
17p	1.75910702353287	0.487308271143351	6.3501026013416	0.388481318868925	0.856521866916665
17q	0.882596891381462	0.268428777524817	2.90198867595038	0.837069730731619	0.920351164192361
18q	1.06211388229922	0.37378309710218	3.01802277234686	0.909955263504055	0.920351164192361
19p	1.48686121106465	0.380105383543057	5.81616666504863	0.568683437193632	0.881154481063359
19q	1.15128351665332	0.381133733119091	3.47766051792501	0.802766383887397	0.920351164192361
20p	0.503152255316189	0.1553116492877	1.63002706616558	0.252094629214817	0.798299659180253
20q	0.816404902605395	0.21825915067033	3.0537870368829	0.763136384471824	0.920351164192361
21q	1.52192589806442	0.565508145530292	4.09588872858261	0.405720884328946	0.856521866916665
22q	1.2770574361662	0.566566999929604	2.87852221444246	0.555337454549789	0.881154481063359
