exp.Coef	lower.95	upper.95	p_val	FDR
1p	0.126323800607763	0.0166528975818256	0.958253812682161	0.0453696241208159	0.403876508454931
1q	0.695536053191303	0.245693135291801	1.96900251492326	0.494072975647123	0.725951602996234
2p	0.0527493259438056	0.00558219274696515	0.498458493580069	0.0102423189870318	0.283985533707899
2q	0.813818028574228	0.145765219724017	4.54360638900284	0.814366686890139	0.874712809454542
3p	0.587926744606767	0.092190654392469	3.74938066446947	0.574190047382627	0.744081242775305
3q	0.629030905458192	0.208823470042522	1.89480559795785	0.409953681470333	0.697560214009716
4p	0.531252061306373	0.0959564142788089	2.94121820582241	0.468813995106712	0.725951602996234
4q	1.03677135962308	0.141194420133482	7.61287061569782	0.971681161719103	0.971681161719103
5p	1.8135797916365	0.553479508394915	5.94253556047732	0.325559857027634	0.697560214009716
5q	3.1329556088048	0.747502326903926	13.130943534846	0.118305127067655	0.589501930311981
6p	0.249731271877562	0.0405758104903052	1.53701694186702	0.134561359218747	0.589501930311981
6q	0.802808252032752	0.145879135578371	4.41804845481576	0.800705565977078	0.874712809454542
7p	0.235482274046875	0.0533220667147364	1.03994283805512	0.0563548616448741	0.403876508454931
7q	0.496638352601842	0.127399227674186	1.93603727257954	0.313332844933133	0.697560214009716
8p	0.616556396887901	0.27309627700855	1.39196987490053	0.244436672913473	0.697560214009716
8q	0.35960788908827	0.134305291658651	0.962864770981584	0.0418236365433061	0.403876508454931
9p	0.7306954583005	0.19805048894689	2.69585728174674	0.637598739007185	0.761576271591915
9q	1.90117965520217	0.200755327682431	18.0044242067254	0.575398445814501	0.744081242775305
10p	0.202483027475131	0.0572532808280518	0.716105275060615	0.013208629474786	0.283985533707899
10q	0.311886522365914	0.0494679118726123	1.96638991118116	0.214904233693285	0.697560214009716
11p	0.738507712887899	0.301971388309561	1.80611032405432	0.506477862555512	0.725951602996234
11q	0.701884682132845	0.297418187181697	1.65639536600283	0.419072389140187	0.697560214009716
12p	3.37248563001746	0.679106212696035	16.7479830283412	0.137093472165577	0.589501930311981
12q	2.07283689884197	0.374081618019443	11.4858699338107	0.404057550856743	0.697560214009716
13q	0.706554086013841	0.220525277394491	2.26377076751078	0.558756968915537	0.744081242775305
14q	0.698405548101999	0.190362452169782	2.56232415615563	0.588343308240939	0.744081242775305
15q	2.76031469634686	0.548441717422376	13.8927017781919	0.218156344035811	0.697560214009716
16p	6.12498645795466	0.603605061454852	62.152326920032	0.125285722621326	0.589501930311981
16q	2.71893870239261	0.279785500827774	26.4224831004343	0.388621636103178	0.697560214009716
17p	0.268070863194309	0.0721610627695152	0.995855450788901	0.049279365706276	0.403876508454931
17q	0.781812704686167	0.241197000700979	2.5341571554883	0.681640528573553	0.7921768305044
18p	0.737047296244794	0.30595060704359	1.77557652900608	0.496420920683305	0.725951602996234
18q	1.16568299153029	0.251269311412022	5.40781056431861	0.844759482948682	0.874712809454542
19p	1.79263658614447	0.439514205153965	7.31158604727685	0.415764177829284	0.697560214009716
19q	1.30127862750201	0.286187918960172	5.91683280183875	0.733241527647808	0.829720676022519
20p	0.445027411197718	0.0887628285198576	2.23121998273225	0.324977789668998	0.697560214009716
20q	0.363357221628118	0.05749785061446	2.29623314781965	0.281817852356888	0.697560214009716
21p	0.666213354281222	0.247325243134744	1.79456099101389	0.421780594517503	0.697560214009716
21q	0.857670828589276	0.166453006803903	4.41926081323132	0.854370651095135	0.874712809454542
22p	1.41933588543995	0.331245694844097	6.08163181304366	0.637143456006174	0.761576271591915
22q	2.86630571622336	0.337503859164601	24.3425615315643	0.334648111401695	0.697560214009716
Xp	2.10954841696027	0.370489607897965	12.0116581643099	0.400275992737408	0.697560214009716
Xq	0.27909105236341	0.0249441747169249	3.12264552318363	0.300297652693588	0.697560214009716
