Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2439	0.23	0.26	1.21	0.422	0.12	0.15	-4.29	1
1q	2242	0.35	0.38	7.04	1.02e-11	0.07	0.10	-6.5	1
2p	1102	0.30	0.32	-0.82	1	0.06	0.09	-10.5	1
2q	1931	0.22	0.24	-1.59	1	0.08	0.10	-8.23	1
3p	1252	0.21	0.26	-2.99	1	0.17	0.22	-4.83	1
3q	1319	0.50	0.52	10.6	0	0.04	0.08	-8.84	1
4p	567	0.08	0.16	-7.33	1	0.52	0.56	9.37	0
4q	1191	0.03	0.09	-7.39	1	0.63	0.65	16.6	0
5p	355	0.34	0.41	1.09	0.47	0.18	0.27	-4.66	1
5q	1707	0.08	0.14	-6.14	1	0.42	0.46	8.64	0
6p	1407	0.31	0.41	4.44	2.28e-05	0.23	0.33	0.855	0.322
6q	1013	0.13	0.23	-4.06	1	0.45	0.52	8.51	0
7p	740	0.27	0.34	-0.861	1	0.19	0.27	-3.95	1
7q	1491	0.35	0.40	4.78	5.04e-06	0.11	0.17	-5.5	1
8p	620	0.14	0.31	-1.88	1	0.56	0.65	13.3	0
8q	1037	0.46	0.53	9.13	0	0.13	0.25	-3.39	1
9p	541	0.15	0.28	-3.59	1	0.45	0.53	7.15	1.18e-12
9q	1321	0.07	0.13	-6.87	1	0.49	0.53	10.8	0
10p	518	0.30	0.36	-0.524	1	0.17	0.24	-5.68	1
10q	1483	0.17	0.22	-3.68	1	0.22	0.27	-1.65	1
11p	977	0.10	0.15	-7.6	1	0.38	0.42	3.69	0.000239
11q	1785	0.19	0.25	-1.64	1	0.24	0.30	0.899	0.315
12p	647	0.41	0.47	5.01	1.85e-06	0.14	0.23	-5.25	1
12q	1708	0.25	0.31	1.21	0.422	0.21	0.28	-0.183	0.903
13q	857	0.11	0.23	-4.31	1	0.53	0.60	11.9	0
14q	1564	0.07	0.12	-7.43	1	0.40	0.43	6.53	7.71e-11
15q	1547	0.06	0.11	-7.2	1	0.46	0.49	9.98	0
16p	1024	0.08	0.17	-5.84	1	0.53	0.57	11.6	0
16q	815	0.05	0.17	-4.95	1	0.72	0.76	20.2	0
17p	779	0.03	0.14	-5.12	1	0.79	0.81	22.8	0
17q	1882	0.09	0.24	-1.33	1	0.61	0.67	20.6	0
18p	176	0.19	0.31	-3.51	1	0.38	0.47	3.35	0.000836
18q	505	0.10	0.20	-5.94	1	0.52	0.57	9.5	0
19p	1111	0.23	0.32	-0.349	1	0.29	0.38	2.07	0.0378
19q	1925	0.21	0.31	1.58	0.259	0.33	0.41	6.76	1.8e-11
20p	455	0.48	0.52	6.84	3.35e-11	0.08	0.16	-7.82	1
20q	930	0.54	0.56	11	0	0.04	0.09	-8.96	1
21q	616	0.18	0.26	-4.29	1	0.32	0.39	0.926	0.315
22q	1075	0.03	0.13	-5.38	1	0.75	0.77	22.1	0
Xp	886	0.07	0.12	-8.89	1	0.39	0.43	3.84	0.000138
Xq	1336	0.12	0.17	-6.25	1	0.30	0.34	1.23	0.204
