sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL15-1352	1p	5	2	84894800	84894800	1	GAIN
MDL15-1352	3p	5	0	39370216	39370216	1	CNLOH BEFORE & GAIN
MDL15-1352	4p	1	0	194000	194000	1	LOSS BEFORE & AFTER
MDL15-1352	4q	6	0	134170200	134170200	1	AMP (LOH)
MDL15-1352	6q	6	2	105690204	106506013	0.99	AMP
MDL15-1352	8q	6	3	33607417	37951105	0.89	AMP (BALANCED)
MDL15-1352	9p	4	2	17611696.5	17611696.5	1	TETRAPLOID
MDL15-1352	14q	4	0	5169909	6016026	0.86	CNLOH BEFORE
MDL15-1352	15q	4	2	69075290	69075290	1	TETRAPLOID
MDL15-1352	18p	6	2	5341852.5	5341852.5	1	AMP
MDL15-1352	20p	6	2	17594590	17594590	1	AMP
MDL15-1352	23p	2	0	57726860.5	57726860.5	1	LOSS BEFORE
MDL15-1352	23q	2	0	94607339.5	94607339.5	1	LOSS BEFORE
