sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-682	4p	0	0	193500	193500	1	HOMDEL
MDL17-682	4q	4	2	98595500	101237014	0.97	TETRAPLOID
MDL17-682	8p	4	2	37095104.5	37095104.5	1	TETRAPLOID
MDL17-682	8q	4	2	87943416.5	100098323.5	0.88	TETRAPLOID
MDL17-682	9p	3	1	5368296.5	5368296.5	1	LOSS AFTER
MDL17-682	9q	3	1	79440686.5	93407666.5	0.85	LOSS AFTER
MDL17-682	13q	3	1	13028437	13336796	0.98	LOSS AFTER
MDL17-682	15q	3	1	1810900	1810900	1	LOSS AFTER
MDL17-682	16p	3	1	27569357	31583657	0.87	LOSS AFTER
MDL17-682	16q	3	1	41271166	43392274	0.95	LOSS AFTER
MDL17-682	17p	3	1	20347331	24629452.5	0.83	LOSS AFTER
MDL17-682	18p	4	2	18113652.5	18113652.5	1	TETRAPLOID
MDL17-682	18q	4	2	62086347.5	62086347.5	1	TETRAPLOID
MDL17-682	19p	2	1	22895319	25416089	0.9	DOUBLE LOSS AFTER
MDL17-682	23q	4	2	44870324	55189537	0.81	TETRAPLOID
