sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL18-604	1p	4	2	97536789	97536789	1	TETRAPLOID
MDL18-604	2p	1	0	4253551	4253551	1	LOSS BEFORE & AFTER
MDL18-604	3p	6	3	797416	797416	1	AMP (BALANCED)
MDL18-604	4p	4	2	40742106	40900506	1	TETRAPLOID
MDL18-604	4q	4	2	137408004	137408004	1	TETRAPLOID
MDL18-604	5q	4	2	114595838	123725618	0.93	TETRAPLOID
MDL18-604	6p	4	2	59085211	59085211	1	TETRAPLOID
MDL18-604	6q	4	2	99248410	111444294	0.89	TETRAPLOID
MDL18-604	8q	6	3	55841594	61614689	0.91	AMP (BALANCED)
MDL18-604	9p	3	0	44441996.5	44441996.5	1	CNLOH BEFORE & LOSS
MDL18-604	10q	4	2	27560482	29081713	0.95	TETRAPLOID
MDL18-604	11p	6	3	16522211	16522211	1	AMP (BALANCED)
MDL18-604	11q	6	3	77359472	81539672	0.95	AMP (BALANCED)
MDL18-604	12q	4	2	79583572	79962248	1	TETRAPLOID
MDL18-604	13q	4	2	84517658	94922317	0.89	TETRAPLOID
MDL18-604	15q	4	2	69131000	69360023	1	TETRAPLOID
MDL18-604	18q	4	2	58365342.5	61875047.5	0.94	TETRAPLOID
MDL18-604	20p	5	2	27845290	27845290	1	GAIN
MDL18-604	23p	2	0	57726860.5	57726860.5	1	LOSS BEFORE
MDL18-604	23q	2	0	81329239.5	94171081.5	0.86	LOSS BEFORE
