Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.19	0.20	0.507	1	0.05	0.06	-2.96	1
1q	2863	0.31	0.32	3.36	0.0056	0.03	0.04	-3.54	1
2p	1500	0.25	0.26	-0.188	1	0.03	0.05	-4.66	1
2q	2495	0.20	0.21	-0.159	1	0.04	0.05	-3.76	1
3p	1531	0.26	0.30	0.909	0.781	0.15	0.21	-1.18	1
3q	1708	0.50	0.51	6.4	1.65e-09	0.02	0.03	-3.83	1
4p	693	0.01	0.02	-4.7	1	0.52	0.53	5.1	6.68e-07
4q	1467	0.02	0.04	-3.95	1	0.51	0.52	6.2	1.52e-09
5p	456	0.24	0.31	-0.252	1	0.22	0.29	-0.564	1
5q	2185	0.07	0.09	-2.94	1	0.27	0.29	1.63	0.1
6p	1664	0.27	0.36	2.17	0.0805	0.23	0.32	1.31	0.178
6q	1304	0.12	0.19	-1.59	1	0.38	0.43	3.46	0.000678
7p	926	0.23	0.28	-0.231	1	0.19	0.24	-1.05	1
7q	1717	0.34	0.36	2.6	0.0283	0.05	0.08	-3.53	1
8p	795	0.26	0.46	2.76	0.0245	0.42	0.57	5.41	1.52e-07
8q	1249	0.50	0.56	6.5	1.65e-09	0.10	0.21	-1.21	1
9p	621	0.13	0.22	-1.68	1	0.41	0.47	3.48	0.000678
9q	1610	0.03	0.06	-3.63	1	0.44	0.46	4.89	1.77e-06
10p	767	0.21	0.27	-0.694	1	0.24	0.30	-0.0504	0.799
10q	1968	0.09	0.11	-2.98	1	0.21	0.22	-0.369	0.955
11p	1162	0.09	0.14	-2.77	1	0.33	0.37	1.95	0.0518
11q	2133	0.21	0.25	0.514	1	0.15	0.20	-0.799	1
12p	804	0.33	0.39	1.85	0.152	0.14	0.21	-1.85	1
12q	2055	0.19	0.23	-0.0199	1	0.20	0.24	0.165	0.692
13q	1092	0.14	0.23	-1.13	1	0.39	0.46	3.76	0.000257
14q	1829	0.09	0.14	-2.32	1	0.31	0.34	2.21	0.0289
15q	2082	0.05	0.08	-3.06	1	0.38	0.40	4.06	8.2e-05
16p	1378	0.11	0.17	-1.96	1	0.35	0.39	2.83	0.00529
16q	1070	0.03	0.09	-3.06	1	0.60	0.62	7.8	4.3e-14
17p	937	0.05	0.17	-1.68	1	0.69	0.73	10.1	0
17q	2298	0.11	0.21	-0.233	1	0.47	0.53	7.53	2.18e-13
18p	212	0.15	0.22	-2.12	1	0.31	0.36	0.646	0.446
18q	644	0.06	0.11	-3.53	1	0.44	0.47	3.69	0.000322
19p	1331	0.21	0.27	0.0272	1	0.22	0.28	0.197	0.692
19q	2402	0.14	0.22	-0.00466	1	0.37	0.43	5.11	6.68e-07
20p	583	0.39	0.43	2.68	0.0265	0.09	0.15	-2.88	1
20q	1092	0.41	0.42	3.11	0.00994	0.02	0.03	-4.73	1
21p	92	0.09	0.15	-3.16	1	0.44	0.49	3.2	0.00163
21q	750	0.09	0.12	-3.54	1	0.31	0.34	0.721	0.422
22p	2	0.03	0.07	-3.92	1	0.62	0.63	6.46	3.25e-10
22q	1258	0.01	0.02	-3.92	1	0.60	0.60	7.85	4.3e-14
Xp	945	0.03	0.07	-3.41	1	0.61	0.62	7.71	7.04e-14
Xq	1533	0.06	0.12	-2.4	1	0.51	0.55	6.74	5.74e-11
