# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
Pt1	-0.970000	0.820000
Pt10	-0.855000	1.896000
Pt11	-0.613000	0.978000
Pt12	-0.611000	1.585000
Pt13	-0.578000	1.022000
Pt14	-0.520000	0.952000
Pt15	-0.638000	1.387000
Pt16	-0.319000	0.439000
Pt17	-0.568000	1.005000
Pt18	-0.524000	0.903000
Pt19	-0.584000	1.064000
Pt2	-0.782000	0.812000
Pt20	-0.316000	0.486000
Pt21	-1.089000	2.780000
Pt22	-0.359000	0.406000
Pt23	-0.560000	1.138000
Pt24	-0.680000	0.958000
Pt25	-0.679000	1.212000
Pt26	-0.412000	0.530000
Pt27	-0.904000	0.805000
Pt28	-0.100000	0.100000
Pt29	-0.428000	1.303000
Pt3	-0.874000	1.149000
Pt30	-0.317000	0.527000
Pt31	-0.616000	0.731000
Pt32	-1.393000	1.089000
Pt33	-0.297000	0.506000
Pt34	-0.708000	1.955000
Pt35	-0.812000	0.839000
Pt36	-0.832000	0.100000
Pt37	-0.666000	1.151000
Pt38	-0.275000	0.220000
Pt4	-0.640000	1.556000
Pt5	-0.715000	2.205000
Pt6	-0.100000	1.402000
Pt7	-0.680000	1.900000
Pt9	-0.279000	0.518000
Pat02	-0.849000	1.080000
Pat03	-0.417000	0.481000
Pat04	-0.961000	1.327000
Pat06	-0.219000	0.418000
Pat07	-0.849000	1.118000
Pat08	-0.778000	1.274000
Pat100	-0.783000	1.248000
Pat101	-1.393000	3.757000
Pat103	-0.203000	0.284000
Pat104	-0.100000	1.703000
Pat105	-0.248000	0.234000
Pat106	-0.973000	0.795000
Pat109	-0.581000	0.920000
Pat11	-0.346000	0.545000
Pat110	-0.836000	0.786000
Pat113	-1.003000	1.003000
Pat115	-0.678000	1.181000
Pat117	-0.756000	0.778000
Pat118	-0.760000	1.149000
Pat119	-0.960000	1.103000
Pat121	-0.100000	0.739000
Pat123	-0.225000	0.967000
Pat124	-0.880000	1.543000
Pat126	-0.846000	1.355000
Pat127	-0.800000	1.777000
Pat128	-0.616000	1.735000
Pat129	-0.705000	2.002000
Pat13	-0.552000	0.552000
Pat130	-0.962000	0.501000
Pat131	-0.100000	0.314000
Pat132	-0.541000	0.472000
Pat133	-0.786000	0.548000
Pat135	-0.956000	1.643000
Pat138	-0.599000	1.105000
Pat139	-1.048000	1.687000
Pat14	-0.457000	1.311000
Pat140	-0.239000	2.025000
Pat143	-0.765000	2.117000
Pat147	-0.203000	0.330000
Pat148	-0.707000	0.691000
Pat15	-1.393000	2.158000
Pat151	-0.584000	0.948000
Pat157	-1.031000	1.837000
Pat159	-0.970000	0.847000
Pat16	-0.901000	0.817000
Pat160	-0.991000	2.764000
Pat162	-1.393000	1.314000
Pat163	-0.802000	0.491000
Pat165	-0.654000	0.749000
Pat166	-0.996000	1.715000
Pat167	-0.865000	3.757000
Pat168	-1.393000	1.921000
Pat17	-0.778000	0.778000
Pat170	-0.631000	0.995000
Pat171	-0.588000	0.782000
Pat174	-0.385000	0.992000
Pat175	-0.531000	0.100000
Pat18	-0.783000	0.895000
Pat19	-0.753000	0.894000
Pat21	-0.406000	0.324000
Pat24	-0.959000	3.757000
Pat25	-0.460000	0.802000
Pat27	-0.677000	0.668000
Pat28	-0.478000	0.460000
Pat29	-0.648000	0.984000
Pat32	-0.263000	1.427000
Pat33	-0.726000	0.581000
Pat36	-0.441000	0.418000
Pat37	-0.722000	1.646000
Pat38	-0.485000	0.499000
Pat39	-0.637000	0.615000
Pat40	-0.804000	1.195000
Pat41	-0.899000	0.904000
Pat43	-0.695000	1.724000
Pat44	-0.962000	0.847000
Pat45	-0.973000	1.244000
Pat46	-0.646000	1.415000
