estimate	std_error	t_value	p_values	r_sq	FDR
21q	-0.580767974935044	0.255755978854147	-2.27078943584051	0.0278869966520763	0.477582152144321	0.950268253237804
17p	-0.309422974123602	0.204617637923788	-1.5122008897339	0.137323129311619	0.44653430239895	0.950268253237804
10p	-0.187048453039365	0.143833614746097	-1.3004501998337	0.199924524034326	0.439622466460489	0.950268253237804
6q	-0.323229951652015	0.28193118183661	-1.14648528604168	0.257523292890614	0.435160447628161	0.950268253237804
5p	0.156989189737693	0.138939470584199	1.12991066597274	0.264371385584436	0.434709662738663	0.950268253237804
6p	-0.254655119341089	0.23778402865363	-1.07095131991406	0.289778403894777	0.433153827698171	0.950268253237804
2p	-0.315570870881049	0.305152614372537	-1.0341411346907	0.30647653206981	0.432220647979326	0.950268253237804
18p	-0.143942177195775	0.143070639361256	-1.00609166100333	0.319634679387533	0.431529496452008	0.950268253237804
10q	-0.327712635451978	0.326502635349486	-1.00370594283625	0.320771196466197	0.431471511816775	0.950268253237804
7q	-0.183820077161319	0.199875292970266	-0.919673834767883	0.362540998518614	0.429509995721709	0.950268253237804
9p	-0.189750303279317	0.207417838131163	-0.914821526388323	0.365056055449403	0.429401571847081	0.950268253237804
22q	0.242690766581927	0.268379651514987	0.904281547471845	0.370557828723593	0.429167894123402	0.950268253237804
Xq	-0.10419539437066	0.116944545240679	-0.890981226667902	0.3775759509459	0.428876614719141	0.950268253237804
14q	-0.205393032448124	0.23598036338747	-0.870381880507902	0.388611294560045	0.428433434475662	0.950268253237804
9q	-0.252897191647133	0.294070096075216	-0.859989488976971	0.394254858918796	0.428213528609869	0.950268253237804
3p	-0.173860209784105	0.218497478689729	-0.795708082430506	0.430288841804077	0.426908543688985	0.950268253237804
11q	-0.100739821176091	0.127934268541866	-0.787434221684901	0.435066411231308	0.426747523869439	0.950268253237804
8p	-0.0931236197880113	0.118626195337706	-0.785017335529531	0.436467938712783	0.426700788890279	0.950268253237804
19p	-0.166060429488876	0.223085398733952	-0.744380539610827	0.460432258377676	0.425935433179432	0.950268253237804
11p	-0.0906042814250779	0.127604860910705	-0.710037852621308	0.481264831126764	0.425318848647873	0.950268253237804
13q	-0.142279401984232	0.204136916786781	-0.6969802631674	0.489322697376912	0.425091721255072	0.950268253237804
Xp	-0.0745587935033365	0.120917254935759	-0.616610040832869	0.540531819983322	0.423783078892128	0.950268253237804
12p	0.123123815485411	0.201169845821761	0.612039120388352	0.543525416407491	0.423713297848882	0.950268253237804
8q	-0.0654276746131867	0.110628095083174	-0.591420059831963	0.557134376889647	0.42340477226622	0.950268253237804
3q	0.0923179223891901	0.174016547946128	0.530512318965031	0.59830871981962	0.422553431710618	0.950268253237804
20p	-0.120532241976288	0.231941304283294	-0.519667000876523	0.605787488623284	0.422411291303036	0.950268253237804
4p	-0.113048359952077	0.241297837889194	-0.468501338184346	0.64163870400835	0.421779457217527	0.950268253237804
21p	-0.0708603626102575	0.159795109727682	-0.443445126268354	0.659522569608015	0.421493456020071	0.950268253237804
18q	-0.103299703466003	0.26056797689528	-0.396440516969273	0.693613221041468	0.420998655948623	0.950268253237804
20q	-0.101509230382019	0.261839596349525	-0.387677157302504	0.700043101835842	0.420912446079988	0.950268253237804
16q	-0.10331071391903	0.317511516234802	-0.325376273415641	0.746371709240999	0.420354484501643	0.950268253237804
22p	-0.070550937728576	0.223913550311346	-0.315081144622452	0.754124955209572	0.420271577650906	0.950268253237804
17q	-0.0501022362427037	0.176974490032666	-0.283104283749912	0.778367068104838	0.420030929580154	0.950268253237804
7p	-0.0280400580537648	0.0992986186302831	-0.282381149310504	0.778917974106576	0.420025782803893	0.950268253237804
19q	0.0640305152265334	0.231225923508755	0.276917545640634	0.783084004827265	0.419987319155935	0.950268253237804
4q	-0.0682389408781762	0.340306895994909	-0.200521769265578	0.841956480211096	0.419527816813698	0.950268253237804
1p	-0.0441707948655718	0.23676841506872	-0.186556956310036	0.852828353599378	0.419459656819513	0.950268253237804
5q	0.0487235474276386	0.264571432219576	0.184160273914991	0.854697185702415	0.419448451925544	0.950268253237804
16p	-0.0513605954778049	0.318980388911382	-0.161014900173295	0.872786747343294	0.419347679431992	0.950268253237804
12q	0.0410181353859658	0.279509900377886	0.146750205736938	0.883970468128189	0.419292288724586	0.950268253237804
2q	-0.0350908961761048	0.345920584080485	-0.101442058642975	0.919640440668903	0.419150361025857	0.964500949969825
15q	-0.00958383421315502	0.234114615176059	-0.0409365054204231	0.967523681084681	0.419041585819551	0.986711901378417
1q	0.00222848562807925	0.133077982391566	0.0167457124614513	0.986711901378417	0.419023962950178	0.986711901378417
