estimate	std_error	t_value	p_values	r_sq	FDR
11p	-0.593886764015567	0.206007328928025	-2.88284289256067	0.00592594554557172	0.11886806636079	0.241892071853115
Xq	-0.486872538304319	0.190619538559084	-2.5541586239514	0.0139457043066461	0.0894487231612804	0.241892071853115
20q	1.00709416411783	0.432211677119602	2.33009476011715	0.0241459957602089	0.0704423167826822	0.241892071853115
Xp	-0.45675548523364	0.199025083280093	-2.29496442210169	0.0262458257555897	0.0675526381708051	0.241892071853115
12q	-1.04739427015174	0.462311267075764	-2.26556076986135	0.0281269850991995	0.0651541935414371	0.241892071853115
3p	-0.721743696167155	0.356186927991033	-2.02630596310184	0.0484295810435222	0.0463707286005561	0.347078664145243
7q	0.65547467297884	0.335939427461864	1.95116922693824	0.0570119872616436	0.0407613429113861	0.350216493178668
11q	-0.399615697602489	0.2166248458487	-1.84473621221454	0.0713828130261438	0.033072489355692	0.383682620015523
15q	-0.618309574915733	0.397336910689745	-1.55613424849556	0.126384936261575	0.0138695861337745	0.55488820919507
9q	-0.764893788873491	0.496107419742795	-1.54179066555797	0.129831177835438	0.012982149918525	0.55488820919507
19q	0.568790030367886	0.38080295654043	1.49365970142487	0.141948146538274	0.010053052092056	0.55488820919507
20p	0.569512962141191	0.396350845708343	1.43689099773051	0.157372966118427	0.00669643824769561	0.55573619362599
21p	-0.382584990197467	0.273231242227445	-1.40022417304312	0.168013267840416	0.004585938602231	0.55573619362599
10p	-0.322063021061784	0.247906548926107	-1.29913075090961	0.200236154970138	-0.000993198562796227	0.573485118194748
22p	-0.477535184281269	0.375751474251287	-1.2708804010225	0.21002561465346	-0.00248812028172374	0.573485118194748
22q	-0.578132293393992	0.458326001334582	-1.26139972794594	0.213389811421301	-0.00298342579316002	0.573485118194748
16p	0.617039121049828	0.542384527619251	1.13764145109055	0.261036677786778	-0.00914952466296159	0.660269243813614
6q	-0.50766493068385	0.491830788813209	-1.03219428761028	0.307263473928857	-0.0139533199596089	0.666786470417762
18p	-0.256088292982628	0.249112528846065	-1.02800246205551	0.309210323740674	-0.0141355311772378	0.666786470417762
5p	0.248263574249506	0.241967203567112	1.0260215871803	0.310133242054773	-0.014221401004294	0.666786470417762
14q	0.397885524799361	0.406202977146091	0.979523901067473	0.3323364872668	-0.0161934707930593	0.672203044771243
19p	0.356181129702598	0.378792927442257	0.940305649600318	0.351868637347802	-0.0177913181643419	0.672203044771243
4p	-0.38600895077534	0.417183752750793	-0.925273211696536	0.359550465807874	-0.0183877546362274	0.672203044771243
7p	0.151866405393793	0.171630418146001	0.884845513017424	0.380744463472294	-0.0199474015018726	0.682167163721193
8q	-0.159348628099196	0.191561339258071	-0.831841271920332	0.409705133305854	-0.021893363211297	0.70469282928607
10q	-0.445907619232026	0.571177717198059	-0.780681048657584	0.438904525522324	-0.0236640855347503	0.725880561440766
21q	0.350187824732838	0.466982039186034	0.749895703362013	0.457055017916185	-0.0246782149098328	0.727902435940591
2q	0.378423501115145	0.548378893403768	0.690076707304112	0.493539574932293	-0.0265373236386104	0.736353526588815
17p	-0.248797100309234	0.363124422637542	-0.685156615195708	0.496610517931991	-0.026683645851322	0.736353526588815
8p	-0.127275740798272	0.207053496511453	-0.614699789874022	0.54171765035062	-0.028668276487869	0.769195459298146
17q	-0.176857725402108	0.307162660524452	-0.57577872616463	0.567511597139673	-0.0296752803771716	0.769195459298146
2p	0.274615785889493	0.505251813831338	0.543522612629679	0.589338912351537	-0.0304613124942137	0.769195459298146
1p	-0.222770666159428	0.410942476021179	-0.542096957988708	0.590312794345089	-0.0304950349226896	0.769195459298146
6p	0.200206237276143	0.41829926744999	0.478619622015184	0.634428364566212	-0.0319087448541915	0.785894023098593
5q	-0.216697671039355	0.459889341923976	-0.471195244779509	0.639681181591878	-0.0320628423850353	0.785894023098593
12p	-0.110828898538631	0.351318380989136	-0.315465698739111	0.753804615880143	-0.0347472488758922	0.900377735634615
18q	0.128014260995512	0.45405789535797	0.281933784885709	0.779232021725035	-0.0351875256200809	0.905593971193959
9p	0.0535790127101151	0.36081890909571	0.148492807221206	0.882589144859375	-0.0364519876124365	0.970664818152494
3q	-0.038918384257355	0.301423311889246	-0.129115376025246	0.897817315866018	-0.0365705715269242	0.970664818152494
1q	0.0255087238109866	0.231254634086496	0.110305784408392	0.912636541407004	-0.0366698672400716	0.970664818152494
16q	-0.0513123162565151	0.545940889685136	-0.0939887764884377	0.925517617308191	-0.0367433792548013	0.970664818152494
4q	-0.0113565261430072	0.592989566729951	-0.0191513085223959	0.984801472999535	-0.0369301486057554	0.997426310455958
13q	-0.0011341474670519	0.349737942120878	-0.00324284937508985	0.997426310455958	-0.0369380084583208	0.997426310455958
