estimate	std_error	t_value	p_values	r_sq	FDR
7p	0.220155032082118	0.101525186252593	2.16847700761047	0.0352170537878668	0.105158530250611	0.963934321771527
9p	0.388431744102259	0.214720064481997	1.80901465840807	0.0768475095754127	0.0797091030337107	0.963934321771527
3p	0.338394491265287	0.223146180152271	1.5164700154597	0.136098203402757	0.0615485899313971	0.963934321771527
4q	0.526830865021948	0.356693168456292	1.47698613713849	0.146349039276462	0.0592932976560094	0.963934321771527
4p	0.371620090553471	0.253291742023894	1.46716228323944	0.148992014741905	0.0587397568452516	0.963934321771527
6p	0.281631169675788	0.254721230375518	1.10564466597699	0.274507964144275	0.0405847210792075	0.963934321771527
10q	-0.379186111887569	0.349374943353974	-1.08532715096111	0.283312428008242	0.0396982474323472	0.963934321771527
7q	0.228272726042322	0.21232262219931	1.0751220179828	0.287808490280303	0.0392585832848387	0.963934321771527
16q	-0.340902066783441	0.33225715936793	-1.02601872426754	0.310134577284578	0.0371957964248155	0.963934321771527
12q	-0.303460227224033	0.296310019237939	-1.02413083433521	0.311015920748978	0.0371182400949652	0.963934321771527
20q	0.275229023660478	0.278003911051858	0.990018531103099	0.327234707688095	0.0357393990707269	0.963934321771527
8p	-0.120077829158998	0.126709518067518	-0.947662267131455	0.348148661518161	0.0340871468431651	0.963934321771527
2p	-0.292699491348162	0.308928560223501	-0.947466595954748	0.348247270157437	0.0340796687830458	0.963934321771527
22q	-0.262680699274819	0.28417761528562	-0.924353943257651	0.36002373080503	0.0332064297105967	0.963934321771527
12p	-0.197930751982805	0.214465855631066	-0.922900996992708	0.360772570953395	0.0331522031134889	0.963934321771527
10p	-0.13347792596833	0.154029804337234	-0.866572067287008	0.390579049229554	0.0311112511334499	0.963934321771527
20p	0.204970416238736	0.247379835315487	0.828565578020272	0.41153826164442	0.0298022470610626	0.963934321771527
Xq	-0.088953212568369	0.12449259350626	-0.714526142182875	0.478435923664808	0.026208752189376	0.963934321771527
11p	0.0966048045263894	0.136786833641284	0.706243444304955	0.483523182007694	0.0259674957656255	0.963934321771527
16p	-0.225071651254087	0.336704755397334	-0.668454031748045	0.507113654581099	0.0249010383538358	0.963934321771527
21p	0.112134413221083	0.170812968321016	0.656474823447502	0.514720135707124	0.024574745575577	0.963934321771527
11q	0.0827476382439491	0.137505156488079	0.601778437677156	0.550213631793912	0.0231573554663695	0.963934321771527
14q	0.144090628962503	0.251605013308463	0.572685842256452	0.569587097465859	0.0224521283183436	0.963934321771527
17p	0.115980092423053	0.22391102679335	0.517974009962858	0.606906206030338	0.0212180615303106	0.963934321771527
Xp	-0.0659760191411182	0.128783685121324	-0.512301065767482	0.610839478927754	0.021097020838043	0.963934321771527
1q	-0.069112418679169	0.141955500836991	-0.486859743170724	0.628620581674905	0.0205702373906477	0.963934321771527
18p	0.0744308859421998	0.154615819656099	0.481392435183871	0.632471417833602	0.0204604629112086	0.963934321771527
15q	-0.118093955677095	0.250114326572115	-0.472159901016486	0.638997615707966	0.020277848750112	0.963934321771527
19p	0.107171006979116	0.234739397142386	0.456553132042465	0.650095240264518	0.0199770487633358	0.963934321771527
2q	-0.13133801477587	0.338589662332838	-0.387897296896097	0.699843355705849	0.0187720075848689	0.979477689571322
13q	-0.0758427654746242	0.214914704489088	-0.352897051204214	0.725743436133713	0.0182321346045322	0.979477689571322
5q	-0.0968296085900937	0.283292825339825	-0.341800426727861	0.734024704563331	0.0180715072955955	0.979477689571322
18q	0.0798961512052239	0.279382111991113	0.285974469288017	0.776154373053341	0.0173405919154198	0.979477689571322
5p	-0.0410017849588981	0.150425522316975	-0.272571996609057	0.78637623382003	0.0171843263001835	0.979477689571322
1p	0.0310508060408936	0.253608162381434	0.122436146176527	0.903075648662346	0.0159445989659763	0.979477689571322
3q	0.0209100505936561	0.185478289499852	0.112735839057179	0.910720131712028	0.0158968487501707	0.979477689571322
21q	-0.0246222952650888	0.28903290844156	-0.0851885530884702	0.932473346341721	0.015782704549998	0.979477689571322
6q	0.024700472009115	0.306020857160475	0.0807149951748624	0.936011339481774	0.0157671648840885	0.979477689571322
9q	-0.0209962982176934	0.312872077931956	-0.0671082518979522	0.946780194233712	0.0157250480897287	0.979477689571322
8q	0.00752415401520796	0.118730122312082	0.0633719048602573	0.94973911441893	0.0157148393261803	0.979477689571322
17q	0.0103548091141446	0.189661377178527	0.0545962982457822	0.956691508159047	0.0156931604058895	0.979477689571322
22p	-0.00728877014291478	0.235142445311609	-0.0309972541675993	0.975402987534829	0.0156508585686902	0.979477689571322
19q	0.0062017061560776	0.239809097549927	0.0258610128616427	0.979477689571322	0.0156447423336429	0.979477689571322
