estimate	std_error	t_value	p_values	r_sq	FDR
11q	0.527054214641152	0.201568802749301	2.61476085312999	0.0119624077814795	0.0921610887794069	0.379384763790566
11p	0.497543145164436	0.202289925026483	2.45955474598797	0.0176458029670031	0.0786834280496074	0.379384763790566
18p	0.47285009740475	0.232216332083284	2.03624823957327	0.0473823357011084	0.0444021647287558	0.57576163150856
1q	0.423126429134469	0.213685114728711	1.98013993474304	0.05355922153568	0.0401731280498454	0.57576163150856
6q	0.864605907268436	0.461384856455844	1.87393646577384	0.0671633267472189	0.0323952617115608	0.577604610026083
4q	-0.94558492025808	0.553332259707627	-1.70889172584608	0.0940675959726984	0.0209335791776057	0.674151104471005
22q	0.68077055205731	0.437018147478349	1.55776266039624	0.125998377928572	0.0111544003339542	0.773990035846943
14q	0.551336907608051	0.386319218843114	1.42715371308501	0.160145877309899	0.00329278578197334	0.841119829627689
19p	0.474137401127272	0.361122048354541	1.31295611355686	0.195572436634953	-0.00310825974191431	0.841119829627689
1p	0.480476968074123	0.390181021891365	1.23142065122762	0.224291792160006	-0.0073975676777307	0.841119829627689
10p	0.282094588559514	0.239133181358981	1.1796547302904	0.244074306451672	-0.00999584666848841	0.841119829627689
21p	0.306775283881335	0.264423837791854	1.16016500797791	0.251841133190666	-0.0109485271026555	0.841119829627689
10q	-0.617347584719418	0.545452286554852	-1.13180859249609	0.26345662180351	-0.0123093882433936	0.841119829627689
8p	0.218511034058839	0.197359186881712	1.10717437334095	0.273852967785759	-0.0134671603921901	0.841119829627689
6p	0.411883257389182	0.398745096104043	1.03294877206894	0.306913952949718	-0.0168164700647409	0.849876595827661
15q	-0.375435185757878	0.387981928645448	-0.967661527609356	0.338166692938503	-0.0195870346480036	0.849876595827661
8q	0.175387200509983	0.183798408450698	0.954236774890403	0.344846084922429	-0.0201361071370993	0.849876595827661
9q	0.451916040057527	0.484545423581623	0.93265980455886	0.355762295927858	-0.0210037371673344	0.849876595827661
12p	0.273145813591598	0.335855548349708	0.813283612355828	0.420156462557774	-0.0254686002735969	0.928287020894955
3p	0.281214132453468	0.354820502676417	0.792553221508523	0.432020655491482	-0.0261853501807761	0.928287020894955
Xp	0.151692922676436	0.200619689648528	0.756121809091576	0.453349475320792	-0.0274024137414419	0.928287020894955
5q	-0.289197145683145	0.441294460573117	-0.655338263950921	0.515444987178674	-0.0304838313115185	0.934720437311809
22p	0.237447807065756	0.365870306574342	0.648994473722092	0.519500823906014	-0.0306636380267613	0.934720437311809
21q	-0.274448010625527	0.449984929468906	-0.609904893813764	0.544862466250799	-0.0317342877254219	0.934720437311809
4p	-0.237122575121518	0.403351150402688	-0.587881241654537	0.559426242060522	-0.0323091407491891	0.934720437311809
7q	0.177636995413789	0.334892181133554	0.530430405429345	0.598310947074658	-0.0337118867790707	0.934720437311809
16p	-0.279410132418822	0.527155608819941	-0.530033500059485	0.598583941558868	-0.0337210890775406	0.934720437311809
20q	0.225643957083003	0.43776159832747	0.515449408867994	0.608655168482108	-0.0340545567210302	0.934720437311809
18q	0.207220863625581	0.435977292809201	0.475301964215527	0.636773311816492	-0.03492549161434	0.944181117521005
Xq	0.0787427645057003	0.195284931554467	0.403219868931557	0.688614987003358	-0.0363150968224313	0.958036014688743
9p	0.135472982471896	0.346507810755633	0.390966605273539	0.697588638643491	-0.0365289708743317	0.958036014688743
7p	0.0543876328978792	0.166232052297496	0.327178977496738	0.744985309139747	-0.0375369337059304	0.958036014688743
16q	-0.161525498513857	0.524536502650017	-0.307939481233074	0.759488976713557	-0.0378061360233042	0.958036014688743
17p	0.10127452321158	0.350635149181247	0.288831634387087	0.773980354056485	-0.0380574795734132	0.958036014688743
2p	-0.126691893113262	0.487060670437733	-0.26011521932042	0.795911067733454	-0.0384051432490278	0.958036014688743
17q	0.0715802815530539	0.296245737119239	0.241624680405925	0.810122114957295	-0.0386098621978712	0.958036014688743
2q	-0.10427808568744	0.529807195733511	-0.196822705556252	0.844814940618989	-0.0390435841589578	0.958036014688743
12q	0.0901582047244844	0.468054612672791	0.192623258661298	0.848083953009594	-0.0390797112084358	0.958036014688743
19q	0.0423750781830245	0.374747449447479	0.113076361815141	0.910451628405412	-0.0396171772330818	0.958036014688743
20p	0.0430986610024956	0.38939072414301	0.110682300142997	0.912339575841104	-0.0396290233930929	0.958036014688743
5p	0.0256995311743196	0.235254745648045	0.109241286944186	0.913476200052058	-0.0396360316505824	0.958036014688743
13q	-0.018113085846606	0.33632283427367	-0.0538562476310101	0.957277969633853	-0.0398358321312837	0.967654375774566
3q	0.0118190165464058	0.28991662658821	0.0407669497451528	0.967654375774566	-0.039863233075899	0.967654375774566
