estimate	std_error	t_value	p_values	r_sq	FDR
1p	1.36147090122854	0.3980257695555	3.4205596857434	0.00130218963119727	0.167671038975122	0.0397494642337381
14q	1.31662319229277	0.398952478293821	3.30020056003537	0.00184881228994131	0.156041059368524	0.0397494642337381
18q	1.3637301347973	0.448213656664978	3.04258943144305	0.00383143894208906	0.131528593810162	0.0489836363328051
2q	-1.62520844395174	0.545437365953502	-2.97964265999754	0.00455661733328419	0.125636854559026	0.0489836363328051
3q	0.859834154401648	0.30016407921565	2.86454713917953	0.00622438483788329	0.114983381663523	0.0535297096057963
2p	1.39160500244688	0.507845832523719	2.74021152350774	0.00865215745627935	0.103668823594448	0.0620071284366687
13q	0.900454893158678	0.35379622816006	2.5451229309073	0.0142658340430433	0.0863865636896328	0.0876329805501229
4q	-1.43705187709645	0.604568988465944	-2.37698576095158	0.021577788141047	0.0720257671349082	0.115980611258128
15q	-0.922611394972252	0.418555859117091	-2.20427303757836	0.0324376300300341	0.0578670975075591	0.154979787921274
17p	0.779559070277403	0.377011984326312	2.06773021199951	0.0441948806441722	0.0471493713219689	0.17484507314818
5q	-0.967025386965043	0.477002476157153	-2.02729636700344	0.0483243670303408	0.0440624802779104	0.17484507314818
12q	-1.01937267940795	0.503918936809524	-2.02289020107466	0.0487939739018176	0.0437285838594955	0.17484507314818
10q	-1.18047694752361	0.595943673813142	-1.98085322387993	0.0534765343018042	0.0405680658954557	0.176883921152121
22p	0.743233204326121	0.397862316538338	1.8680663471543	0.0679941346651553	0.032318919183292	0.20883912790012
7q	0.63512426217718	0.365332869390531	1.73848102755367	0.0886738466684516	0.0232779310777582	0.244988189053807
4p	-0.757972854740306	0.440589511338459	-1.72036064235318	0.0919455607865708	0.0220526102884153	0.244988189053807
18p	0.447044286303545	0.263876284560841	1.69414347730242	0.0968557956724352	0.0202971604288775	0.244988189053807
11q	0.340144760644823	0.236927643638676	1.43564826552514	0.157724757708876	0.00414148374476553	0.376786921193425
17q	0.42896077669991	0.326677141320431	1.31310312979368	0.195523288887952	-0.00274320181019871	0.40445643698522
7p	0.238642944289643	0.183463473947135	1.3007654284275	0.199680397669344	-0.00340732736941174	0.40445643698522
1q	0.31562759677576	0.245287871673414	1.2867639750081	0.204478422636622	-0.00415446637049	0.40445643698522
21p	-0.37244365639608	0.295976522511987	-1.25835540344588	0.214478554084819	-0.00564887598527575	0.40445643698522
22q	-0.619911362186477	0.49466873247614	-1.25318485177629	0.216337163968839	-0.00591775138687689	0.40445643698522
8p	-0.243409789500138	0.221492857215536	-1.09895096645611	0.277387085641033	-0.0134876195515645	0.49698519510685
21q	-0.51642906977863	0.50128123801378	-1.03021823003963	0.30818018729221	-0.0165736222031474	0.508228769978087
5p	-0.26628092922201	0.261133429274109	-1.01971214471548	0.313085405773405	-0.0170293626395108	0.508228769978087
10p	0.271246929209895	0.269377820717045	1.00693861316375	0.319120390451357	-0.0175777105324941	0.508228769978087
9p	0.37244404059933	0.385630513459829	0.965805421510368	0.339085043930708	-0.0193003647606096	0.520737746036444
19q	0.34482247080182	0.417532160242839	0.825858469444052	0.413056985928813	-0.024660395953791	0.599164871912042
20q	0.399639812894427	0.489124948439666	0.817050559717509	0.418022003659565	-0.0249714553281788	0.599164871912042
20p	0.338249694199889	0.434187004966525	0.779041496707087	0.439860277536588	-0.0262775868670377	0.61012877206688
19p	0.27638086792265	0.410594590265267	0.673123500589944	0.504165256367876	-0.0296040753087801	0.677472063244333
3p	0.233468367902773	0.399336299457309	0.584640986106329	0.561585302141702	-0.032024447886873	0.713524262063977
16q	0.340935509230542	0.587058492337162	0.580752197065118	0.564181974655238	-0.0321232516774679	0.713524262063977
6p	0.21484340442204	0.451384231247525	0.475965684109658	0.636303887639752	-0.0345432209264369	0.781744776243123
Xp	0.0947804498393384	0.2260523464489	0.419285405917093	0.67691779579644	-0.0356559929410436	0.794661275775812
12p	-0.155259355585695	0.378820186589858	-0.409849741597304	0.683778307062908	-0.035827770363567	0.794661275775812
11p	-0.0899572733839764	0.240792194081863	-0.37358882719177	0.71039016418985	-0.0364520018145009	0.803862554214831
8q	-0.0612313350959515	0.208031575044517	-0.29433673750174	0.769796686367258	-0.0376171746106118	0.848750192661336
Xq	0.0585949390454735	0.219335943699907	0.267146998604308	0.790524739772913	-0.0379537036563791	0.849814095255882
9q	0.0466387979466506	0.548660776070255	0.0850047971001278	0.932618646426117	-0.0393699990743399	0.978112238934708
6q	0.0192904816655806	0.536691650732787	0.0359433235811324	0.971479778218076	-0.0395012190925652	0.983190216113666
16p	-0.0125665676294576	0.593268835713286	-0.0211819109196068	0.983190216113666	-0.0395198690960099	0.983190216113666
