estimate	std_error	t_value	p_values	r_sq	FDR
2p	19.0662731749535	9.67743417299143	1.97017854465651	0.0547255474527556	0.0608019578462327	0.949219626317785
10p	8.23139864261119	4.86678432838381	1.69134239103312	0.0973929840196225	0.0415706002769952	0.949219626317785
17p	11.8102417650785	7.04233684016955	1.67703448913616	0.10017540223742	0.0406433031755019	0.949219626317785
8q	5.34872657391282	3.75335179663732	1.42505335596435	0.160748971087338	0.0253488676884875	0.949219626317785
7p	4.63068126763749	3.37098792390107	1.37368669724531	0.176055914847371	0.0224827135015415	0.949219626317785
12p	-9.24573404071356	6.85548799089394	-1.34866169308364	0.183908576118087	0.0211185877059847	0.949219626317785
10q	15.0305037684605	11.2082709214689	1.34101895589179	0.186359428220851	0.0207062293967644	0.949219626317785
Xq	5.19750175312842	3.96949254112862	1.30936176331765	0.196776942931552	0.0190195363910451	0.949219626317785
1p	10.4198750521562	8.04723167625532	1.29483970032847	0.201700570045555	0.0182573820463716	0.949219626317785
21q	9.09748043541589	9.23784926299011	0.98480503160659	0.329762564070159	0.00379276978768517	0.949219626317785
15q	-7.4444319107734	8.02135909350274	-0.928076130739908	0.358109936507582	0.00153407614980849	0.949219626317785
7q	5.22069445295158	6.89709391330882	0.75694118690737	0.452863118930065	-0.00451816381708015	0.949219626317785
5q	-6.88448373157812	9.10276122511935	-0.756307186502945	0.45323941461058	-0.00453842226314327	0.949219626317785
9p	5.36185652200697	7.12713623088407	0.752315705538559	0.455612641681841	-0.00466559232116115	0.949219626317785
8p	2.93746487729986	4.10766096525967	0.715118628860394	0.478073176878445	-0.00581981933966991	0.949219626317785
22q	-6.56170293369424	9.20860823644566	-0.712561851390795	0.479639659907811	-0.00589710158478374	0.949219626317785
22p	-5.31215670523246	7.55243421732038	-0.703370139000988	0.485295029869134	-0.00617274457873096	0.949219626317785
9q	-7.0226916400449	10.0500582324464	-0.698771238695142	0.488138516886277	-0.00630937012089738	0.949219626317785
12q	-6.36508328026591	9.62840567072115	-0.661073442264837	0.511792913939797	-0.00739684543456964	0.949219626317785
20q	5.36110618483433	9.03519240998264	0.593358275238394	0.555786242054283	-0.00920399692764517	0.949219626317785
17q	3.27862020973904	6.10505425911495	0.537033754424706	0.593777697075537	-0.0105627823719867	0.949219626317785
20p	4.25564356161121	8.02124624171518	0.530546430488491	0.598231155189139	-0.0107108084834289	0.949219626317785
6p	3.3872042134829	8.315740317996	0.407324433418477	0.685619025825787	-0.0131872606851178	0.949219626317785
11q	-1.80403308029569	4.44889948063203	-0.405500975724315	0.686949358956637	-0.0132191003203641	0.949219626317785
16p	-4.36650196747367	10.9040936956134	-0.400446115868416	0.690642438530533	-0.0133066272985778	0.949219626317785
21p	2.14768621286319	5.53137016726838	0.388273817863794	0.699566615507364	-0.0135129502828653	0.949219626317785
Xp	1.49033023705957	4.16393806689306	0.357913641633864	0.72201038550321	-0.0140001438947317	0.949219626317785
1q	-1.62689606889468	4.58870225147574	-0.354543829548205	0.724517253944553	-0.0140518027548224	0.949219626317785
5p	-1.70936611715276	4.85419941953763	-0.352141716772645	0.726306097097399	-0.0140883317361313	0.949219626317785
3q	1.76945980451647	5.98374974812235	0.295710863421672	0.768753475534959	-0.0148756738303386	0.949219626317785
3p	2.09123768284066	7.37252801821559	0.283652727758207	0.77792232290609	-0.0150262663919791	0.949219626317785
2q	2.98679663657398	10.9407970316312	0.272996256848452	0.786052063265362	-0.01515417098532	0.949219626317785
19q	-2.09113947363237	7.73671754426799	-0.270287684882804	0.788122295998284	-0.0151859051347456	0.949219626317785
4q	3.17816533147664	11.771598589961	0.269985873812162	0.788353074126314	-0.0151894217396271	0.949219626317785
14q	-1.81907067513995	8.14750007588362	-0.223267340680898	0.824295010150556	-0.0156866410407048	0.949219626317785
11p	-0.966666647831178	4.43754453654606	-0.217838185030043	0.828498209294456	-0.0157383419772104	0.949219626317785
19p	-1.56569738912869	7.592341851747	-0.206220612783449	0.837509314383576	-0.0158447152849011	0.949219626317785
6q	-1.78931165880418	9.87767729311438	-0.181147005080991	0.857031116421649	-0.0160544964530387	0.949219626317785
18p	0.881306306731376	5.00269343011282	0.176166362988887	0.8609201261952	-0.0160929438612569	0.949219626317785
16q	-0.683185481529356	10.8465423196989	-0.062986476371239	0.95004438770175	-0.0166780622081446	0.987618828240427
18q	0.219093863072868	9.02814762387497	0.0242678644834599	0.980741689409748	-0.0167511402620932	0.987618828240427
4p	0.169401835172225	8.36312450772695	0.0202558069075391	0.98392505936587	-0.0167550045648477	0.987618828240427
13q	0.108396302002871	6.94808119503945	0.015600897421904	0.987618828240427	-0.0167586153181944	0.987618828240427
