estimate	std_error	t_value	p_values	r_sq	FDR
amp16_7q36.1  	0.460564578926845	0.146369175379276	3.14659543400048	0.00286536768699852	0.270836223574249	0.335248019378827
amp1_1q21.1  	0.325549428407474	0.124902918739272	2.60641970334608	0.012219148772356	0.228712526147307	0.714820203182827
del34_11p15.5 	-0.480862577291592	0.230868173640392	-2.08284481013221	0.0427320780431421	0.191826758584233	0.878450590984582
amp2_2q24.2  	0.484325287084951	0.242413406099699	1.99793111642414	0.0515294014735234	0.186334825810567	0.878450590984582
del47_16q23.1 	-0.274243104825224	0.153155228849852	-1.79062188659639	0.0797958900278864	0.173606265470272	0.878450590984582
del38_12q24.33	-0.322219835940841	0.188674733923211	-1.70780596448056	0.0942705724749121	0.168809717716151	0.878450590984582
amp25_12p12.1 	-0.177979017199162	0.104405814526258	-1.7046849163214	0.094856052274919	0.168632331408545	0.878450590984582
amp42_21q11.2 	0.274672124447906	0.166174389756225	1.65291489772188	0.105013728215961	0.165726547299375	0.878450590984582
del50_17p11.2 	-0.743133467938903	0.454642271959414	-1.63454547404083	0.108825644315251	0.16471227370878	0.878450590984582
del18_6p22.1  	-0.210789111332866	0.129022568574079	-1.63373829603959	0.108995703531572	0.164667908873178	0.878450590984582
amp5_3q25.1  	0.29588859036334	0.182032397856266	1.62547213489423	0.110749762707355	0.164214568113463	0.878450590984582
amp27_12q14.3 	0.157028755628627	0.100754051427286	1.55853539787385	0.125815275537826	0.160610845867358	0.878450590984582
del67_22q11.21	0.537737616943716	0.346502471600984	1.55190124462647	0.127394242041467	0.160260280149215	0.878450590984582
del30_9q34.13 	-0.248186165590792	0.162759620776105	-1.52486325789737	0.13399463267956	0.158844015621248	0.878450590984582
amp34_16q13   	0.3334386388494	0.23934218014594	1.39314615855043	0.170130025053521	0.152238087813915	0.878450590984582
del36_11q25   	-0.228385648058296	0.16990946191467	-1.3441608576984	0.185348892559321	0.149909014614242	0.878450590984582
del72_xp11.22 	-0.240797389639335	0.18135782582281	-1.32774744374471	0.190674370860118	0.149144481609108	0.878450590984582
del53_18p11.21	0.237120647104665	0.179571728015653	1.32047872861141	0.193069593986116	0.148808473026973	0.878450590984582
amp28_13q33.1 	0.200907789507833	0.153412706985422	1.30959027746589	0.196700198796775	0.148308095729418	0.878450590984582
amp10_5p13.2  	0.141045919206699	0.109517197005421	1.2878883231436	0.204089962019083	0.147321422760487	0.878450590984582
del9_2q37.3  	-0.290463432257885	0.234367211606948	-1.23935182855277	0.221368375498254	0.145166476951733	0.878450590984582
amp11_5q22.3  	0.223770642252533	0.180630137426678	1.2388333721075	0.221558612481263	0.145143847441234	0.878450590984582
del46_16q22.1 	-0.236329978618077	0.193703485099181	-1.2200605399385	0.228528577995839	0.144330036631573	0.878450590984582
amp22_10q25.1 	-0.222816251655204	0.183484943922915	-1.21435713956352	0.230677728482924	0.144084949539205	0.878450590984582
del70_22q13.33	-0.310851213262398	0.26146485423938	-1.18888335553429	0.240457786461399	0.143002630286418	0.878450590984582
del31_9q34.13 	-0.234011106589951	0.198675147638942	-1.17785797252923	0.244782983357779	0.142540470519017	0.878450590984582
amp6_3q29    	-0.0767231830490122	0.0651761238216038	-1.17716701378275	0.245055907638282	0.142511633919779	0.878450590984582
amp4_3q21.3  	0.175475938774399	0.149168083617907	1.17636383412875	0.245373435348407	0.142478132703884	0.878450590984582
amp30_14q13.3 	0.106147790607219	0.0911027922970349	1.1651431084695	0.2498405955066	0.142012227853135	0.878450590984582
del35_11q14.3 	0.109708541505295	0.0977131992164018	1.12276071590213	0.267241956589242	0.140288329356635	0.878450590984582
del24_7q22.1  	0.117815689075611	0.105627821739329	1.11538501064955	0.270356145330635	0.139994157803637	0.878450590984582
amp3_2q31.2  	0.158633593700349	0.142829392440271	1.11065090308136	0.272368475096123	0.139806259653765	0.878450590984582
del69_22q13.33	-0.261869069697559	0.239492063935458	-1.09343527044024	0.279775423658301	0.139129023027819	0.878450590984582
del45_16q11.2 	0.283423552585435	0.261005349722695	1.08589173703358	0.283065130369962	0.138835274259907	0.878450590984582
del42_15q11.2 	-0.218840504852445	0.210019084153905	-1.04200294813245	0.302740737480327	0.137162746314803	0.878450590984582
del73_xq28    	-0.17797527850819	0.172366524330164	-1.03253969527913	0.307103427306563	0.13681033287084	0.878450590984582
del55_18q23   	-0.235553686368967	0.228740982127659	-1.02978348775956	0.308382119067115	0.136708241978301	0.878450590984582
amp40_19q13.33	-0.172909838582642	0.171643685936865	-1.00737663397792	0.318912150225597	0.13588753439333	0.878450590984582
del10_3p21.1  	-0.222322435223512	0.227576337110902	-0.97691367233479	0.333613597136608	0.134798304623684	0.878450590984582
del4_1q42.13 	0.164359263346022	0.170513484199682	0.963907717430413	0.340025682419504	0.134342639554151	0.878450590984582
amp24_11q14.2 	0.121428592653976	0.126527629573193	0.959700209856	0.342117376585175	0.134196434833096	0.878450590984582
del65_21q22.3 	-0.220474180087053	0.234833923120597	-0.938851496228805	0.352607014623291	0.133480697219619	0.878450590984582
del51_17q11.2 	-0.202011485728926	0.215205329257781	-0.938691836422644	0.352688146895475	0.133475272225085	0.878450590984582
del44_16p11.2 	0.314072733060721	0.356145862510386	0.881865454920346	0.382337504010356	0.131598938021052	0.878450590984582
amp38_19q12   	0.131061547037914	0.149482069596269	0.876771022717932	0.385070571388996	0.131436065230183	0.878450590984582
amp44_21q22.3 	0.14969505140258	0.173998664527791	0.860322990459913	0.393978483677728	0.130916242537895	0.878450590984582
amp13_6p22.2  	0.101447921552567	0.119366523713357	0.849885867466329	0.399697243160319	0.13059117757235	0.878450590984582
amp37_17q23.3 	0.142084790363877	0.167605085646634	0.847735555372332	0.400881824880292	0.130524668913827	0.878450590984582
del2_1p36.21 	-0.153306738590964	0.183089645501688	-0.837331560563597	0.406643945542907	0.130205113646187	0.878450590984582
del1_1p36.33 	-0.215468664841149	0.258417957123303	-0.833799118450344	0.408611889173476	0.130097460320522	0.878450590984582
amp12_5q31.3  	-0.0716312308884344	0.0870694993550795	-0.822690280970997	0.414838727747818	0.129761706781821	0.878450590984582
del39_13q11   	-0.185621447520887	0.226485316444864	-0.819573870989002	0.416595917616316	0.129668279193595	0.878450590984582
del28_8q24.3  	-0.0814134084475506	0.103092037017129	-0.789715780220962	0.433660000044241	0.128790150076329	0.878450590984582
amp17_8p23.1  	-0.0635656528583178	0.0805902945681026	-0.788750719909601	0.434218412967819	0.128762282204379	0.878450590984582
del54_18p11.21	0.176169917760343	0.224442730202915	0.784921470172239	0.436438354510596	0.12865202403115	0.878450590984582
amp7_4q28.1  	0.121818530629599	0.155677063686085	0.782507890020587	0.437841047829906	0.128582789620626	0.878450590984582
del59_19q13.2 	-0.116951359686961	0.149745054060648	-0.781003155133225	0.438716903256214	0.128539728115454	0.878450590984582
del21_6q27    	-0.189729463044925	0.246876069193528	-0.768521078874577	0.446022261774209	0.128185558424472	0.878450590984582
del57_19p13.12	-0.215319444014268	0.289594917564303	-0.743519416104592	0.46086808195104	0.127492483658116	0.878450590984582
del64_21p11.2 	0.153335671169166	0.209531854389627	0.731801241466783	0.467923278720789	0.127175163838955	0.878450590984582
amp29_14q11.2 	-0.055878484359927	0.0796389956029487	-0.701647276398574	0.486359185363084	0.126380780112008	0.878450590984582
del33_10q26.3 	-0.162534736603844	0.231958907444908	-0.700704872230215	0.486941827914824	0.12635646897537	0.878450590984582
amp19_9p22.3  	-0.0777368495681542	0.120133457663609	-0.647087423270782	0.520723392229341	0.125025053698574	0.878450590984582
del19_6p21.33 	-0.118264523027637	0.185101307967378	-0.638917813851859	0.52597801389151	0.124831150025362	0.878450590984582
amp41_20q13.2 	0.0918419723422279	0.148042195188581	0.620376996066809	0.538006283166866	0.124399920509399	0.878450590984582
del23_7p11.2  	0.132437502083267	0.214990283550166	0.616016221274314	0.54085588467072	0.124300280029239	0.878450590984582
del49_17p11.2 	-0.119011676438998	0.193636289361552	-0.614614527222128	0.541773489586357	0.124268396839609	0.878450590984582
amp31_15q25.3 	0.0730734054015888	0.124174751008684	0.588472332805227	0.559032832659286	0.123686663433913	0.878450590984582
amp36_17q21.2 	0.091009828878918	0.157676644217058	0.577192832399664	0.566563898486355	0.123443242635967	0.878450590984582
del8_2q37.3  	-0.138604830760232	0.240607223563224	-0.576062633147884	0.567321266927605	0.123419104311743	0.878450590984582
del52_17q25.1 	0.104356702932969	0.183292638568349	0.569344757913203	0.571833346951225	0.123276576025765	0.878450590984582
amp14_6q21    	0.0805236695870549	0.141951478507324	0.567261929455004	0.573235852701454	0.123232716372727	0.878450590984582
del41_15q11.1 	-0.108450066814249	0.191253718062209	-0.567048148988003	0.573379900426344	0.123228223488317	0.878450590984582
del56_19p13.2 	0.133304636966607	0.240631782882785	0.553977680627258	0.582220410832377	0.122956661536736	0.878450590984582
del32_10q11.22	0.136530155658234	0.248581110409113	0.549237854129519	0.585442461674184	0.122859707149713	0.878450590984582
amp43_21q22.11	-0.0822299217280764	0.1517769401856	-0.541781390687689	0.590528465546165	0.12270882680713	0.878450590984582
amp26_12q13.11	0.155238038287118	0.289704669056236	0.53584927986433	0.59458965320092	0.12259022809801	0.878450590984582
del26_8p23.1  	-0.104530988468282	0.198354971033035	-0.52698950736593	0.600679558707168	0.122415470556278	0.878450590984582
